Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	23/224	9.622728e-05	3.004216e-01	0	0	2.605434e+00	2.409714e+01	CHUK;NEK6;PPM1N;LPAR1;DAB2IP;ZDHHC13;IRAK4;TICAM1;ATP2C1;LILRB4;EDA2R;IKBKB;PIDD1;CASP10;FLNA;LGALS9;TRIM38;ZMYND11;MAP3K14;LURAP1;TMEM9B;TMEM106A;TMED4
MSigDB_Hallmark_2020	positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	4/9	3.517064e-04	3.249455e-01	0	0	1.799295e+01	1.430928e+02	CBFB;NCKAP1L;LILRB4;HLA-E
MSigDB_Hallmark_2020	positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	18/171	3.947196e-04	3.249455e-01	0	0	2.669478e+00	2.092159e+01	CHUK;NEK6;LPAR1;ZDHHC13;IRAK4;TICAM1;ATP2C1;EDA2R;IKBKB;CASP10;FLNA;LGALS9;TRIM38;MAP3K14;LURAP1;TMEM9B;TMEM106A;TMED4
MSigDB_Hallmark_2020	regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	6/24	4.163299e-04	3.249455e-01	0	0	7.509619e+00	5.845512e+01	TGFBR3;BCL9;TGFB1;LATS2;ZNF703;ENG
MSigDB_Hallmark_2020	dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	3/5	7.297250e-04	3.670621e-01	0	0	3.370246e+01	2.434276e+02	CTDP1;RPRD1B;RPAP2
MSigDB_Hallmark_2020	positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	3/5	7.297250e-04	3.670621e-01	0	0	3.370246e+01	2.434276e+02	CBFB;NCKAP1L;LILRB4
MSigDB_Hallmark_2020	regulation of hematopoietic stem cell differentiation (GO:1902036)	10/71	8.396692e-04	3.670621e-01	0	0	3.702396e+00	2.622223e+01	LMO1;PSMD12;CBFB;TAL1;PSMB3;PSMC4;PSME3;PSME4;ABL1;TCF3
MSigDB_Hallmark_2020	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	12/100	1.144544e-03	3.670621e-01	0	0	3.082659e+00	2.087808e+01	TGFBR3;BCL9;TGFB1;LATS2;SNX25;ZNF703;EP300;PMEPA1;IL17RD;SKIL;BCL9L;ENG
MSigDB_Hallmark_2020	regulation of stress fiber assembly (GO:0051492)	10/74	1.164590e-03	3.670621e-01	0	0	3.528291e+00	2.383497e+01	SERPINF2;ALMS1;LPAR1;ABL1;INPP5K;EVL;ARAP1;NF2;PFN1;PHLDB2
MSigDB_Hallmark_2020	regulation of actin nucleation (GO:0051125)	4/12	1.246488e-03	3.670621e-01	0	0	1.124383e+01	7.519228e+01	WASHC5;ARFIP1;WHAMM;CORO1B
MSigDB_Hallmark_2020	regulation of hematopoietic progenitor cell differentiation (GO:1901532)	10/75	1.293300e-03	3.670621e-01	0	0	3.473828e+00	2.310289e+01	LMO1;PSMD12;CBFB;TAL1;PSMB3;PSMC4;PSME3;PSME4;ABL1;TCF3
MSigDB_Hallmark_2020	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	6/31	1.764724e-03	4.591224e-01	0	0	5.404947e+00	3.426607e+01	TGFBR3;BCL9;TGFB1;LATS2;ZNF703;ENG
MSigDB_Hallmark_2020	modulation by host of symbiont process (GO:0051851)	6/32	2.094528e-03	4.655109e-01	0	0	5.196793e+00	3.205604e+01	CX3CR1;CTDP1;TFAP4;CCL5;EP300;INPP5K
MSigDB_Hallmark_2020	positive regulation of helicase activity (GO:0051096)	3/7	2.394294e-03	4.655109e-01	0	0	1.684947e+01	1.016809e+02	CHTOP;GTF2H2;SSBP1
MSigDB_Hallmark_2020	regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043376)	3/7	2.394294e-03	4.655109e-01	0	0	1.684947e+01	1.016809e+02	CBFB;NCKAP1L;LILRB4
MSigDB_Hallmark_2020	wound healing, spreading of cells (GO:0044319)	5/24	3.044250e-03	4.655109e-01	0	0	5.921362e+00	3.431134e+01	DDR1;FLNA;ITGA5;LCP1;ARHGAP35
MSigDB_Hallmark_2020	negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	4/15	3.102378e-03	4.655109e-01	0	0	8.176050e+00	4.722148e+01	CX3CR1;ARRB2;LGALS9;HLA-E
MSigDB_Hallmark_2020	fat cell differentiation (GO:0045444)	8/58	3.113330e-03	4.655109e-01	0	0	3.607084e+00	2.082031e+01	CEBPA;MKKS;CTBP2;FAM120B;FFAR4;BBS9;EP300;OSBPL11
