Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Adrenergic signaling in cardiomyocytes	6/150	2.580697e-02	9.654221e-01	0	0	2.771542e+00	1.013584e+01	CACNB2;KCNE1;PPP2R5B;PPP2R5A;PPP2R3B;CREB5
GO_Biological_Process_2021	AMPK signaling pathway	5/120	3.473654e-02	9.654221e-01	0	0	2.886514e+00	9.698582e+00	PPP2R5B;PPP2R5A;PPP2R3B;PFKM;CREB5
GO_Biological_Process_2021	Dopaminergic synapse	5/132	4.893079e-02	9.654221e-01	0	0	2.612171e+00	7.881831e+00	PPP2R5B;PPP2R5A;PPP2R3B;GRIA4;CREB5
GO_Biological_Process_2021	TGF-beta signaling pathway	4/94	5.306113e-02	9.654221e-01	0	0	2.944444e+00	8.645803e+00	TGIF1;ACVR1B;THSD4;ACVR2A
GO_Biological_Process_2021	Pentose phosphate pathway	2/30	7.410979e-02	9.654221e-01	0	0	4.715244e+00	1.227005e+01	TALDO1;PFKM
GO_Biological_Process_2021	beta-Alanine metabolism	2/30	7.410979e-02	9.654221e-01	0	0	4.715244e+00	1.227005e+01	ALDH3B1;DPYD
GO_Biological_Process_2021	PI3K-Akt signaling pathway	9/354	8.678293e-02	9.654221e-01	0	0	1.735096e+00	4.241175e+00	PHLPP1;DDIT4;TNC;PPP2R5B;PPP2R5A;LAMB1;PPP2R3B;FGF1;CREB5
GO_Biological_Process_2021	Nicotinate and nicotinamide metabolism	2/35	9.661480e-02	9.654221e-01	0	0	3.999797e+00	9.347618e+00	NAMPT;NUDT12
GO_Biological_Process_2021	DNA replication	2/36	1.013240e-01	9.654221e-01	0	0	3.881958e+00	8.887480e+00	RNASEH2C;RPA2
GO_Biological_Process_2021	Tyrosine metabolism	2/36	1.013240e-01	9.654221e-01	0	0	3.881958e+00	8.887480e+00	ALDH3B1;FAH
GO_Biological_Process_2021	Thyroid hormone synthesis	3/75	1.029577e-01	9.654221e-01	0	0	2.753648e+00	6.260244e+00	LRP2;TSHR;CREB5
GO_Biological_Process_2021	Sphingolipid signaling pathway	4/119	1.042597e-01	9.654221e-01	0	0	2.301410e+00	5.203189e+00	PRKCE;PPP2R5B;PPP2R5A;PPP2R3B
GO_Biological_Process_2021	Bladder cancer	2/41	1.257464e-01	9.654221e-01	0	0	3.383411e+00	7.015461e+00	DAPK2;ARAF
GO_Biological_Process_2021	Homologous recombination	2/41	1.257464e-01	9.654221e-01	0	0	3.383411e+00	7.015461e+00	BRIP1;RPA2
GO_Biological_Process_2021	ECM-receptor interaction	3/88	1.459531e-01	9.654221e-01	0	0	2.330957e+00	4.485856e+00	FRAS1;TNC;LAMB1
