Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	26/90	3.174986e-15	1.001390e-11	0	0	9.421742e+00	3.145305e+02	RPL4;RPL3;RPL32;RPL31;RPL12;RPL11;SRP14;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL23;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	26/94	1.011330e-14	1.594867e-11	0	0	8.865664e+00	2.856953e+02	RPL4;RPL3;RPL32;RPL31;RPL12;RPL11;SRP14;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL23;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	26/103	1.093405e-13	1.149533e-10	0	0	7.825725e+00	2.335533e+02	RPL4;RPL3;RPL32;RPL31;RPL12;RPL11;SRP14;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL23;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	24/93	5.732004e-13	4.519686e-10	0	0	8.045112e+00	2.267719e+02	RPL4;RPL3;RPL32;RPL31;RPL23;RPL12;RPS6;RPL11;RPL23A;RPS4X;RPS25;RPS27;RPS18;RPL37A;RPL36;RPL14;RPL35;RPL38;RPS20;RPL37;RPS11;RPS27A;RPS21;RPS24
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	26/113	1.132622e-12	7.144581e-10	0	0	6.922585e+00	1.904160e+02	RPL4;RPL3;RPL32;RPL31;RPL12;EIF4A3;RPL11;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL23;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	31/171	6.615902e-12	3.477759e-09	0	0	5.146184e+00	1.324707e+02	RPL4;RPL3;RPL32;RPL31;RPL12;EIF4A3;RPL11;TENT4B;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;POLR2G;RPL37;RPS11;RPS27A;RPL23;RPS6;RPL23A;NBDY;RPS25;RPS27;PDE12;RPL37A;RPS20;RPS21;RPS24;DCP1B
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	26/162	4.968469e-09	2.238650e-06	0	0	4.417036e+00	8.445441e+01	RPL4;PCSK1;RPL3;RPL32;RPL31;RPL12;RPL11;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL23;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	23/162	3.766223e-07	1.484833e-04	0	0	3.808560e+00	5.633631e+01	RPL4;RPL3;RPL32;RPL31;RPL23;RPL12;RPS6;RPL11;RPL23A;DDX52;WDR12;RPF1;RPS25;RPS27;RPL37A;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;MAPT;RPS24
GO_Biological_Process_2021	rRNA processing (GO:0006364)	23/173	1.223704e-06	4.288404e-04	0	0	3.527224e+00	4.801831e+01	RPL4;RPL3;RPL32;RPL31;RPL23;RPL12;RPS6;RPL11;RPL23A;DDX52;WDR12;RPF1;RPS25;RPS27;RPL37A;RPL36;NHP2;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS24
GO_Biological_Process_2021	gene expression (GO:0010467)	36/356	1.411356e-06	4.451416e-04	0	0	2.605766e+00	3.510216e+01	RPL4;RNASEL;RPL3;NUFIP1;RPL32;NUP188;RPL31;RPL12;EIF4A3;RPL11;RBM3;RPS4X;RPS18;NUP42;RPL36;RPL14;RPL35;RPLP2;RPL38;POLR2G;RPL37;RPS11;RPS27A;CPSF4;RPL23;RPS6;RPL23A;WDR33;RPS25;RPS27;RPL37A;MMS19;RPS20;RPS21;PTMA;RPS24
