Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Ribosome	29/158	1.406469e-16	3.600561e-14	0	0	8.714281e+00	3.180737e+02	RPL4;RPL3;RPL32;RPL31;RPL12;MRPL19;RPL11;MRPL33;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL36A-HNRNPH2;RPL23;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;FAU;RPS21;RPS24
GO_Biological_Process_2021	Coronavirus disease	28/232	2.175305e-11	2.784390e-09	0	0	5.289255e+00	1.298579e+02	RPL4;RPL3;RPL32;RPL31;RPL12;RPL11;RPS4X;RPS18;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS27A;RPL36A-HNRNPH2;RPL23;MX2;RPS6;RPL23A;RPS25;RPS27;RPL37A;RPS20;FAU;RPS21;RPS24
GO_Biological_Process_2021	Oxidative phosphorylation	13/133	5.197365e-05	4.435085e-03	0	0	4.070809e+00	4.015761e+01	NDUFB9;COX4I1;NDUFA2;NDUFA1;COX7A2;COX6C;COX7C;ATP5F1D;ATP5F1E;ATP5F1A;NDUFS8;UQCRC1;ATP5ME
GO_Biological_Process_2021	Huntington disease	20/306	1.979121e-04	1.266637e-02	0	0	2.641099e+00	2.252247e+01	NDUFB9;DNAH11;DNAH17;COX4I1;NDUFA2;NDUFA1;COX7A2;COX6C;COX7C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;SOD1;ATP5F1A;NDUFS8;UQCRC1;CYCS;POLR2G;CREB5
GO_Biological_Process_2021	Diabetic cardiomyopathy	15/203	3.381676e-04	1.511516e-02	0	0	2.999253e+00	2.396994e+01	NDUFB9;COX4I1;NDUFA2;NDUFA1;COX7A2;COX6C;COX7C;ATP5F1D;AGT;ATP5F1E;ATP5F1A;NDUFS8;UQCRC1;PDK3;GAPDH
GO_Biological_Process_2021	Parkinson disease	17/249	3.542617e-04	1.511516e-02	0	0	2.758958e+00	2.192123e+01	NDUFB9;COX4I1;NDUFA2;NDUFA1;COX7A2;COX6C;COX7C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;ATP5F1A;NDUFS8;UQCRC1;CYCS;MAPT;RPS27A
GO_Biological_Process_2021	Thermogenesis	16/232	4.685463e-04	1.713541e-02	0	0	2.785880e+00	2.135621e+01	NDUFB9;COX4I1;RPS6;NDUFA2;NDUFA1;ADCY3;COX7A2;COX6C;COX7C;ATP5F1D;ATP5F1E;ATP5F1A;NDUFS8;UQCRC1;ATP5ME;CREB5
GO_Biological_Process_2021	Prion disease	17/273	9.988336e-04	3.196268e-02	0	0	2.497187e+00	1.725287e+01	NDUFB9;COX4I1;NDUFA2;NDUFA1;COX7A2;COX6C;COX7C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;SOD1;ATP5F1A;NDUFS8;UQCRC1;CYCS;CREB5
GO_Biological_Process_2021	Amyotrophic lateral sclerosis	20/364	1.732424e-03	4.927785e-02	0	0	2.189159e+00	1.391919e+01	NDUFB9;DNAH11;DNAH17;COX4I1;NDUFA2;NDUFA1;COX7A2;COX6C;TNFRSF1B;COX7C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;SOD1;ATP5F1A;NDUFS8;UQCRC1;CYCS;SPG11
GO_Biological_Process_2021	Pathways of neurodegeneration	24/475	1.957053e-03	5.010056e-02	0	0	2.008341e+00	1.252465e+01	NDUFB9;DNAH11;DNAH17;COX4I1;CHRM5;NDUFA2;ARAF;NDUFA1;COX7A2;TNFRSF1B;COX6C;TUBB4A;COX7C;ATP5F1D;TUBA4A;ATP5F1E;SOD1;ATP5F1A;NDUFS8;UQCRC1;CYCS;MAPT;RPS27A;SPG11
GO_Biological_Process_2021	Alzheimer disease	19/369	4.532753e-03	1.054895e-01	0	0	2.039394e+00	1.100544e+01	NDUFB9;COX4I1;CHRM5;NDUFA2;ARAF;NDUFA1;COX7A2;COX6C;COX7C;ATP5F1D;TUBB4A;ATP5F1E;TUBA4A;ATP5F1A;NDUFS8;UQCRC1;CYCS;MAPT;GAPDH
GO_Biological_Process_2021	Non-alcoholic fatty liver disease	10/155	8.216967e-03	1.752953e-01	0	0	2.573159e+00	1.235516e+01	NDUFB9;NDUFS8;COX4I1;NDUFA2;UQCRC1;NDUFA1;CYCS;COX7A2;COX6C;COX7C
GO_Biological_Process_2021	Cardiac muscle contraction	6/87	2.757932e-02	5.431004e-01	0	0	2.751667e+00	9.880382e+00	CACNB2;COX4I1;UQCRC1;COX7A2;COX6C;COX7C
GO_Biological_Process_2021	Glyoxylate and dicarboxylate metabolism	3/30	4.384003e-02	7.703698e-01	0	0	4.115344e+00	1.286954e+01	MDH1;AFMID;GLUL
GO_Biological_Process_2021	Circadian rhythm	3/31	4.761707e-02	7.703698e-01	0	0	3.968163e+00	1.208133e+01	BHLHE40;RORA;RBX1
GO_Biological_Process_2021	Thyroid hormone synthesis	5/75	4.814811e-02	7.703698e-01	0	0	2.649822e+00	8.038166e+00	DUOX1;ADCY3;LRP2;TSHR;CREB5
GO_Biological_Process_2021	Notch signaling pathway	4/59	7.022094e-02	9.942927e-01	0	0	2.694934e+00	7.158038e+00	NOTCH2;CTBP1;DTX3;RBPJ
GO_Biological_Process_2021	Viral myocarditis	4/60	7.374365e-02	9.942927e-01	0	0	2.646674e+00	6.900303e+00	LAMA2;HLA-B;CYCS;CD55
GO_Biological_Process_2021	Cortisol synthesis and secretion	4/65	9.265562e-02	9.942927e-01	0	0	2.429108e+00	5.778521e+00	NR4A1;ADCY3;AGT;CREB5
GO_Biological_Process_2021	Homologous recombination	3/41	9.340774e-02	9.942927e-01	0	0	2.922406e+00	6.928385e+00	BRIP1;XRCC3;RPA2
