Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	61/90	2.089749e-41	4.589330e-38	0	0	2.090735e+01	1.958370e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cytoplasmic translation (GO:0002181)	62/93	2.135069e-41	4.589330e-38	0	0	1.988785e+01	1.862447e+03	EIF4A2;RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;FTSJ1;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;TMA7;RPL23A;RPS25;RPS27;RPL27A;DRG2;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cotranslational protein targeting to membrane (GO:0006613)	61/94	1.068944e-39	1.531796e-36	0	0	1.836906e+01	1.648332e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL23A;RPS25;RPS27;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	protein targeting to ER (GO:0045047)	61/103	2.579379e-36	2.772188e-33	0	0	1.442565e+01	1.182118e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL23A;RPS25;RPS27;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	62/113	3.324710e-34	2.858585e-31	0	0	1.207533e+01	9.308448e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;UPF3A;RPL23A;RPS25;RPS27;RPL27A;RPS20;EIF3E;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	peptide biosynthetic process (GO:0043043)	66/162	1.664235e-26	1.192424e-23	0	0	6.826894e+00	4.052297e+02	RPL4;RPL5;PCSK1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;MRPS7;DARS1;MRPL43;EEF1A1;EEF1A2;RPL37A;RPL24;RPL27;RPL28;RPL12;RPL11;RPL14;RPS3;DMD;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL23A;RPS25;COPS5;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	translation (GO:0006412)	75/214	5.008397e-25	3.075871e-22	0	0	5.371782e+00	3.005701e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;NARS1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;MRPL47;RPS3A;MRPS7;FTSJ1;MRPL43;DARS1;EEF1A1;PPA1;LARS1;EEF1A2;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;TMA7;RPL23A;EEF2;RPS25;GARS1;RPS27;COPS5;RPL27A;DRG2;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	nuclear-transcribed mRNA catabolic process (GO:0000956)	65/171	4.095235e-24	2.200677e-21	0	0	6.082438e+00	3.275528e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL10A;RPL8;RPL9;TENT4B;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RPS3;POLR2G;RPL15;RPS2;RPS27A;RPL19;RPL41;UPF3A;RPL23A;RPS25;RPS27;RPL27A;RPS20;EIF3E;CNOT8;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	rRNA metabolic process (GO:0016072)	59/162	6.344018e-21	3.030326e-18	0	0	5.664020e+00	2.634153e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;WDR46;RPL6;RPS15;RPS14;RPL7A;RPS16;RPL18A;NOB1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;IMP3;RPL23;TEX10;RPS6;RPL13A;RPL37A;SBDS;RPL24;RPL27;MAPT;RPL28;UBA52;RPL12;RPL11;RPL14;RRP36;RPL15;RPS2;RPL19;RPL41;UTP3;RPL23A;RRP1B;WDR12;RPS25;RPS27;RPL27A;NOP53;RPS24;MPHOSPH6
MSigDB_Hallmark_2020	rRNA processing (GO:0006364)	60/173	5.023536e-20	2.159618e-17	0	0	5.250251e+00	2.333084e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;WDR46;RPL6;RPS15;RPS14;RPL7A;RPS16;RPL18A;NOB1;RPL36;RPL35;RPLP2;RPL38;RIOK2;RPL37;RPL39;RPS9;RPL21;RPS7;IMP3;RPL23;TEX10;RPS6;RPL13A;RPL37A;NHP2;SBDS;RPL24;RPL27;RPL28;UBA52;RPL12;RPL11;RPL14;RRP36;RPL15;RPS2;RPL19;RPL41;UTP3;RPL23A;RRP1B;WDR12;RPS25;RPS27;RPL27A;NOP53;RPS24;MPHOSPH6
