Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101),21/108,4.732782340448015e-07,0.0010134795521245,0,0,4.139567077774982,60.28692619090252,ACVR1;SMAD2;TGFB1;SMURF1;UBE2D1;IL17RD;SIRT1;SORL1;SMAD7;TGFBR2;SPART;SKI;SPRED2;PPM1A;SPRED1;ADAMTSL2;PMEPA1;PPARG;SKIL;TRIM33;BCL9L
PanglaoDB_Augmented_2021,regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),20/100,5.503554450853067e-07,0.0010134795521245,0,0,4.285095715587967,61.75980546341146,SMAD2;TGFB1;SMURF1;IL17RD;SIRT1;SMAD7;TGFBR2;SKI;BCL9;SPRED2;PPM1A;SPRED1;LATS2;ZNF703;ADAMTSL2;EP300;PMEPA1;SKIL;TRIM33;BCL9L
PanglaoDB_Augmented_2021,regulation of epithelial to mesenchymal transition (GO:0010717),16/76,3.6492303728038662e-06,0.0036494138350895,0,0,4.559006963366636,57.083300062328625,SMAD2;TGFB1;HPN;DAB2IP;IL17RD;USF3;TGFBR2;SMAD7;SPRED2;SPRED1;PDPN;ZNF703;DAG1;GCNT2;PHLDB2;BCL9L
PanglaoDB_Augmented_2021,negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512),15/68,3.963523035666055e-06,0.0036494138350895,0,0,4.835975755915488,60.151690933879216,SMAD2;TGFB1;SMURF1;IL17RD;SIRT1;TGFBR2;SMAD7;SKI;SPRED2;PPM1A;SPRED1;ADAMTSL2;PMEPA1;SKIL;BCL9L
PanglaoDB_Augmented_2021,plasma membrane bounded cell projection assembly (GO:0120031),32/278,8.64510946559715e-05,0.0636798763235886,0,0,2.2344011089880484,20.904904129482563,NRP1;AVIL;PTPRO;CDC14B;RAP1A;KIF3B;TCTN3;STK36;BBS9;WHAMM;SRGAP2;CEP290;MAP4K4;P2RY12;IQCB1;ABCC4;MKKS;GSN;EXOC8;RAB3IP;OCRL;WDR35;KIF27;P2RX7;SHTN1;EHD4;STK26;FSCN1;CEP41;CCDC66;RAPGEF6;VCL
PanglaoDB_Augmented_2021,stress-activated MAPK cascade (GO:0051403),12/62,0.0001399490708749749,0.0859054046720887,0,0,4.090425339366516,36.29938336251235,MAP4K2;CHUK;FBXW11;TRAF6;MAP3K10;TAB2;LGALS9;BTRC;MAP4K3;MAP3K11;MAP3K5;MAPK13
PanglaoDB_Augmented_2021,negative regulation of cell adhesion (GO:0007162),13/73,0.00018096879570311624,0.0952154392249395,0,0,3.6941274154589374,31.832982828723047,TGFB1;DSCAM;SEMA4D;NEXMIF;PTPRO;ADAM10;ACER2;ARHGDIB;GCNT2;PLXNA2;PLXNB2;NF2;SIPA1
PanglaoDB_Augmented_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",95/1183,0.00020987864213444993,0.0966228798726473,0,0,1.5203437967652815,12.87576286341655,RNF10;SETD3;MAML2;MAML1;UBP1;CTCF;EFCAB7;NR3C1;PKD2;WDR43;ELK3;PHF8;LYL1;HHEX;ZMIZ1;CREB3L2;NCK2;SPIN1;DPF2;EP300;BTRC;CEP290;MAP3K5;ACVR1;LMO1;SUPT16H;MAP2K1;CHUK;FBXW11;ZBTB38;SERPINF2;TFE3;RHOG;VEZF1;ARID1A;SIRT1;ARID1B;RUNX1;ACTA2;PPM1A;MED24;TAL1;TRAF6;RFX5;TFEC;PPARG;NCOA7;IRF5;MAML3;RBM23;TP53;ZNF398;NFAT5;CEBPA;RNASEL;NUFIP1;CTBP2;ZBTB48;GLIS3;NRF1;PRDM10;NPAS3;BCLAF3;SCAF8;SERTAD2;PLAGL1;NRIP1;ABL1;E2F3;RPRD1B;BCL9L;BRD4;ESRRA;RNF20;SMAD2;AKIRIN2;ZNF263;DR1;TGFB1;POU2F1;AUTS2;DAB2IP;HMGA1;NFATC3;SMAD7;SKI;BCL9;TFCP2;RYBP;AGO1;CAPRIN2;MMS19;SSBP3;RBMX;ZPR1
PanglaoDB_Augmented_2021,regulation of cellular response to transforming growth factor beta stimulus (GO:1903844),7/24,0.0002485329104464637,0.1017051899082584,0,0,6.998516163222045,58.08723124431544,SMAD2;BCL9;TGFB1;LATS2;ZNF703;TRIM33;SMAD7
PanglaoDB_Augmented_2021,white fat cell differentiation (GO:0050872),4/7,0.0002956037574732376,0.1088708638773934,0,0,22.617550164719976,183.801310112011,CTBP2;FFAR4;PPARG;SIRT1
PanglaoDB_Augmented_2021,transforming growth factor beta receptor signaling pathway (GO:0007179),14/89,0.0003985393137129004,0.1275367587636619,0,0,3.1829797521909944,24.915424644325963,ACVR1;SMAD2;TGFB1;ZFYVE9;SMURF1;ARRB2;CBL;SIRT1;TGFBR2;SMAD7;SKI;ZMIZ1;GCNT2;APPL2
PanglaoDB_Augmented_2021,positive regulation of intracellular signal transduction (GO:1902533),50/546,0.000415541978051573,0.1275367587636619,0,0,1.737139855488708,13.52524396215925,BCAR3;SLC44A2;CGAS;EDA2R;FFAR4;EP300;TNFAIP8L3;LGALS9;TMED4;MIOS;CHUK;UNC5B;RHOG;GAB2;TICAM1;SIRT1;PPM1A;TRAF6;TLR7;TP53;TMEM106A;CX3CR1;NFAT5;LPAR1;TGFA;ATP2C1;CBL;SHARPIN;PDGFC;TIFA;GCNT2;BID;LURAP1;BRD4;P2RY12;TGFB1;SEMA4D;NEK6;DAB2IP;LAPTM5;NMI;EPOR;NEDD4;TAB2;LAMTOR1;HPSE;TRIM38;MAP3K14;TMEM9B;BCL2L1
PanglaoDB_Augmented_2021,signal transduction in response to DNA damage (GO:0042770),10/52,0.0005241625266862775,0.1456173864034,0,0,4.052350840968727,30.610278031036323,ACER2;USP10;SESN2;TIPRL;ABL1;INTS7;MDM4;NBN;BID;TP53
PanglaoDB_Augmented_2021,I-kappaB kinase/NF-kappaB signaling (GO:0007249),11/62,0.0005772012475999722,0.1456173864034,0,0,3.6725171081090666,27.387133699984393,SHARPIN;CHUK;TRAF6;TIFA;DAB2IP;TLR7;TAB2;TICAM1;ZNF675;MAP3K14;FAIM
PanglaoDB_Augmented_2021,cellular response to transforming growth factor beta stimulus (GO:0071560),16/114,0.0005930656519280477,0.1456173864034,0,0,2.785593801553319,20.697534255760676,ACVR1;SMAD2;TGFB1;ZFYVE9;SMURF1;ARRB2;NR3C1;CBL;SIRT1;SMAD7;TGFBR2;SKI;ZMIZ1;PDE3A;GCNT2;APPL2
PanglaoDB_Augmented_2021,regulation of neuron migration (GO:2001222),7/28,0.0006988814196074071,0.16087376677588,0,0,5.664264264264264,41.15671108717081,SRGAP2C;NTNG2;SHTN1;NEXMIF;DAB2IP;PLXNB2;SRGAP2
PanglaoDB_Augmented_2021,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),25/224,0.0007753470025411723,0.1679766476681845,0,0,2.149483682146999,15.395031778082984,SLC44A2;USP10;PPM1N;LPAR1;ATP2C1;EDA2R;SHARPIN;TIFA;LGALS9;LURAP1;TMED4;BRD4;CHUK;NEK6;DAB2IP;TICAM1;SIRT1;PPM1A;TRAF6;TAB2;TRIM38;ZMYND11;MAP3K14;TMEM9B;TMEM106A
PanglaoDB_Augmented_2021,negative regulation of epithelial to mesenchymal transition (GO:0010719),7/29,0.0008772923002272633,0.1790175544423244,0,0,5.406511056511056,38.05464893816081,SPRED2;SPRED1;HPN;DAB2IP;IL17RD;USF3;SMAD7
PanglaoDB_Augmented_2021,protein phosphorylation (GO:0006468),45/496,0.0009566627498616948,0.1790175544423244,0,0,1.715590561604395,11.926887888555962,DDR1;CSF1R;RNASEL;CAB39;MAML1;MAST3;MAST2;STK10;RPS6KA6;NUAK1;STK36;MKNK1;ABL1;TLK2;STK32B;MAP4K3;MAP3K5;MAP4K4;CDK17;ACVR1;SMAD2;MAP4K2;MAP2K1;TGFB1;CHUK;SYK;NEK6;DAB2IP;LMTK3;MATK;ADAM10;EIF2AK4;SMAD7;TGFBR2;MAPK13;FER;LATS2;ABI3;STK26;MAPKAPK2;WNK3;MAP3K10;TLR7;MAP3K11;CSNK1G1
PanglaoDB_Augmented_2021,regulation of tumor necrosis factor superfamily cytokine production (GO:1903555),4/9,0.0009721289950709984,0.1790175544423244,0,0,13.56909254267745,94.1155250925586,CX3CR1;CD274;MAPKAPK2;SIRPA
PanglaoDB_Augmented_2021,regulation of organelle assembly (GO:1902115),12/77,0.0011026154503645,0.1933777477948819,0,0,3.143974939088061,21.410690165605615,SENP6;TBC1D1;GSN;TBC1D5;ALMS1;TRAPPC12;MSN;TBC1D12;EVI5;TBC1D22B;TBC1D10B;SDCCAG8
PanglaoDB_Augmented_2021,membrane protein proteolysis (GO:0033619),8/39,0.0012051767614104,0.2014356568630315,0,0,4.386864073998662,29.484679490832487,APH1A;TGFB1;TRAF6;DAG1;CTSH;ADAM10;MYH9;RBMX
PanglaoDB_Augmented_2021,positive regulation of JUN kinase activity (GO:0043507),6/23,0.0013289591395775,0.2014356568630315,0,0,5.99332874463917,39.69596934890541,TRAF6;DAB2IP;MAP3K10;MAP3K11;MAP3K4;MAP3K5
PanglaoDB_Augmented_2021,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),7/31,0.0013405444649947,0.2014356568630315,0,0,4.955442942942943,32.77866650312394,SMAD2;BCL9;TGFB1;LATS2;ZNF703;TRIM33;SMAD7
PanglaoDB_Augmented_2021,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),20/171,0.0014178160153953,0.2014356568630315,0,0,2.261676939515959,14.833519434146035,CHUK;SLC44A2;NEK6;LPAR1;TICAM1;ATP2C1;EDA2R;PPM1A;SHARPIN;TRAF6;TIFA;TAB2;LGALS9;TRIM38;MAP3K14;LURAP1;TMEM9B;TMEM106A;TMED4;BRD4
