Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Amoebiasis	5/102	1.615700e-03	2.552805e-01	0	0	6.319075e+00	4.061894e+01	GNA14;TGFB2;LAMA1;PRDX1;HSPB1
KEGG_2021_Human	Mucin type O-glycan biosynthesis	3/36	3.279053e-03	2.590452e-01	0	0	1.104350e+01	6.317105e+01	GALNT18;ST6GALNAC3;ST3GAL2
KEGG_2021_Human	ABC transporters	3/45	6.171702e-03	2.640606e-01	0	0	8.673094e+00	4.412680e+01	ABCA4;ABCA9;ABCA8
KEGG_2021_Human	Hypertrophic cardiomyopathy	4/90	6.725167e-03	2.640606e-01	0	0	5.669825e+00	2.835989e+01	TGFB2;LAMA1;CACNA1C;ACTG1
KEGG_2021_Human	Dilated cardiomyopathy	4/96	8.416019e-03	2.640606e-01	0	0	5.298443e+00	2.531394e+01	TGFB2;LAMA1;CACNA1C;ACTG1
KEGG_2021_Human	MAPK signaling pathway	7/294	1.156378e-02	2.640606e-01	0	0	2.998466e+00	1.337279e+01	CSF1R;TGFB2;PDGFD;HSPB1;CACNA1C;FGF1;HSPA1A
KEGG_2021_Human	Hippo signaling pathway	5/163	1.169889e-02	2.640606e-01	0	0	3.867442e+00	1.720340e+01	MOB1B;TGFB2;FGF1;WTIP;ACTG1
KEGG_2021_Human	Axon guidance	5/182	1.805043e-02	3.463641e-01	0	0	3.448960e+00	1.384614e+01	ABLIM1;TRPC6;SEMA4B;PLXNC1;SRGAP3
KEGG_2021_Human	Renal cell carcinoma	3/69	1.972960e-02	3.463641e-01	0	0	5.512549e+00	2.164026e+01	ARNT2;TGFB2;ELOB
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	3/77	2.626205e-02	4.149403e-01	0	0	4.914608e+00	1.788736e+01	LAMA1;CACNA1C;ACTG1
KEGG_2021_Human	Choline metabolism in cancer	3/98	4.821437e-02	6.143262e-01	0	0	3.824152e+00	1.159521e+01	DGKB;PDGFD;DGKH
KEGG_2021_Human	Calcium signaling pathway	5/240	5.010511e-02	6.143262e-01	0	0	2.590062e+00	7.753694e+00	GNA14;PDE1C;PDGFD;CACNA1C;FGF1
KEGG_2021_Human	Glycosphingolipid biosynthesis	2/45	5.373212e-02	6.143262e-01	0	0	5.612876e+00	1.641061e+01	ST6GALNAC3;ST3GAL2
KEGG_2021_Human	Protein digestion and absorption	3/103	5.443397e-02	6.143262e-01	0	0	3.632025e+00	1.057198e+01	COL15A1;COL24A1;COL23A1
KEGG_2021_Human	Toxoplasmosis	3/112	6.654030e-02	7.008912e-01	0	0	3.330613e+00	9.025786e+00	TGFB2;LAMA1;HSPA1A
KEGG_2021_Human	Glycosaminoglycan biosynthesis	2/53	7.167956e-02	7.078357e-01	0	0	4.730512e+00	1.246750e+01	GLCE;ST3GAL2
KEGG_2021_Human	Viral myocarditis	2/60	8.872783e-02	7.683325e-01	0	0	4.158116e+00	1.007171e+01	LAMA1;ACTG1
KEGG_2021_Human	Glycerolipid metabolism	2/61	9.125362e-02	7.683325e-01	0	0	4.087433e+00	9.785774e+00	DGKB;DGKH
KEGG_2021_Human	Purine metabolism	3/129	9.239441e-02	7.683325e-01	0	0	2.878761e+00	6.856313e+00	NT5E;PDE1C;AK5
KEGG_2021_Human	Rap1 signaling pathway	4/210	9.788305e-02	7.732761e-01	0	0	2.352631e+00	5.467472e+00	CSF1R;PDGFD;FGF1;ACTG1
KEGG_2021_Human	Amphetamine addiction	2/69	1.121725e-01	7.920499e-01	0	0	3.597925e+00	7.871243e+00	CACNA1C;GRIA4
KEGG_2021_Human	Renin secretion	2/69	1.121725e-01	7.920499e-01	0	0	3.597925e+00	7.871243e+00	PDE1C;CACNA1C
KEGG_2021_Human	Thiamine metabolism	1/15	1.175588e-01	7.920499e-01	0	0	8.580087e+00	1.836839e+01	AK5
KEGG_2021_Human	Melanoma	2/72	1.203114e-01	7.920499e-01	0	0	3.443206e+00	7.291580e+00	PDGFD;FGF1
KEGG_2021_Human	Phospholipase D signaling pathway	3/148	1.253734e-01	7.923600e-01	0	0	2.499133e+00	5.189346e+00	DGKB;PDGFD;DGKH
KEGG_2021_Human	Bacterial invasion of epithelial cells	2/77	1.341836e-01	8.092898e-01	0	0	3.212846e+00	6.453148e+00	ELMO1;ACTG1
KEGG_2021_Human	Ribosome	3/158	1.442088e-01	8.092898e-01	0	0	2.336711e+00	4.525025e+00	RPS4X;RPL30;RPL19
KEGG_2021_Human	Taste transduction	2/86	1.599714e-01	8.092898e-01	0	0	2.867305e+00	5.255083e+00	PDE1C;CACNA1C
KEGG_2021_Human	Pantothenate and CoA biosynthesis	1/21	1.606394e-01	8.092898e-01	0	0	6.004242e+00	1.097932e+01	PANK3
