Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),14/90,4.2514572499006356e-08,9.411658184563824e-05,0,0,7.456688596491228,126.56549943440528,RPL5;RPL30;RPL34;RPLP1;SRP54;RPL35A;RPL23A;SRP14;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,cotranslational protein targeting to membrane (GO:0006613),14/94,7.49037658938625e-08,9.411658184563824e-05,0,0,7.082395833333333,116.20130519985928,RPL5;RPL30;RPL34;RPLP1;SRP54;RPL35A;RPL23A;SRP14;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,protein targeting to ER (GO:0045047),14/103,2.414540686145684e-07,0.0002022580248094701,0,0,6.363249063670412,96.95419525063264,RPL5;RPL30;RPL34;RPLP1;SRP54;RPL35A;RPL23A;SRP14;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,cytoplasmic translation (GO:0002181),13/93,4.66753452220813e-07,0.00024730824829283016,0,0,6.562837837837838,95.66953663895072,RPL5;RPL30;EIF2B3;RPL34;RPLP1;RPL35A;RPL23A;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,extracellular matrix organization (GO:0030198),24/300,4.9205779604622e-07,0.00024730824829283016,0,0,3.55781683626272,51.67611424225599,TGFB2;COL15A1;GSN;COL24A1;LAMA1;COL12A1;COL23A1;FN1;LAMC1;ADAMTS12;DCN;TGFBR1;THSD4;COL1A1;COL3A1;COL1A2;CTSL;ADAMTSL3;P4HA3;COL6A1;TIMP2;COL6A3;CD47;JAM2
PanglaoDB_Augmented_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",14/113,7.68243913931489e-07,0.00032176615928497195,0,0,5.717550505050505,80.49830012373202,RPL5;RPL30;RPL34;RPLP1;RPL35A;UPF3A;RPL23A;SMG6;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,collagen fibril organization (GO:0030199),12/89,1.9091140195921317e-06,0.0006853719330335753,0,0,6.281942124265775,82.72608727068297,COL1A1;COL15A1;TGFB2;COL3A1;COL1A2;COL24A1;P4HA3;COL12A1;COL23A1;COL6A1;COL6A3;TGFBR1
PanglaoDB_Augmented_2021,extracellular structure organization (GO:0043062),18/216,7.513752836963491e-06,0.0023602576099111,0,0,3.687547746371276,43.5085480234901,COL15A1;COL24A1;LAMA1;COL23A1;FN1;LAMC1;ADAMTS12;DCN;TGFBR1;THSD4;COL1A1;COL3A1;COL1A2;ADAMTSL3;COL6A1;COL6A3;CD47;JAM2
PanglaoDB_Augmented_2021,UV-damage excision repair (GO:0070914),5/13,9.84091865648829e-06,0.0027478031759727,0,0,24.92075664621677,287.31044372221277,POLA1;XPA;XPC;INO80;DDB2
PanglaoDB_Augmented_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),15/171,2.3471363307128484e-05,0.0058983535990813,0,0,3.88429420266581,41.405525353427706,RPL5;RPL30;DDX5;RPL34;RPLP1;RPL35A;UPF3A;RPL23A;SMG6;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,external encapsulating structure organization (GO:0045229),17/217,2.979232130872874e-05,0.0068061912226213,0,0,3.440272536687631,35.851974134846024,COL15A1;COL24A1;LAMA1;COL23A1;FN1;LAMC1;ADAMTS12;DCN;THSD4;COL1A1;COL3A1;COL1A2;ADAMTSL3;COL6A1;COL6A3;CD47;JAM2
PanglaoDB_Augmented_2021,peptide biosynthetic process (GO:0043043),14/162,5.143500925378105e-05,0.0107713481878959,0,0,3.814921171171171,37.673077135954145,RPL5;RPL30;RPL34;RPLP1;RPL35A;RRBP1;RPL23A;WARS1;RPS4X;RPS25;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,translation (GO:0006412),16/214,8.849666266073161e-05,0.0171070856358783,0,0,3.2641054900469126,30.462413710025807,RPL5;RPL30;FASTKD2;RPL34;RPLP1;RPL35A;RRBP1;RPL23A;WARS1;RPS4X;RPS25;EPRS1;RPS18;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,regulation of epithelial to mesenchymal transition (GO:0010717),9/76,0.00010442108449943673,0.0187435846676488,0,0,5.383935990152331,49.35496625170656,COL1A1;TGFB2;GCNT2;TWIST1;SPRY1;LDLRAD4;PHLDB2;TGFBR1;EPHA3
PanglaoDB_Augmented_2021,cellular protein metabolic process (GO:0044267),24/417,0.0001209729638321786,0.0202670038740176,0,0,2.4834172486600616,22.40028321206826,RPL5;RPL30;IGFBP5;RPL34;RPLP1;IGFBP2;FN1;RPL35A;RPL23A;RRBP1;LAMC1;PRSS23;FBXO22;FBXW2;WARS1;RPS4X;AFG3L2;RPS25;APH1B;RPS18;RPS3;GPC3;RPL15;RPL19
PanglaoDB_Augmented_2021,regulation of cell migration (GO:0030334),23/408,0.00022506323140287569,0.0353489937822141,0,0,2.425251606143326,20.370001501947492,CEMIP;ANXA1;IGFBP5;SEMA3C;SEMA3D;SEMA6D;LDLRAD4;FGF1;NKD1;TGFBR1;VEGFA;ACTG1;COL1A1;AFDN;PDGFD;RACK1;GCNT2;ENPP2;ADAM9;PLXNC1;SRGAP3;TMSB10;SASH1
PanglaoDB_Augmented_2021,regulation of axon extension involved in axon guidance (GO:0048841),5/24,0.0002595780883843305,0.0383717491829307,0,0,10.487030459584544,86.58567391031818,NRP1;SEMA3C;SEMA3D;SEMA6D;VEGFA
PanglaoDB_Augmented_2021,positive regulation of cell migration (GO:0030335),17/269,0.00040366596830324183,0.0563562543525581,0,0,2.7230208645302985,21.28019792930875,NRP1;CEMIP;TGFB2;SEMA3C;SEMA3D;SEMA6D;FN1;FGF1;TGFBR1;VEGFA;ACTG1;COL1A1;PDGFD;RACK1;GCNT2;ENPP2;ADAM9
PanglaoDB_Augmented_2021,positive regulation of epithelial cell migration (GO:0010634),9/94,0.0005273717790772574,0.0634398057835415,0,0,4.239878714372347,32.00092891481671,NRP1;BCAS3;TGFB2;ENPP2;ADAM9;FGF1;RIN2;SASH1;VEGFA
PanglaoDB_Augmented_2021,regulation of establishment of cell polarity (GO:2000114),4/16,0.0005284077590718487,0.0634398057835415,0,0,13.261224489795918,100.06445647772212,BCAS3;RIPOR2;GSN;RACK1
PanglaoDB_Augmented_2021,positive regulation of cellular component organization (GO:0051130),10/114,0.0005301376527872549,0.0634398057835415,0,0,3.85449777495232,29.07206327240653,TGFB2;SLF1;ABCB7;RACK1;GPC3;RPS3;CLU;TGFBR1;WARS1;VEGFA
PanglaoDB_Augmented_2021,glycosaminoglycan biosynthetic process (GO:0006024),9/97,0.0006639963833753098,0.0758464959737342,0,0,4.094704779756326,29.96191244159119,EXT1;CEMIP;SLC10A7;GLCE;OMD;ST3GAL4;GCNT2;GPC3;DCN
PanglaoDB_Augmented_2021,coronary vasculature morphogenesis (GO:0060977),3/8,0.0007645908136086508,0.0800590297749391,0,0,23.830142566191444,171.0091482553149,NRP1;TGFBR1;VEGFA
PanglaoDB_Augmented_2021,macromolecule modification (GO:0043412),3/8,0.0007645908136086508,0.0800590297749391,0,0,23.830142566191444,171.0091482553149,ST6GAL1;PARP1;ST3GAL4
PanglaoDB_Augmented_2021,cellular macromolecule biosynthetic process (GO:0034645),18/314,0.0008697801800392543,0.0874303036975458,0,0,2.4541505791505793,17.295061862030522,RPL5;RPL30;RPL34;RPLP1;RPL35A;RRBP1;RPL23A;WARS1;EXT1;NR4A2;RPS4X;POLA1;RPS25;RPS18;ST3GAL4;RPS3;RPL15;RPL19
PanglaoDB_Augmented_2021,endothelial cell chemotaxis (GO:0035767),3/9,0.0011258978089762,0.1088223536137427,0,0,19.85743380855397,134.81558343070287,NR4A1;NRP1;VEGFA
