Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Mucin type O-glycan biosynthesis	2/36	4.724402e-03	3.066121e-01	0	0	2.129305e+01	1.140246e+02	GALNT18;ST3GAL2
KEGG_2021_Human	MAPK signaling pathway	4/294	9.812736e-03	3.066121e-01	0	0	5.114639e+00	2.365047e+01	CSF1R;HSPB1;CACNA1C;HSPA1A
KEGG_2021_Human	Glycerolipid metabolism	2/61	1.311332e-02	3.066121e-01	0	0	1.225516e+01	5.311542e+01	DGKB;DGKH
KEGG_2021_Human	Renin secretion	2/69	1.656884e-02	3.066121e-01	0	0	1.078752e+01	4.423132e+01	PDE1C;CACNA1C
KEGG_2021_Human	Taste transduction	2/86	2.503242e-02	3.066121e-01	0	0	8.596970e+00	3.170205e+01	PDE1C;CACNA1C
KEGG_2021_Human	Phosphatidylinositol signaling system	2/97	3.126192e-02	3.066121e-01	0	0	7.597321e+00	2.632741e+01	DGKB;DGKH
KEGG_2021_Human	Choline metabolism in cancer	2/98	3.185580e-02	3.066121e-01	0	0	7.517803e+00	2.591038e+01	DGKB;DGKH
KEGG_2021_Human	Glycerophospholipid metabolism	2/98	3.185580e-02	3.066121e-01	0	0	7.517803e+00	2.591038e+01	DGKB;DGKH
KEGG_2021_Human	Pathways of neurodegeneration	4/475	4.628325e-02	3.959789e-01	0	0	3.120138e+00	9.588106e+00	DNAH11;VAPB;NOX4;CACNA1C
KEGG_2021_Human	Pantothenate and CoA biosynthesis	1/21	5.820270e-02	4.194112e-01	0	0	1.778839e+01	5.058705e+01	PANK3
KEGG_2021_Human	Phospholipase D signaling pathway	2/148	6.666203e-02	4.194112e-01	0	0	4.930760e+00	1.335309e+01	DGKB;DGKH
KEGG_2021_Human	Folate biosynthesis	1/26	7.156228e-02	4.194112e-01	0	0	1.422714e+01	3.751964e+01	MOCS1
KEGG_2021_Human	Hippo signaling pathway	2/163	7.877993e-02	4.194112e-01	0	0	4.467984e+00	1.135358e+01	MOB1B;WTIP
KEGG_2021_Human	cGMP-PKG signaling pathway	2/167	8.212099e-02	4.194112e-01	0	0	4.358788e+00	1.089506e+01	TRPC6;CACNA1C
KEGG_2021_Human	Axon guidance	2/182	9.502570e-02	4.194112e-01	0	0	3.992525e+00	9.396839e+00	TRPC6;SEMA4B
KEGG_2021_Human	Glycosphingolipid biosynthesis	1/45	1.206519e-01	4.194112e-01	0	0	8.075893e+00	1.707927e+01	ST3GAL2
KEGG_2021_Human	Type II diabetes mellitus	1/46	1.231637e-01	4.194112e-01	0	0	7.896032e+00	1.653620e+01	CACNA1C
KEGG_2021_Human	Other types of O-glycan biosynthesis	1/47	1.256684e-01	4.194112e-01	0	0	7.723991e+00	1.602040e+01	GALNT18
KEGG_2021_Human	Cholesterol metabolism	1/50	1.331405e-01	4.194112e-01	0	0	7.250000e+00	1.461854e+01	VAPB
KEGG_2021_Human	Glycosaminoglycan biosynthesis	1/53	1.405499e-01	4.194112e-01	0	0	6.830701e+00	1.340315e+01	ST3GAL2
KEGG_2021_Human	Calcium signaling pathway	2/240	1.494334e-01	4.194112e-01	0	0	3.010695e+00	5.723045e+00	PDE1C;CACNA1C
KEGG_2021_Human	Legionellosis	1/57	1.503323e-01	4.194112e-01	0	0	6.341518e+00	1.201659e+01	HSPA1A
KEGG_2021_Human	VEGF signaling pathway	1/59	1.551825e-01	4.194112e-01	0	0	6.122229e+00	1.140665e+01	HSPB1
KEGG_2021_Human	Endocytosis	2/252	1.613727e-01	4.194112e-01	0	0	2.864436e+00	5.224843e+00	EPN2;HSPA1A
KEGG_2021_Human	GnRH secretion	1/64	1.671891e-01	4.194112e-01	0	0	5.634921e+00	1.007879e+01	CACNA1C
KEGG_2021_Human	Cortisol synthesis and secretion	1/65	1.695702e-01	4.194112e-01	0	0	5.546596e+00	9.842369e+00	CACNA1C
KEGG_2021_Human	Acute myeloid leukemia	1/67	1.743124e-01	4.194112e-01	0	0	5.377976e+00	9.394819e+00	CSF1R
KEGG_2021_Human	Long-term potentiation	1/67	1.743124e-01	4.194112e-01	0	0	5.377976e+00	9.394819e+00	CACNA1C
KEGG_2021_Human	Amphetamine addiction	1/69	1.790280e-01	4.194112e-01	0	0	5.219275e+00	8.978265e+00	CACNA1C
