Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	negative regulation of cellular process (GO:0048523)	27/566	2.059063e-05	4.593769e-02	0	0	2.624365e+00	2.831867e+01	NOTCH1;NDRG3;CTBP2;PTPRK;TOB1;PPP2R1A;ERBB4;NCK2;TP53TG5;ZBTB7C;BNIP3L;H2AC6;BNIP3;TNFRSF1B;PML;SMARCA4;CNOT7;APC;DLC1;DLG5;BCL2;NOX4;MYH9;TMBIM6;RAF1;TNFRSF21;HSPA1A
MSigDB_Hallmark_2020	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	4/13	8.942958e-05	9.231599e-02	0	0	2.250933e+01	2.098333e+02	EIF4ENIF1;CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020	mitochondrial protein catabolic process (GO:0035694)	3/6	1.419380e-04	9.231599e-02	0	0	5.053093e+01	4.477101e+02	BNIP3L;BNIP3;PISD
MSigDB_Hallmark_2020	regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	4/15	1.655150e-04	9.231599e-02	0	0	1.841485e+01	1.603279e+02	EIF4ENIF1;CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020	gene silencing by miRNA (GO:0035195)	5/32	3.628383e-04	1.477215e-01	0	0	9.394550e+00	7.441943e+01	CNOT6;CNOT7;AGO2;WTIP;PUM2
MSigDB_Hallmark_2020	regulation of oligodendrocyte differentiation (GO:0048713)	4/19	4.417725e-04	1.477215e-01	0	0	1.350146e+01	1.042950e+02	NOTCH1;DAAM2;TNFRSF1B;TNFRSF21
MSigDB_Hallmark_2020	regulation of small GTPase mediated signal transduction (GO:0051056)	10/141	4.634919e-04	1.477215e-01	0	0	3.902547e+00	2.995876e+01	TIAM2;ABR;ARHGAP10;OBSCN;DLC1;CHN1;ARHGEF7;KALRN;ARHGAP6;RHOA
MSigDB_Hallmark_2020	post-transcriptional gene silencing by RNA (GO:0035194)	4/20	5.437472e-04	1.516375e-01	0	0	1.265698e+01	9.514283e+01	CNOT6;CNOT7;AGO2;WTIP
MSigDB_Hallmark_2020	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8/100	7.726636e-04	1.870928e-01	0	0	4.431150e+00	3.175214e+01	BCL9;PPM1A;ZEB2;LEMD3;ZBTB7A;BCL9L;HIPK2;HSPA1A
MSigDB_Hallmark_2020	intrinsic apoptotic signaling pathway (GO:0097193)	8/102	8.803740e-04	1.870928e-01	0	0	4.336426e+00	3.050747e+01	CEBPB;BNIP3;BCL2;TNFRSF10B;TNFRSF1B;PML;BCL2L1;HIPK2
MSigDB_Hallmark_2020	membrane lipid biosynthetic process (GO:0046467)	6/58	9.224657e-04	1.870928e-01	0	0	5.861239e+00	4.096103e+01	SGPL1;CERS6;PPM1L;VAPA;VAPB;ST3GAL2
MSigDB_Hallmark_2020	positive regulation of mRNA catabolic process (GO:0061014)	5/44	1.615363e-03	2.688568e-01	0	0	6.499934e+00	4.178284e+01	EIF4ENIF1;METTL14;CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020	positive regulation of gene silencing by miRNA (GO:2000637)	4/27	1.768165e-03	2.688568e-01	0	0	8.801708e+00	5.578358e+01	EIF4ENIF1;AGO2;WTIP;PUM2
MSigDB_Hallmark_2020	cell-cell junction assembly (GO:0007043)	6/66	1.817206e-03	2.688568e-01	0	0	5.077662e+00	3.204236e+01	GJC1;CDH2;CTNND2;CDH10;GJA4;RHOA
MSigDB_Hallmark_2020	positive regulation of ERAD pathway (GO:1904294)	3/13	1.832883e-03	2.688568e-01	0	0	1.515387e+01	9.549762e+01	TMEM259;UBQLN1;RNF185
MSigDB_Hallmark_2020	cellular response to decreased oxygen levels (GO:0036294)	6/69	2.283229e-03	2.688568e-01	0	0	4.835127e+00	2.940804e+01	BNIP3L;EPAS1;BNIP3;UBQLN1;FMN2;HIPK2
MSigDB_Hallmark_2020	response to chemokine (GO:1990868)	3/14	2.299143e-03	2.688568e-01	0	0	1.377554e+01	8.368941e+01	SLC12A2;LRCH1;RHOA
MSigDB_Hallmark_2020	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	3/15	2.832552e-03	2.688568e-01	0	0	1.262693e+01	7.407688e+01	CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)	3/15	2.832552e-03	2.688568e-01	0	0	1.262693e+01	7.407688e+01	TMBIM6;BCL2L1;HSPA1A
MSigDB_Hallmark_2020	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	3/15	2.832552e-03	2.688568e-01	0	0	1.262693e+01	7.407688e+01	CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020	regulation of anatomical structure morphogenesis (GO:0022603)	8/123	2.905444e-03	2.688568e-01	0	0	3.540742e+00	2.068208e+01	INF2;CDH2;ADGRB3;CHN1;EMP2;WTIP;PDZD8;BCL9L
MSigDB_Hallmark_2020	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	5/51	3.125986e-03	2.688568e-01	0	0	5.508842e+00	3.177503e+01	BCL2;TNFRSF1B;PML;HIPK2;BCL2L1
MSigDB_Hallmark_2020	negative regulation of cell population proliferation (GO:0008285)	16/379	3.408093e-03	2.688568e-01	0	0	2.262156e+00	1.285267e+01	NOTCH1;CTBP2;H2AC6;PTPRK;TOB1;PML;CNOT7;APC;ERBB4;DLC1;DLG5;NCK2;NOX4;RAF1;ZBTB7C;HSPA1A
MSigDB_Hallmark_2020	negative regulation of anoikis (GO:2000811)	3/16	3.436076e-03	2.688568e-01	0	0	1.165504e+01	6.612397e+01	NOTCH1;BCL2;PDK4
MSigDB_Hallmark_2020	negative regulation of platelet activation (GO:0010544)	3/16	3.436076e-03	2.688568e-01	0	0	1.165504e+01	6.612397e+01	C1QTNF1;PDGFA;PRKG1
MSigDB_Hallmark_2020	caveola assembly (GO:0070836)	2/5	3.666212e-03	2.688568e-01	0	0	3.360069e+01	1.884527e+02	PACSIN2;EMP2
MSigDB_Hallmark_2020	PML body organization (GO:0030578)	2/5	3.666212e-03	2.688568e-01	0	0	3.360069e+01	1.884527e+02	PML;HIPK2
MSigDB_Hallmark_2020	apoptotic mitochondrial changes (GO:0008637)	4/33	3.760054e-03	2.688568e-01	0	0	6.978526e+00	3.896336e+01	ERBB4;BNIP3;BCL2;BCL2L1
MSigDB_Hallmark_2020	organonitrogen compound biosynthetic process (GO:1901566)	9/158	3.971495e-03	2.688568e-01	0	0	3.077058e+00	1.701186e+01	SGPL1;CERS6;PPM1L;VAPA;SLC44A2;VAPB;PCSK5;MOCS1;ST3GAL2
MSigDB_Hallmark_2020	cellular response to hypoxia (GO:0071456)	8/131	4.268604e-03	2.688568e-01	0	0	3.309092e+00	1.805595e+01	BNIP3L;EPAS1;BNIP3;UBQLN1;ARNT;FMN2;BACH1;HIPK2
MSigDB_Hallmark_2020	regulation of trans-synaptic signaling (GO:0099177)	4/35	4.666227e-03	2.688568e-01	0	0	6.527632e+00	3.503644e+01	ABR;GRID1;CACNA1B;EIF4EBP2
MSigDB_Hallmark_2020	pulmonary valve development (GO:0003177)	3/18	4.864074e-03	2.688568e-01	0	0	1.010000e+01	5.379138e+01	NOTCH1;HEY2;TNFRSF1B
MSigDB_Hallmark_2020	nitric oxide mediated signal transduction (GO:0007263)	3/18	4.864074e-03	2.688568e-01	0	0	1.010000e+01	5.379138e+01	GUCY1A1;GUCY1B1;KCNC2
MSigDB_Hallmark_2020	Wnt signaling pathway, calcium modulating pathway (GO:0007223)	4/36	5.169866e-03	2.688568e-01	0	0	6.323320e+00	3.329170e+01	GNAO1;AGO2;GNB1;MAP3K7
MSigDB_Hallmark_2020	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	7/108	5.328221e-03	2.688568e-01	0	0	3.520936e+00	1.843118e+01	PPM1A;NOTCH1;LEMD3;ZBTB7A;BCL9L;HIPK2;HSPA1A
MSigDB_Hallmark_2020	cell-cell junction organization (GO:0045216)	6/82	5.400061e-03	2.688568e-01	0	0	4.005400e+00	2.091357e+01	GJC1;CSF1R;CDH2;CTNND2;CDH10;GJA4
MSigDB_Hallmark_2020	ephrin receptor signaling pathway (GO:0048013)	6/82	5.400061e-03	2.688568e-01	0	0	4.005400e+00	2.091357e+01	ACTR2;CHN1;NCK2;ARHGEF7;KALRN;RHOA
MSigDB_Hallmark_2020	plasma membrane raft assembly (GO:0044854)	2/6	5.428357e-03	2.688568e-01	0	0	2.519923e+01	1.314422e+02	PACSIN2;EMP2
MSigDB_Hallmark_2020	positive regulation of anion transport (GO:1903793)	2/6	5.428357e-03	2.688568e-01	0	0	2.519923e+01	1.314422e+02	SLC12A2;CEBPB
MSigDB_Hallmark_2020	regulation of mitochondrial membrane permeability (GO:0046902)	3/19	5.693258e-03	2.688568e-01	0	0	9.468267e+00	4.893648e+01	BNIP3;BCL2;BCL2L1
MSigDB_Hallmark_2020	mesenchymal cell development (GO:0014031)	3/19	5.693258e-03	2.688568e-01	0	0	9.468267e+00	4.893648e+01	NOTCH1;CDH2;HEY2
MSigDB_Hallmark_2020	anterograde axonal transport (GO:0008089)	4/37	5.708640e-03	2.688568e-01	0	0	6.131391e+00	3.167339e+01	AP3M1;AP3D1;HSPB1;TRAK1
MSigDB_Hallmark_2020	regulation of intracellular signal transduction (GO:1902531)	17/437	5.829000e-03	2.688568e-01	0	0	2.076732e+00	1.068460e+01	USP7;HSPB1;ARHGAP6;KALRN;MOB3B;PML;RHOA;GNAI1;HIPK2;TIAM2;ABR;ARHGAP10;OBSCN;DLC1;CHN1;PIP5K1B;ARHGEF7
MSigDB_Hallmark_2020	response to endoplasmic reticulum stress (GO:0034976)	7/110	5.883785e-03	2.688568e-01	0	0	3.452215e+00	1.772904e+01	NIBAN1;CEBPB;TMEM259;BCL2;UBQLN1;TNFRSF10B;RNF185
MSigDB_Hallmark_2020	regulation of macroautophagy (GO:0016241)	7/112	6.481532e-03	2.688568e-01	0	0	3.386111e+00	1.706193e+01	BNIP3L;SMG1;BNIP3;CLEC16A;UBQLN1;ATP6V1H;MAP3K7
MSigDB_Hallmark_2020	regulation of hippo signaling (GO:0035330)	3/20	6.601999e-03	2.688568e-01	0	0	8.910855e+00	4.473590e+01	DLG5;WTIP;MOB3B
MSigDB_Hallmark_2020	regulation of protein modification by small protein conjugation or removal (GO:1903320)	3/20	6.601999e-03	2.688568e-01	0	0	8.910855e+00	4.473590e+01	EPAS1;UBQLN1;HSPA1A
MSigDB_Hallmark_2020	positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	9/171	6.615525e-03	2.688568e-01	0	0	2.828243e+00	1.419308e+01	PPM1A;GPRC5B;VAPA;SLC44A2;UBE2N;TNFRSF10B;CXXC5;MAP3K7;RHOA
MSigDB_Hallmark_2020	regulation of Ras protein signal transduction (GO:0046578)	6/86	6.796103e-03	2.688568e-01	0	0	3.804351e+00	1.898906e+01	NOTCH1;DLC1;IRS2;DENND3;RAF1;RALGPS1
MSigDB_Hallmark_2020	endothelial cell migration (GO:0043542)	4/39	6.895713e-03	2.688568e-01	0	0	5.780436e+00	2.876839e+01	PTP4A3;MYH9;EMP2;RHOA
MSigDB_Hallmark_2020	regulation of protein tyrosine kinase activity (GO:0061097)	4/39	6.895713e-03	2.688568e-01	0	0	5.780436e+00	2.876839e+01	CSF1R;GPRC5B;NCK2;NOX4
MSigDB_Hallmark_2020	regulation of mesenchymal stem cell differentiation (GO:2000739)	2/7	7.501794e-03	2.688568e-01	0	0	2.015835e+01	9.862703e+01	SOX6;SOX5
MSigDB_Hallmark_2020	regulation of miRNA mediated inhibition of translation (GO:1905616)	2/7	7.501794e-03	2.688568e-01	0	0	2.015835e+01	9.862703e+01	EIF4ENIF1;AGO2
MSigDB_Hallmark_2020	vascular associated smooth muscle cell development (GO:0097084)	2/7	7.501794e-03	2.688568e-01	0	0	2.015835e+01	9.862703e+01	NOTCH1;HEY2
MSigDB_Hallmark_2020	negative regulation of cardiocyte differentiation (GO:1905208)	2/7	7.501794e-03	2.688568e-01	0	0	2.015835e+01	9.862703e+01	HEY2;SOX6
MSigDB_Hallmark_2020	negative regulation of oligodendrocyte differentiation (GO:0048715)	2/7	7.501794e-03	2.688568e-01	0	0	2.015835e+01	9.862703e+01	NOTCH1;DAAM2
MSigDB_Hallmark_2020	positive regulation of miRNA mediated inhibition of translation (GO:1905618)	2/7	7.501794e-03	2.688568e-01	0	0	2.015835e+01	9.862703e+01	EIF4ENIF1;AGO2
MSigDB_Hallmark_2020	negative regulation of cell-substrate adhesion (GO:0010812)	4/40	7.545993e-03	2.688568e-01	0	0	5.619581e+00	2.746142e+01	NOTCH1;NEXMIF;CORO2B;RHOA
MSigDB_Hallmark_2020	regulation of anoikis (GO:2000209)	3/21	7.592103e-03	2.688568e-01	0	0	8.415378e+00	4.107249e+01	NOTCH1;BCL2;PDK4
MSigDB_Hallmark_2020	calcium ion transport into cytosol (GO:0060402)	3/21	7.592103e-03	2.688568e-01	0	0	8.415378e+00	4.107249e+01	JPH2;ATP2B4;CACNA1C
MSigDB_Hallmark_2020	cyclic purine nucleotide metabolic process (GO:0052652)	3/21	7.592103e-03	2.688568e-01	0	0	8.415378e+00	4.107249e+01	GUCY1A1;GUCY1B1;ADCY9
MSigDB_Hallmark_2020	focal adhesion assembly (GO:0048041)	3/21	7.592103e-03	2.688568e-01	0	0	8.415378e+00	4.107249e+01	DLC1;PTPRK;ARHGEF7
MSigDB_Hallmark_2020	neuron apoptotic process (GO:0051402)	3/21	7.592103e-03	2.688568e-01	0	0	8.415378e+00	4.107249e+01	BNIP3;BCL2;TNFRSF21
MSigDB_Hallmark_2020	negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	5/64	8.260158e-03	2.857193e-01	0	0	4.292175e+00	2.058661e+01	BCL2;HSPB1;TMBIM6;BCL2L1;HSPA1A
MSigDB_Hallmark_2020	negative regulation of translation (GO:0017148)	6/90	8.436742e-03	2.857193e-01	0	0	3.622449e+00	1.729777e+01	EIF4ENIF1;METTL14;CNOT7;AGO2;EIF4EBP2;TOB1
MSigDB_Hallmark_2020	regulation of cellular response to stress (GO:0080135)	7/118	8.546653e-03	2.857193e-01	0	0	3.202093e+00	1.524906e+01	HSPA8;SMG1;CEBPB;DNAJB6;PTGES3;CORO2B;HSPA1A
MSigDB_Hallmark_2020	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	3/22	8.665177e-03	2.857193e-01	0	0	7.972056e+00	3.785486e+01	TMBIM6;BCL2L1;HSPA1A
MSigDB_Hallmark_2020	regulation of actin cytoskeleton organization (GO:0032956)	6/91	8.887690e-03	2.857193e-01	0	0	3.579649e+00	1.690700e+01	CSF1R;DLC1;PDGFA;ABL2;CORO2B;RHOA
MSigDB_Hallmark_2020	regulation of double-strand break repair (GO:2000779)	4/42	8.964747e-03	2.857193e-01	0	0	5.323269e+00	2.509632e+01	ACTR2;FMN2;DEK;PML
MSigDB_Hallmark_2020	determination of left/right symmetry (GO:0007368)	4/42	8.964747e-03	2.857193e-01	0	0	5.323269e+00	2.509632e+01	DNAH11;NOTCH1;RFX3;BBS7
MSigDB_Hallmark_2020	regulation of cell-substrate adhesion (GO:0010810)	4/43	9.735000e-03	2.898462e-01	0	0	5.186510e+00	2.402406e+01	NOTCH1;EMP2;CORO2B;RHOA
MSigDB_Hallmark_2020	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	3/23	9.822634e-03	2.898462e-01	0	0	7.573067e+00	3.501079e+01	BCL2;BCL2L1;HSPA1A
MSigDB_Hallmark_2020	negative regulation of signal transduction in absence of ligand (GO:1901099)	3/23	9.822634e-03	2.898462e-01	0	0	7.573067e+00	3.501079e+01	BCL2;BCL2L1;HSPA1A
MSigDB_Hallmark_2020	regulation of extracellular matrix constituent secretion (GO:0003330)	2/8	9.873739e-03	2.898462e-01	0	0	1.679777e+01	7.757004e+01	NOTCH1;TNFRSF1B
MSigDB_Hallmark_2020	TORC1 signaling (GO:0038202)	2/8	9.873739e-03	2.898462e-01	0	0	1.679777e+01	7.757004e+01	SMG1;CLEC16A
MSigDB_Hallmark_2020	negative regulation of keratinocyte proliferation (GO:0010839)	2/8	9.873739e-03	2.898462e-01	0	0	1.679777e+01	7.757004e+01	KLF9;PTPRK
MSigDB_Hallmark_2020	regulation of translational initiation (GO:0006446)	5/68	1.060375e-02	3.032944e-01	0	0	4.018834e+00	1.827182e+01	CEBPB;AGO2;NCK2;HSPB1;EIF4EBP2
MSigDB_Hallmark_2020	negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	5/68	1.060375e-02	3.032944e-01	0	0	4.018834e+00	1.827182e+01	PPM1A;LEMD3;ZBTB7A;BCL9L;HSPA1A
MSigDB_Hallmark_2020	lipid translocation (GO:0034204)	3/24	1.106570e-02	3.072354e-01	0	0	7.212077e+00	3.248251e+01	ABCA1;TMEM30A;ATP8B1
MSigDB_Hallmark_2020	cellular response to oxygen-containing compound (GO:1901701)	13/323	1.147132e-02	3.072354e-01	0	0	2.141039e+00	9.565962e+00	GUCY1B1;KCNC2;ERCC6L2;NCOA3;ATP2B4;PTPRK;TNFRSF1B;RHOA;GNB1;PDK4;ABL2;LCOR;HCN2
MSigDB_Hallmark_2020	negative regulation of growth (GO:0045926)	7/126	1.200425e-02	3.072354e-01	0	0	2.985600e+00	1.320380e+01	NDRG3;NOTCH1;PPP2R1A;TP53TG5;PML;SMARCA4;HSPA1A
MSigDB_Hallmark_2020	negative regulation of response to endoplasmic reticulum stress (GO:1903573)	3/25	1.239544e-02	3.072354e-01	0	0	6.883903e+00	3.022327e+01	TMBIM6;BCL2L1;HSPA1A
MSigDB_Hallmark_2020	regulation of endothelial cell differentiation (GO:0045601)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	VEZF1;APOLD1
MSigDB_Hallmark_2020	cellular response to nitric oxide (GO:0071732)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	GUCY1B1;KCNC2
MSigDB_Hallmark_2020	cellular response to reactive nitrogen species (GO:1902170)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	GUCY1B1;KCNC2
MSigDB_Hallmark_2020	epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	NOTCH1;HEY2
MSigDB_Hallmark_2020	mitochondrial fragmentation involved in apoptotic process (GO:0043653)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	ERBB4;BNIP3
MSigDB_Hallmark_2020	negative regulation of biomineralization (GO:0110150)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	NOTCH1;HEY2
MSigDB_Hallmark_2020	negative regulation of glial cell differentiation (GO:0045686)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	NOTCH1;DAAM2
MSigDB_Hallmark_2020	negative regulation of platelet aggregation (GO:0090331)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	C1QTNF1;PRKG1
MSigDB_Hallmark_2020	positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	2/9	1.253179e-02	3.072354e-01	0	0	1.439736e+01	6.305303e+01	BNIP3L;BNIP3
MSigDB_Hallmark_2020	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	10/224	1.303719e-02	3.080356e-01	0	0	2.378762e+00	1.032371e+01	PPM1A;GPRC5B;VAPA;SLC44A2;UBE2N;TNFRSF10B;HSPB1;CXXC5;MAP3K7;RHOA
MSigDB_Hallmark_2020	extrinsic apoptotic signaling pathway (GO:0097191)	5/72	1.336563e-02	3.080356e-01	0	0	3.778130e+00	1.630289e+01	SORT1;BCL2;TNFRSF10B;TNFRSF1B;BCL2L1
MSigDB_Hallmark_2020	muscle contraction (GO:0006936)	7/129	1.352978e-02	3.080356e-01	0	0	2.911736e+00	1.252880e+01	GJC1;GNAO1;CKMT2;DTNA;MYH11;SORBS3;MYOM2
MSigDB_Hallmark_2020	regulation of biomineral tissue development (GO:0070167)	3/26	1.381273e-02	3.080356e-01	0	0	6.584267e+00	2.819491e+01	CEBPB;NOTCH1;HEY2
MSigDB_Hallmark_2020	chaperone cofactor-dependent protein refolding (GO:0051085)	3/26	1.381273e-02	3.080356e-01	0	0	6.584267e+00	2.819491e+01	HSPA8;PTGES3;HSPA1A
MSigDB_Hallmark_2020	regulation of telomere maintenance (GO:0032204)	3/26	1.381273e-02	3.080356e-01	0	0	6.584267e+00	2.819491e+01	SMG1;USP7;PML
