Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,negative regulation of cellular process (GO:0048523),27/566,2.0590626165031695e-05,0.0459376869741857,0,0,2.6243654304878796,28.31867346080876,NOTCH1;NDRG3;CTBP2;PTPRK;TOB1;PPP2R1A;ERBB4;NCK2;TP53TG5;ZBTB7C;BNIP3L;H2AC6;BNIP3;TNFRSF1B;PML;SMARCA4;CNOT7;APC;DLC1;DLG5;BCL2;NOX4;MYH9;TMBIM6;RAF1;TNFRSF21;HSPA1A
MSigDB_Hallmark_2020,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213),4/13,8.942958134417908e-05,0.0923159861632915,0,0,22.509331036462815,209.83331294027636,EIF4ENIF1;CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020,mitochondrial protein catabolic process (GO:0035694),3/6,0.00014193797876304486,0.0923159861632915,0,0,50.53092783505155,447.7101027761529,BNIP3L;BNIP3;PISD
MSigDB_Hallmark_2020,regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211),4/15,0.0001655149908799489,0.0923159861632915,0,0,18.41484613577637,160.32791481845626,EIF4ENIF1;CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020,gene silencing by miRNA (GO:0035195),5/32,0.0003628382509998304,0.1477214863057399,0,0,9.394549990404911,74.4194295357329,CNOT6;CNOT7;AGO2;WTIP;PUM2
MSigDB_Hallmark_2020,regulation of oligodendrocyte differentiation (GO:0048713),4/19,0.0004417724610391238,0.1477214863057399,0,0,13.501464254952626,104.29497158639178,NOTCH1;DAAM2;TNFRSF1B;TNFRSF21
MSigDB_Hallmark_2020,regulation of small GTPase mediated signal transduction (GO:0051056),10/141,0.00046349188890191807,0.1477214863057399,0,0,3.902546532828435,29.958763547611017,TIAM2;ABR;ARHGAP10;OBSCN;DLC1;CHN1;ARHGEF7;KALRN;ARHGAP6;RHOA
MSigDB_Hallmark_2020,post-transcriptional gene silencing by RNA (GO:0035194),4/20,0.0005437471930619037,0.1516374984651384,0,0,12.656976744186046,95.1428250110633,CNOT6;CNOT7;AGO2;WTIP
MSigDB_Hallmark_2020,regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),8/100,0.000772663643847479,0.1870928227525684,0,0,4.431149960267907,31.752143867781825,BCL9;PPM1A;ZEB2;LEMD3;ZBTB7A;BCL9L;HIPK2;HSPA1A
MSigDB_Hallmark_2020,intrinsic apoptotic signaling pathway (GO:0097193),8/102,0.0008803739614921735,0.1870928227525684,0,0,4.336425754124771,30.50746541967515,CEBPB;BNIP3;BCL2;TNFRSF10B;TNFRSF1B;PML;BCL2L1;HIPK2
MSigDB_Hallmark_2020,membrane lipid biosynthetic process (GO:0046467),6/58,0.0009224657329799428,0.1870928227525684,0,0,5.861238761238761,40.961034559139435,SGPL1;CERS6;PPM1L;VAPA;VAPB;ST3GAL2
MSigDB_Hallmark_2020,positive regulation of mRNA catabolic process (GO:0061014),5/44,0.0016153633543434,0.2688568456262852,0,0,6.4999335724724325,41.782842833500155,EIF4ENIF1;METTL14;CNOT7;AGO2;TOB1
MSigDB_Hallmark_2020,positive regulation of gene silencing by miRNA (GO:2000637),4/27,0.0017681654410627,0.2688568456262852,0,0,8.801707673295136,55.78357505974152,EIF4ENIF1;AGO2;WTIP;PUM2
MSigDB_Hallmark_2020,cell-cell junction assembly (GO:0007043),6/66,0.0018172059997846,0.2688568456262852,0,0,5.077662337662337,32.04236030862061,GJC1;CDH2;CTNND2;CDH10;GJA4;RHOA
MSigDB_Hallmark_2020,positive regulation of ERAD pathway (GO:1904294),3/13,0.0018328834422663,0.2688568456262852,0,0,15.153865979381443,95.49761612467223,TMEM259;UBQLN1;RNF185
MSigDB_Hallmark_2020,cellular response to decreased oxygen levels (GO:0036294),6/69,0.0022832289966909,0.2688568456262852,0,0,4.835126777983921,29.408036980202866,BNIP3L;EPAS1;BNIP3;UBQLN1;FMN2;HIPK2
MSigDB_Hallmark_2020,response to chemokine (GO:1990868),3/14,0.0022991428029699,0.2688568456262852,0,0,13.775538894095597,83.68941452089376,SLC12A2;LRCH1;RHOA
