Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein localization to Golgi apparatus (GO:0034067)	5/28	7.381203e-05	7.560863e-02	0	0	1.356591e+01	1.290659e+02	RIPOR1;COG7;CSNK1D;ARL5A;ZDHHC15
GO_Biological_Process_2021	regulation of macroautophagy (GO:0016241)	9/112	7.967189e-05	7.560863e-02	0	0	5.500359e+00	5.191015e+01	EPM2A;BNIP3L;ATP6V1G1;RHEB;TSC2;ATP6V1H;PRKACA;ATP6V1C1;SNX6
GO_Biological_Process_2021	water-soluble vitamin metabolic process (GO:0006767)	7/76	2.136093e-04	1.351435e-01	0	0	6.356299e+00	5.371939e+01	SLC23A2;PANK2;BTD;TPK1;MTHFD2L;SLC2A3;MMUT
GO_Biological_Process_2021	regulation of organ growth (GO:0046620)	3/10	4.479553e-04	2.125548e-01	0	0	2.659712e+01	2.050855e+02	WWC1;WWC2;SOD1
GO_Biological_Process_2021	Golgi organization (GO:0007030)	8/130	1.181643e-03	3.481571e-01	0	0	4.110551e+00	2.770860e+01	COG7;TBC1D20;CSNK1A1;ATL2;COG2;STX6;CSNK1D;VAMP4
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	8/131	1.241381e-03	3.481571e-01	0	0	4.076923e+00	2.728086e+01	PPP1CB;TUBA1A;PPME1;AKAP8;CCP110;CSNK1D;BTRC;PRKACA
GO_Biological_Process_2021	endomembrane system organization (GO:0010256)	10/199	1.426112e-03	3.481571e-01	0	0	3.326677e+00	2.179906e+01	SRGN;COG7;TBC1D20;CSNK1A1;CAV2;VAPB;ATL2;COG2;TOR1AIP2;CSNK1D
GO_Biological_Process_2021	positive regulation of dendrite extension (GO:1903861)	3/17	2.336087e-03	3.481571e-01	0	0	1.329383e+01	8.055099e+01	SYT1;NEDD4L;PLAA
GO_Biological_Process_2021	regulation of phosphatidylinositol dephosphorylation (GO:0060304)	2/5	2.471879e-03	3.481571e-01	0	0	4.125157e+01	2.476240e+02	MTMR1;MTMR9
GO_Biological_Process_2021	negative regulation of organ growth (GO:0046621)	2/5	2.471879e-03	3.481571e-01	0	0	4.125157e+01	2.476240e+02	WWC1;WWC2
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	11/253	2.642278e-03	3.481571e-01	0	0	2.859370e+00	1.697355e+01	DDX3X;CSNK1A1;AMFR;PSMB1;CSNK1D;TMEM131L;BTRC;MCC;CSNK1G2;DKK3;UBAC2
GO_Biological_Process_2021	regulation of dendrite extension (GO:1903859)	3/18	2.770340e-03	3.481571e-01	0	0	1.240694e+01	7.306181e+01	SYT1;NEDD4L;PLAA
GO_Biological_Process_2021	negative regulation of TOR signaling (GO:0032007)	4/38	3.092372e-03	3.481571e-01	0	0	7.314222e+00	4.226755e+01	EPM2A;TSC2;ATM;UBR1
GO_Biological_Process_2021	endoplasmic reticulum mannose trimming (GO:1904380)	3/19	3.251125e-03	3.481571e-01	0	0	1.163091e+01	6.663065e+01	OS9;AMFR;MARCHF6
GO_Biological_Process_2021	regulation of dendrite development (GO:0050773)	4/39	3.402992e-03	3.481571e-01	0	0	7.104882e+00	4.037776e+01	ADGRB3;NEDD4L;CSMD3;ZDHHC15
GO_Biological_Process_2021	organophosphate biosynthetic process (GO:0090407)	4/39	3.402992e-03	3.481571e-01	0	0	7.104882e+00	4.037776e+01	AGPAT5;GNPAT;PPIP5K2;TPK1
GO_Biological_Process_2021	aminophospholipid transport (GO:0015917)	2/6	3.668673e-03	3.481571e-01	0	0	3.093711e+01	1.734930e+02	SCARB2;TMEM30A
GO_Biological_Process_2021	glomerular epithelial cell differentiation (GO:0072311)	2/6	3.668673e-03	3.481571e-01	0	0	3.093711e+01	1.734930e+02	BASP1;KLF15
GO_Biological_Process_2021	renal filtration cell differentiation (GO:0061318)	2/6	3.668673e-03	3.481571e-01	0	0	3.093711e+01	1.734930e+02	BASP1;KLF15
GO_Biological_Process_2021	spinal cord motor neuron differentiation (GO:0021522)	2/6	3.668673e-03	3.481571e-01	0	0	3.093711e+01	1.734930e+02	ZC4H2;MDGA2
GO_Biological_Process_2021	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	4/42	4.460694e-03	3.834122e-01	0	0	6.542971e+00	3.541351e+01	PTPRD;TENM2;TENM3;CADM1
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	7/130	4.973975e-03	3.834122e-01	0	0	3.555911e+00	1.885890e+01	PPP1CB;TUBA1A;PPME1;CCP110;CSNK1D;BTRC;PRKACA
GO_Biological_Process_2021	nucleobase catabolic process (GO:0046113)	2/7	5.081986e-03	3.834122e-01	0	0	2.474843e+01	1.307225e+02	DPYSL2;CRMP1
GO_Biological_Process_2021	regulation of neuron projection development (GO:0010975)	8/165	5.175219e-03	3.834122e-01	0	0	3.188470e+00	1.678370e+01	SCARB2;HDAC2;TENM3;CRMP1;SERPINI1;CSMD3;CBFA2T2;ZDHHC15
GO_Biological_Process_2021	negative regulation of smoothened signaling pathway (GO:0045879)	3/23	5.668105e-03	3.834122e-01	0	0	9.302839e+00	4.812266e+01	GPR161;SUFU;BTRC
GO_Biological_Process_2021	protein alkylation (GO:0008213)	3/23	5.668105e-03	3.834122e-01	0	0	9.302839e+00	4.812266e+01	PCMT1;ETF1;CAMKMT
GO_Biological_Process_2021	lipid translocation (GO:0034204)	3/24	6.402028e-03	3.834122e-01	0	0	8.859396e+00	4.475005e+01	TMEM30A;ATP10A;ATP11A
GO_Biological_Process_2021	protein alpha-1,2-demannosylation (GO:0036508)	3/24	6.402028e-03	3.834122e-01	0	0	8.859396e+00	4.475005e+01	OS9;AMFR;MARCHF6
