Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	axon extension involved in axon guidance (GO:0048846)	3/8	1.986779e-04	1.739386e-01	0	0	3.821942e+01	3.257756e+02	NRP1;SLIT3;SLIT2
GO_Biological_Process_2021	neuron projection extension involved in neuron projection guidance (GO:1902284)	3/8	1.986779e-04	1.739386e-01	0	0	3.821942e+01	3.257756e+02	NRP1;SLIT3;SLIT2
GO_Biological_Process_2021	negative regulation of small GTPase mediated signal transduction (GO:0051058)	4/21	2.819103e-04	1.739386e-01	0	0	1.502750e+01	1.228336e+02	MAPKAP1;SPRY3;SPRY1;SLIT2
GO_Biological_Process_2021	positive regulation of cytoskeleton organization (GO:0051495)	6/82	1.780867e-03	3.815855e-01	0	0	5.059856e+00	3.203220e+01	NRP1;BAIAP2L2;SYNPO2;LMOD1;EVL;NCK1
GO_Biological_Process_2021	regulation of monocyte differentiation (GO:0045655)	3/16	1.810989e-03	3.815855e-01	0	0	1.469380e+01	9.277493e+01	CD4;CDK6;IL34
GO_Biological_Process_2021	regulation of retinal ganglion cell axon guidance (GO:0090259)	2/5	2.351536e-03	3.815855e-01	0	0	4.233333e+01	2.562304e+02	NRP1;SLIT2
GO_Biological_Process_2021	Roundabout signaling pathway (GO:0035385)	2/5	2.351536e-03	3.815855e-01	0	0	4.233333e+01	2.562304e+02	SLIT3;SLIT2
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	7/117	2.415904e-03	3.815855e-01	0	0	4.084829e+00	2.461388e+01	CAPRIN2;PLXNC1;ATP1B2;SERPINI1;SLIT2;EPHA3;ARSB
GO_Biological_Process_2021	positive regulation of neuron projection development (GO:0010976)	6/88	2.550445e-03	3.815855e-01	0	0	4.688187e+00	2.799545e+01	CAPRIN2;ATP1B2;SERPINI1;EPHA3;ARSB;ZDHHC15
GO_Biological_Process_2021	positive regulation of supramolecular fiber organization (GO:1902905)	6/91	3.017807e-03	3.815855e-01	0	0	4.522030e+00	2.624236e+01	BAIAP2L2;SYNPO2;LMOD1;RPS3;EVL;NCK1
GO_Biological_Process_2021	retinal ganglion cell axon guidance (GO:0031290)	2/6	3.490998e-03	3.815855e-01	0	0	3.174839e+01	1.796187e+02	NRP1;SLIT2
GO_Biological_Process_2021	negative regulation of chemokine-mediated signaling pathway (GO:0070100)	2/6	3.490998e-03	3.815855e-01	0	0	3.174839e+01	1.796187e+02	SLIT3;SLIT2
