Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to catecholamine stimulus (GO:0071870)	8/24	1.455299e-05	2.845665e-02	0	0	9.478022e+00	1.055635e+02	NR4A3;LRRK2;KCNQ1;GNB1;ABL1;PDE4B;MAPK1;PRKACA
GO_Biological_Process_2021	protein polyubiquitination (GO:0000209)	34/314	2.405763e-05	2.845665e-02	0	0	2.330308e+00	2.478296e+01	RNF34;CBFB;PSMD14;TNKS;NEDD4L;PSMA7;UBE2J1;ZNRF1;HECTD1;PSMB2;HECTD2;RNF19A;PSMB1;UBR5;RBBP6;BTRC;RPS27A;RNF152;MARCHF6;SMURF2;UBE2B;AMFR;SIAH1;WWP1;UBE4B;FBXO11;RC3H2;RBX1;RNF168;PSMA4;PELI1;MDM2;BLMH;UBE2K
GO_Biological_Process_2021	protein ubiquitination (GO:0016567)	49/525	2.611953e-05	2.845665e-02	0	0	1.985371e+00	2.095127e+01	RNF10;HIF3A;RNF19A;BTRC;RNF152;RNF111;TRIM23;UBE4B;FBXO11;RC3H2;RBX1;RNF168;PSMA4;SELENOS;PELI1;WAC;RNF34;CBFB;UHRF2;PSMD14;TNKS;CTR9;NEDD4L;UBR1;RTF1;HIF1A;PSMA7;UBE2J1;ZNRF1;PSMB2;HECTD2;OS9;PSMB1;UBR5;ZSWIM8;MARCHF7;RBBP6;RPS27A;MARCHF6;BRAP;SMURF2;UBE2B;AMFR;SIAH1;WWP1;KLHL2;MDM2;BLMH;UBE2K
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	25/205	4.083862e-05	2.845665e-02	0	0	2.655121e+00	2.683234e+01	RNF34;PSMD14;NEDD4L;PSMA7;TRIM9;ZNRF1;PSMB2;PSMB1;ZSWIM8;BTRC;MARCHF6;SMURF2;UBE2B;RHBDD1;SIAH1;WWP1;UBE4B;RBX1;PSMA4;APPBP2;PELI1;MDM2;PLAA;CLOCK;UBE2K
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	59/684	4.187904e-05	2.845665e-02	0	0	1.825000e+00	1.839733e+01	TCERG1;TENM2;KDM1A;MYT1L;PRDM6;WWC1;WWC2;ENO1;RBPJ;ZNF608;SIN3A;SUFU;SAP130;HCFC2;FOXP2;ETV5;RUNX1;MTF2;CRY1;RARB;LCOR;PPARA;ZFPM2;CEBPB;HDAC2;CTBP2;CBFB;CTR9;CREM;GLIS3;ZBTB1;NEDD4L;RTF1;CXXC5;PHF21A;SDCBP;DEAF1;APBB1;RPS27A;ZBTB7A;SMAD2;SEMA4D;SMURF2;ZBTB16;MBD2;STAT3;KLF2;TBX3;ESR2;SMARCA4;PER1;NR4A3;BCL6;MDM2;ZNF536;TAF7;MDM4;EZH1;MXD4
GO_Biological_Process_2021	cellular response to starvation (GO:0009267)	21/158	4.696769e-05	2.845665e-02	0	0	2.925131e+00	2.915200e+01	SREBF1;RIPOR1;ATP6V1G1;SZT2;SEC13;CEBPB;HSPA5;LRRK2;EIF2AK2;WIPI1;EIF2AK4;RHEB;SESN1;ATP6V1H;MAPK1;SLC38A9;SIK2;ATP6V1E1;PPARA;RNF152;CPEB4
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	46/496	5.338959e-05	2.845665e-02	0	0	1.968123e+00	1.936218e+01	CSF1R;USP15;FLT1;TNKS;ROCK2;CCNH;LRRK2;STK39;STK4;ACVR1B;EGFR;CAMKK2;STK33;TBK1;SLK;RPS6KA2;ABL1;PDK3;MAPK1;PRKACA;MAPK6;MAP2K6;PDK1;CDK17;SMAD2;PRKCI;MAP2K1;TGFB1;CSNK2A1;PRKCB;CSNK1A1;INSR;EIF2AK2;CSNK1D;EIF2AK4;OXSR1;NRBP1;DCLK1;ACVR2A;UHMK1;LATS2;MAK;MAPKAPK2;CRY1;SIK2;CSNK1G2
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	75/948	7.314334e-05	3.136160e-02	0	0	1.666519e+00	1.587041e+01	TCERG1;TENM2;KDM1A;MYT1L;PRDM6;WWC1;WWC2;ENO1;RBPJ;SCML1;ZNF608;SIN3A;BASP1;SUFU;SAP130;CD38;BTRC;YAF2;TP63;NRG1;HCFC2;CBFA2T2;FOXP2;ETV5;RUNX1;MTF2;CRY1;LCOR;RARB;PPARA;ZFPM2;CLOCK;CEBPB;HDAC2;CTBP2;CBFB;TSHZ3;CTR9;CREM;GLIS3;ZBTB1;NEDD4L;RTF1;CXXC5;PHF21A;MBTD1;SDCBP;DEAF1;APBB1;RPS27A;ZBTB7A;SNX6;SMAD2;NIBAN2;TGFB1;SEMA4D;SMURF2;ZBTB16;MBD2;STAT3;WWP1;TBX3;KLF2;ESR2;SMARCA4;PER1;NR4A3;BCL6;MDM2;TAF7;ZNF536;MDM4;EZH1;RCOR1;MXD4
GO_Biological_Process_2021	cellular response to amino acid starvation (GO:0034198)	13/74	7.565114e-05	3.136160e-02	0	0	4.050464e+00	3.843639e+01	ATP6V1G1;SEC13;SZT2;CEBPB;EIF2AK2;EIF2AK4;RHEB;SESN1;ATP6V1H;MAPK1;SLC38A9;ATP6V1E1;RNF152
GO_Biological_Process_2021	response to amino acid starvation (GO:1990928)	13/75	8.734427e-05	3.258815e-02	0	0	3.984924e+00	3.724171e+01	ATP6V1G1;SEC13;SZT2;CEBPB;EIF2AK2;EIF2AK4;RHEB;SESN1;ATP6V1H;MAPK1;SLC38A9;ATP6V1E1;RNF152
GO_Biological_Process_2021	protein K48-linked ubiquitination (GO:0070936)	11/57	1.111732e-04	3.688623e-02	0	0	4.539405e+00	4.132866e+01	ZNRF1;RNF34;UBE2B;AMFR;UBR5;PELI1;NEDD4L;RNF152;UBE2K;MARCHF6;RBX1
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	35/354	1.186370e-04	3.688623e-02	0	0	2.103339e+00	1.901301e+01	RNF34;PSMD14;OTUD7A;NEDD4L;PSMA7;TRIM9;ZNRF1;OS9;PSMB2;RNF19A;PSMB1;ZSWIM8;RBBP6;BTRC;RNF111;MARCHF6;NDFIP2;NDFIP1;SMURF2;UBE2B;AMFR;SIAH1;WWP1;UBE4B;FBXO11;RC3H2;RBX1;RNF168;PSMA4;APPBP2;PELI1;MDM2;PLAA;CLOCK;UBE2K
GO_Biological_Process_2021	phosphorylation (GO:0016310)	38/400	1.423873e-04	3.765186e-02	0	0	2.013934e+00	1.783734e+01	PANK2;ROCK2;LRRK2;STK39;STK4;ACVR1B;CAMKK2;TBK1;ABL1;PDK3;MAPK1;PRKACA;MAPK6;PDK1;CDK17;PRKCI;MAP2K1;TGFB1;CSNK2A1;PRKCB;AGK;CSNK1A1;INSR;STAT3;EIF2AK2;CSNK1D;EIF2AK4;OXSR1;NRBP1;DCLK1;ACVR2A;LATS2;MAK;MAPKAPK2;SIK2;CSNK1G2;DGKI;DGKH
GO_Biological_Process_2021	MAPK cascade (GO:0000165)	31/303	1.545849e-04	3.765186e-02	0	0	2.181406e+00	1.914133e+01	SPTBN4;SHC2;PSMD14;IRS1;LRRK2;EGFR;PSMA7;ZFP36L2;CAMKK2;PPP1CC;PSMB2;PSMB1;MAPK1;MBP;NCAM1;BTRC;RPS27A;BRAP;MAP2K1;TGFB1;IL18;RANBP9;NRG1;GRIN2B;GRIN1;RBX1;PSMA4;LRRC7;MAPKAPK2;NF1;RAF1
GO_Biological_Process_2021	regulation of macroautophagy (GO:0016241)	16/112	1.559903e-04	3.765186e-02	0	0	3.171366e+00	2.779930e+01	EPM2A;BNIP3L;ATP6V1G1;LRRK2;TSC2;TBK1;RHEB;SESN1;WAC;ATP6V1H;SLC38A9;ATP6V1E1;PRKACA;LZTS1;SNX6;EXOC1
