Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hedgehog signaling pathway	7/56	6.192584e-06	1.349983e-03	0	0	1.153396e+01	1.383170e+02	CSNK1A1;SUFU;GPR161;CSNK1D;BTRC;PRKACA;CSNK1G2
MSigDB_Hallmark_2020	Long-term potentiation	5/67	1.533465e-03	1.671477e-01	0	0	6.453908e+00	4.182277e+01	RAP1B;PPP1CC;PRKACA;RAF1;GRIN1
MSigDB_Hallmark_2020	Gap junction	5/88	5.031859e-03	2.553249e-01	0	0	4.815849e+00	2.548531e+01	GJA1;TUBA1A;CSNK1D;PRKACA;RAF1
MSigDB_Hallmark_2020	Autophagy	6/137	7.725911e-03	2.553249e-01	0	0	3.667487e+00	1.783563e+01	RHEB;TSC2;RRAS2;WIPI1;PRKACA;RAF1
MSigDB_Hallmark_2020	Insulin signaling pathway	6/137	7.725911e-03	2.553249e-01	0	0	3.667487e+00	1.783563e+01	PPP1CC;PTPN1;RHEB;TSC2;PRKACA;RAF1
MSigDB_Hallmark_2020	Longevity regulating pathway	5/102	9.295238e-03	2.553249e-01	0	0	4.117844e+00	1.926432e+01	HDAC2;RHEB;TSC2;PRKACA;SOD1
MSigDB_Hallmark_2020	Amphetamine addiction	4/69	1.107262e-02	2.553249e-01	0	0	4.904142e+00	2.208472e+01	PPP1CC;HDAC2;PRKACA;GRIN1
MSigDB_Hallmark_2020	Epithelial cell signaling in Helicobacter pylori infection	4/70	1.163071e-02	2.553249e-01	0	0	4.829591e+00	2.151152e+01	NFKBIA;ATP6V1G1;ADAM17;ATP6V1H
MSigDB_Hallmark_2020	Pathogenic Escherichia coli infection	7/197	1.239271e-02	2.553249e-01	0	0	2.953257e+00	1.296671e+01	NFKBIA;ACTR3;TUBA1A;SEC24A;WIPF1;CYTH1;WASF3
MSigDB_Hallmark_2020	mTOR signaling pathway	6/154	1.325908e-02	2.553249e-01	0	0	3.243409e+00	1.402149e+01	ATP6V1G1;RHEB;TSC2;ATP6V1H;RAF1;LPIN1
MSigDB_Hallmark_2020	Salmonella infection	8/249	1.362841e-02	2.553249e-01	0	0	2.664891e+00	1.144730e+01	NFKBIA;ACTR3;TUBA1A;RHOJ;RAF1;CYTH1;WASF3;RHOB
MSigDB_Hallmark_2020	Cellular senescence	6/156	1.405458e-02	2.553249e-01	0	0	3.199837e+00	1.364669e+01	PPP1CC;RHEB;TSC2;RRAS2;BTRC;RAF1
