Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,cellular response to catecholamine stimulus (GO:0071870),8/24,1.4552994817799997e-05,0.0284566516177189,0,0,9.478021978021978,105.5634957654674,NR4A3;LRRK2;KCNQ1;GNB1;ABL1;PDE4B;MAPK1;PRKACA
MSigDB_Hallmark_2020,protein polyubiquitination (GO:0000209),34/314,2.4057634417050764e-05,0.0284566516177189,0,0,2.3303076923076924,24.782957867300553,RNF34;CBFB;PSMD14;TNKS;NEDD4L;PSMA7;UBE2J1;ZNRF1;HECTD1;PSMB2;HECTD2;RNF19A;PSMB1;UBR5;RBBP6;BTRC;RPS27A;RNF152;MARCHF6;SMURF2;UBE2B;AMFR;SIAH1;WWP1;UBE4B;FBXO11;RC3H2;RBX1;RNF168;PSMA4;PELI1;MDM2;BLMH;UBE2K
MSigDB_Hallmark_2020,protein ubiquitination (GO:0016567),49/525,2.6119530086668575e-05,0.0284566516177189,0,0,1.9853707107843137,20.951274126748757,RNF10;HIF3A;RNF19A;BTRC;RNF152;RNF111;TRIM23;UBE4B;FBXO11;RC3H2;RBX1;RNF168;PSMA4;SELENOS;PELI1;WAC;RNF34;CBFB;UHRF2;PSMD14;TNKS;CTR9;NEDD4L;UBR1;RTF1;HIF1A;PSMA7;UBE2J1;ZNRF1;PSMB2;HECTD2;OS9;PSMB1;UBR5;ZSWIM8;MARCHF7;RBBP6;RPS27A;MARCHF6;BRAP;SMURF2;UBE2B;AMFR;SIAH1;WWP1;KLHL2;MDM2;BLMH;UBE2K
MSigDB_Hallmark_2020,proteasomal protein catabolic process (GO:0010498),25/205,4.083861741935253e-05,0.0284566516177189,0,0,2.6551208220415536,26.832338835343535,RNF34;PSMD14;NEDD4L;PSMA7;TRIM9;ZNRF1;PSMB2;PSMB1;ZSWIM8;BTRC;MARCHF6;SMURF2;UBE2B;RHBDD1;SIAH1;WWP1;UBE4B;RBX1;PSMA4;APPBP2;PELI1;MDM2;PLAA;CLOCK;UBE2K
MSigDB_Hallmark_2020,negative regulation of transcription by RNA polymerase II (GO:0000122),59/684,4.187903934333895e-05,0.0284566516177189,0,0,1.8250004210526316,18.39732757125264,TCERG1;TENM2;KDM1A;MYT1L;PRDM6;WWC1;WWC2;ENO1;RBPJ;ZNF608;SIN3A;SUFU;SAP130;HCFC2;FOXP2;ETV5;RUNX1;MTF2;CRY1;RARB;LCOR;PPARA;ZFPM2;CEBPB;HDAC2;CTBP2;CBFB;CTR9;CREM;GLIS3;ZBTB1;NEDD4L;RTF1;CXXC5;PHF21A;SDCBP;DEAF1;APBB1;RPS27A;ZBTB7A;SMAD2;SEMA4D;SMURF2;ZBTB16;MBD2;STAT3;KLF2;TBX3;ESR2;SMARCA4;PER1;NR4A3;BCL6;MDM2;ZNF536;TAF7;MDM4;EZH1;MXD4
MSigDB_Hallmark_2020,cellular response to starvation (GO:0009267),21/158,4.6967690721227365e-05,0.0284566516177189,0,0,2.925130766275599,29.15200129883497,SREBF1;RIPOR1;ATP6V1G1;SZT2;SEC13;CEBPB;HSPA5;LRRK2;EIF2AK2;WIPI1;EIF2AK4;RHEB;SESN1;ATP6V1H;MAPK1;SLC38A9;SIK2;ATP6V1E1;PPARA;RNF152;CPEB4
MSigDB_Hallmark_2020,protein phosphorylation (GO:0006468),46/496,5.3389590277146315e-05,0.0284566516177189,0,0,1.968122764509057,19.36218465095604,CSF1R;USP15;FLT1;TNKS;ROCK2;CCNH;LRRK2;STK39;STK4;ACVR1B;EGFR;CAMKK2;STK33;TBK1;SLK;RPS6KA2;ABL1;PDK3;MAPK1;PRKACA;MAPK6;MAP2K6;PDK1;CDK17;SMAD2;PRKCI;MAP2K1;TGFB1;CSNK2A1;PRKCB;CSNK1A1;INSR;EIF2AK2;CSNK1D;EIF2AK4;OXSR1;NRBP1;DCLK1;ACVR2A;UHMK1;LATS2;MAK;MAPKAPK2;CRY1;SIK2;CSNK1G2
MSigDB_Hallmark_2020,"negative regulation of transcription, DNA-templated (GO:0045892)",75/948,7.314334382336213e-05,0.0313615997174597,0,0,1.6665194963832903,15.870414197842218,TCERG1;TENM2;KDM1A;MYT1L;PRDM6;WWC1;WWC2;ENO1;RBPJ;SCML1;ZNF608;SIN3A;BASP1;SUFU;SAP130;CD38;BTRC;YAF2;TP63;NRG1;HCFC2;CBFA2T2;FOXP2;ETV5;RUNX1;MTF2;CRY1;LCOR;RARB;PPARA;ZFPM2;CLOCK;CEBPB;HDAC2;CTBP2;CBFB;TSHZ3;CTR9;CREM;GLIS3;ZBTB1;NEDD4L;RTF1;CXXC5;PHF21A;MBTD1;SDCBP;DEAF1;APBB1;RPS27A;ZBTB7A;SNX6;SMAD2;NIBAN2;TGFB1;SEMA4D;SMURF2;ZBTB16;MBD2;STAT3;WWP1;TBX3;KLF2;ESR2;SMARCA4;PER1;NR4A3;BCL6;MDM2;TAF7;ZNF536;MDM4;EZH1;RCOR1;MXD4
MSigDB_Hallmark_2020,cellular response to amino acid starvation (GO:0034198),13/74,7.565113842324792e-05,0.0313615997174597,0,0,4.050464151688722,38.43638569146941,ATP6V1G1;SEC13;SZT2;CEBPB;EIF2AK2;EIF2AK4;RHEB;SESN1;ATP6V1H;MAPK1;SLC38A9;ATP6V1E1;RNF152
MSigDB_Hallmark_2020,response to amino acid starvation (GO:1990928),13/75,8.73442744867646e-05,0.0325881488110118,0,0,3.984923565228657,37.24171315243115,ATP6V1G1;SEC13;SZT2;CEBPB;EIF2AK2;EIF2AK4;RHEB;SESN1;ATP6V1H;MAPK1;SLC38A9;ATP6V1E1;RNF152
