Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Longevity regulating pathway,8/102,0.00031255098070696104,0.0350083781642434,0,0,5.109515729017099,41.2375881185493,HDAC2;ADCY9;RHEB;CREB3L2;TSC2;PRKACA;SOD1;HSPA1A
GO_Biological_Process_2021,Hedgehog signaling pathway,6/56,0.00033341312537374726,0.0350083781642434,0,0,7.176585365853659,57.45666262205517,CSNK1A1;SUFU;GPR161;CSNK1D;PRKACA;CSNK1G2
GO_Biological_Process_2021,Proteoglycans in cancer,10/205,0.0024273327433004,0.1583647718281317,0,0,3.081829692940804,18.55558027595088,VAV3;PPP1CB;PPP1CC;TGFB2;CTSL;CAV2;TWIST2;PDCD4;TWIST1;PRKACA
GO_Biological_Process_2021,Gap junction,6/88,0.0035673297185537,0.1583647718281317,0,0,4.368828078524688,24.622443925733627,GJA1;TUBA1A;ADCY9;CSNK1D;PRKACA;PRKG1
GO_Biological_Process_2021,Adrenergic signaling in cardiomyocytes,8/150,0.0037705898054317,0.1583647718281317,0,0,3.3740603127970274,18.82902402225365,PPP1CB;PPP1CC;ADCY9;CREB3L2;CACNA2D3;CREM;ATP2B4;PRKACA
GO_Biological_Process_2021,Amphetamine addiction,5/69,0.005919847185409,0.2071946514893156,0,0,4.654730243161095,23.876181113627307,PPP1CB;PPP1CC;HDAC2;CREB3L2;PRKACA
GO_Biological_Process_2021,Vascular smooth muscle contraction,7/133,0.00705737037739,0.2117211113217013,0,0,3.3197417601087325,16.444947540146526,PPP1CB;ACTA2;PPP1CC;ADCY9;MYH11;PRKACA;PRKG1
GO_Biological_Process_2021,Vibrio cholerae infection,4/50,0.009620517824292,0.2489971116200704,0,0,5.169960474308301,24.00855810959043,ATP6V1G1;ADCY9;ATP6V1E1;PRKACA
GO_Biological_Process_2021,cAMP signaling pathway,9/216,0.0106713047837173,0.2489971116200704,0,0,2.603210702341137,11.819089254233193,VAV3;PPP1CB;RAP1B;PPP1CC;ADCY9;CREB3L2;PDE4B;ATP2B4;PRKACA
GO_Biological_Process_2021,mTOR signaling pathway,7/154,0.015021742548359,0.3154565935155404,0,0,2.8424348332605214,11.93327086751244,ATP6V1G1;SEC13;RHEB;TSC2;SLC38A9;ATP6V1E1;LPIN1
GO_Biological_Process_2021,Platelet activation,6/124,0.0179272061405009,0.3211739035781087,0,0,3.030384456386937,12.186496613077267,PPP1CB;RAP1B;PPP1CC;ADCY9;PRKACA;PRKG1
GO_Biological_Process_2021,Rheumatoid arthritis,5/93,0.0198543028970904,0.3211739035781087,0,0,3.38111356728378,13.251715136207244,ATP6V1G1;TGFB2;CSF1;CTSL;ATP6V1E1
GO_Biological_Process_2021,Hippo signaling pathway,7/163,0.0198821940310257,0.3211739035781087,0,0,2.677213204736141,10.489135859118925,PPP1CB;PPP1CC;TGFB2;WWC1;CSNK1D;CTNNA3;NKD1
GO_Biological_Process_2021,cGMP-PKG signaling pathway,7/167,0.0223596646001947,0.3225098426843282,0,0,2.6097477064220183,9.91833736549238,PPP1CB;PPP1CC;ADCY9;CREB3L2;ATP2B4;MEF2D;PRKG1
GO_Biological_Process_2021,Protein processing in endoplasmic reticulum,7/171,0.025043071073348,0.3225098426843282,0,0,2.545573208025658,9.385930856750642,SEC13;SEC24A;SELENOS;OS9;HSPA4L;MARCHF6;HSPA1A
GO_Biological_Process_2021,Long-term potentiation,4/67,0.025720836078507,0.3225098426843282,0,0,3.771620971620972,13.805844593814816,PPP1CB;RAP1B;PPP1CC;PRKACA
GO_Biological_Process_2021,Autophagy,6/137,0.0276437008015138,0.3225098426843282,0,0,2.727843976913052,9.7884791099135,RHEB;CTSL;TSC2;WIPI1;PRKACA;SNAP29
GO_Biological_Process_2021,Insulin signaling pathway,6/137,0.0276437008015138,0.3225098426843282,0,0,2.727843976913052,9.7884791099135,PPP1CB;PPP1CC;PTPN1;RHEB;TSC2;PRKACA
GO_Biological_Process_2021,"Parathyroid hormone synthesis, secretion and action",5/106,0.0325821463840352,0.3601184600340741,0,0,2.9439646092268803,10.080107730334396,ADCY9;CREB3L2;PDE4B;PRKACA;MEF2D
GO_Biological_Process_2021,Vasopressin-regulated water reabsorption,3/44,0.0369490465554344,0.3879649888320617,0,0,4.338294893522954,14.308631181840134,ADCY9;CREB3L2;PRKACA
GO_Biological_Process_2021,Prion disease,9/273,0.0405352955650905,0.3972929790422324,0,0,2.035174825174825,6.523920171014376,SEM1;NDUFB9;TUBA1A;CAV2;CREB3L2;PSMB1;PRKACA;HSPA1A;SOD1
GO_Biological_Process_2021,Thermogenesis,8/232,0.0416211692329957,0.3972929790422324,0,0,2.1299298860648554,6.77135885574435,NDUFB9;ADCY9;KDM1A;RHEB;CREB3L2;TSC2;PRKACA;PRKG1
GO_Biological_Process_2021,Cellular senescence,6/156,0.0472479870718606,0.4236828506152238,0,0,2.38,7.264581641696578,PPP1CB;PPP1CC;TGFB2;RHEB;TSC2;ZFP36L2
GO_Biological_Process_2021,Human papillomavirus infection,10/331,0.0521792849949222,0.4236828506152238,0,0,1.8600246144379065,5.492782333931789,ATP6V1G1;HDAC2;CSNK1A1;RHEB;CREB3L2;HEY2;COL4A6;TSC2;ATP6V1E1;PRKACA
GO_Biological_Process_2021,Focal adhesion,7/201,0.0523507591814668,0.4236828506152238,0,0,2.148617547841988,6.33796806348736,VAV3;PPP1CB;RAP1B;PPP1CC;CAV2;COL4A6;PGF
GO_Biological_Process_2021,Thyroid hormone signaling pathway,5/121,0.0524559719809324,0.4236828506152238,0,0,2.561314327638612,7.550193940982165,HDAC2;RHEB;RCAN2;TSC2;PRKACA
GO_Biological_Process_2021,Endocrine and other factor-regulated calcium reabsorption,3/53,0.0586599695907139,0.447820077356389,0,0,3.555770392749245,10.084156775863704,ADCY9;ATP2B4;PRKACA
GO_Biological_Process_2021,Regulation of lipolysis in adipocytes,3/55,0.064142876805474,0.447820077356389,0,0,3.4186613990239367,9.38983978145378,ADCY9;PRKACA;PRKG1
GO_Biological_Process_2021,Oocyte meiosis,5/129,0.0654060549388453,0.447820077356389,0,0,2.3950877537013437,6.531740674399869,PPP1CB;PPP1CC;ADCY9;SPDYE3;PRKACA
GO_Biological_Process_2021,Relaxin signaling pathway,5/129,0.0654060549388453,0.447820077356389,0,0,2.3950877537013437,6.531740674399869,ACTA2;ADCY9;CREB3L2;COL4A6;PRKACA
GO_Biological_Process_2021,Morphine addiction,4/91,0.0661067733240383,0.447820077356389,0,0,2.7278300243817486,7.410106797384332,ADCY9;PDE4B;PDE7B;PRKACA
GO_Biological_Process_2021,Salivary secretion,4/93,0.0704211565775133,0.4621388400399311,0,0,2.6662580864828054,7.07428004030665,ADCY9;ATP2B4;PRKACA;PRKG1
GO_Biological_Process_2021,Collecting duct acid secretion,2/27,0.0742407618491795,0.4643819441780481,0,0,4.732771084337349,12.307296366080694,ATP6V1G1;ATP6V1E1
GO_Biological_Process_2021,Dilated cardiomyopathy,4/96,0.0771564487280274,0.4643819441780481,0,0,2.578919631093544,6.606986082465412,TGFB2;ADCY9;CACNA2D3;PRKACA
GO_Biological_Process_2021,Apelin signaling pathway,5/137,0.0799844104555405,0.4643819441780481,0,0,2.249009855392834,5.680826918793928,ACTA2;ADCY9;PRKACA;MEF2D;KLF2
GO_Biological_Process_2021,Aldosterone synthesis and secretion,4/98,0.0818196758789894,0.4643819441780481,0,0,2.523791102514507,6.317648600343242,ADCY9;CREB3L2;ATP2B4;PRKACA
GO_Biological_Process_2021,Inflammatory mediator regulation of TRP channels,4/98,0.0818196758789894,0.4643819441780481,0,0,2.523791102514507,6.317648600343242,PPP1CB;PPP1CC;ADCY9;PRKACA
GO_Biological_Process_2021,Amyotrophic lateral sclerosis,10/364,0.0857781098099488,0.4664093385880204,0,0,1.6837553184069192,4.135288641417113,SEM1;NDUFB9;SEC13;TUBA1A;PSMB1;NUP88;NUP153;WIPI1;NRG2;SOD1
GO_Biological_Process_2021,AGE-RAGE signaling pathway in diabetic complications,4/100,0.0866188771663466,0.4664093385880204,0,0,2.470959595959596,6.044554039527377,TGFB2;COL4A6;NOX4;F3
GO_Biological_Process_2021,Alcoholism,6/186,0.0923183496208256,0.4741800285769354,0,0,1.9802845528455284,4.718052409820051,PPP1CB;PPP1CC;HDAC2;CREB3L2;PRKACA;HDAC9
GO_Biological_Process_2021,Circadian rhythm,2/31,0.0942273958842767,0.4741800285769354,0,0,4.07914416285833,9.63511927131651,CRY1;CSNK1D
GO_Biological_Process_2021,Cortisol synthesis and secretion,3/65,0.094836005715387,0.4741800285769354,0,0,2.8658025533573728,6.75070207554272,ADCY9;CREB3L2;PRKACA
GO_Biological_Process_2021,Cell adhesion molecules,5/148,0.1026118056520312,0.4848497697314255,0,0,2.0748400535634577,4.724000581250202,CADM1;NRXN3;NRCAM;CD58;MPZL1
GO_Biological_Process_2021,Phospholipase D signaling pathway,5/148,0.1026118056520312,0.4848497697314255,0,0,2.0748400535634577,4.724000581250202,ADCY9;RHEB;TSC2;CYTH1;AGPAT4
GO_Biological_Process_2021,SNARE interactions in vesicular transport,2/33,0.1047357150685551,0.4848497697314255,0,0,3.8155849203264673,8.609161875414372,STX6;SNAP29
GO_Biological_Process_2021,Insulin resistance,4/108,0.1071275014703257,0.4848497697314255,0,0,2.27995337995338,5.092812920310519,PPP1CB;PPP1CC;PTPN1;CREB3L2
GO_Biological_Process_2021,Renal cell carcinoma,3/69,0.1085139960827476,0.4848497697314255,0,0,2.6915682504806373,5.977639647907784,RAP1B;TGFB2;ELOB
GO_Biological_Process_2021,Pathogenic Escherichia coli infection,6/197,0.113160382252064,0.4878671123656848,0,0,1.8651832460732984,4.064139457160408,TUBA1A;SEC24A;WIPF1;MYH11;CYTH1;WASF3
GO_Biological_Process_2021,Adherens junction,3/71,0.1156236182968876,0.4878671123656848,0,0,2.612137906522125,5.635465588023852,PTPN1;CTNNA3;WASF3
GO_Biological_Process_2021,Oxytocin signaling pathway,5/154,0.116158836277544,0.4878671123656848,0,0,1.9906774647600007,4.285523968924069,PPP1CB;PPP1CC;ADCY9;CACNA2D3;PRKACA
GO_Biological_Process_2021,Thyroid hormone synthesis,3/75,0.1303455976419415,0.526789866949058,0,0,2.466515609264854,5.025688128179551,ADCY9;CREB3L2;PRKACA
GO_Biological_Process_2021,Endocytosis,7/252,0.1304432051492905,0.526789866949058,0,0,1.6968982088248143,3.4562717240067653,WIPF1;CAV2;SMAP1;EPN1;CYTH1;SNX6;HSPA1A
GO_Biological_Process_2021,Arrhythmogenic right ventricular cardiomyopathy,3/77,0.1379423546356852,0.5414038513748803,0,0,2.3996080672817834,4.753430175575784,GJA1;CACNA2D3;CTNNA3
