Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,establishment of protein localization to organelle (GO:0072594),8/76,3.9090285565598065e-05,0.080135085409476,0,0,7.072536990256225,71.78368009913721,NEURL1B;SEC13;IPO9;CSE1L;TSC2;NUP88;NUP153;IPO5
PanglaoDB_Augmented_2021,atrioventricular valve morphogenesis (GO:0003181),4/19,0.0002428145327336734,0.0880141575998552,0,0,15.87959595959596,132.16925390139932,TGFB2;HEY2;SLIT3;ZFPM1
PanglaoDB_Augmented_2021,cellular response to epinephrine stimulus (GO:0071872),3/8,0.00024288167002556636,0.0880141575998552,0,0,35.6392749244713,296.6234109776862,ATP2B4;PDE4B;PRKACA
PanglaoDB_Augmented_2021,response to epinephrine (GO:0071871),3/8,0.00024288167002556636,0.0880141575998552,0,0,35.6392749244713,296.6234109776862,ATP2B4;PDE4B;PRKACA
PanglaoDB_Augmented_2021,negative regulation of cell growth (GO:0030308),9/126,0.00026969815971666016,0.0880141575998552,0,0,4.62698224852071,38.02549860367413,GJA1;TGFB2;DDX3X;FHL1;SLIT3;TP53TG5;ENO1;DIP2B;HSPA1A
PanglaoDB_Augmented_2021,protein import into nucleus (GO:0006606),7/76,0.00027712338659985206,0.0880141575998552,0,0,6.079820945796215,49.80010344723189,SEC13;IPO9;CSE1L;TSC2;NUP88;NUP153;IPO5
PanglaoDB_Augmented_2021,import into nucleus (GO:0051170),7/77,0.0003005361479019447,0.0880141575998552,0,0,5.992660550458716,48.60013259832901,SEC13;IPO9;CSE1L;TSC2;NUP88;NUP153;IPO5
PanglaoDB_Augmented_2021,regulation of organ growth (GO:0046620),3/10,0.0005076777246034338,0.118083029848704,0,0,25.454035390591283,193.085752588658,WWC1;WWC2;SOD1
PanglaoDB_Augmented_2021,negative regulation of intracellular signal transduction (GO:1902532),11/198,0.0005184133017747983,0.118083029848704,0,0,3.5474412675286833,26.8354628864569,EPM2A;DDX3X;TNIP1;TMSB4X;WWC1;WWC2;ATP2B4;SPRY3;TWIST1;TSC2;UBR1
PanglaoDB_Augmented_2021,regulation of macroautophagy (GO:0016241),8/112,0.0005870272688128754,0.1203405901066394,0,0,4.615856536101935,34.34400030365398,EPM2A;ATP6V1G1;RHEB;TSC2;SLC38A9;ATP6V1E1;PRKACA;SNX6
