Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hedgehog signaling pathway	6/56	6.612914e-05	1.256454e-02	0	0	9.769587e+00	9.402154e+01	CSNK1A1;SUFU;GPR161;CSNK1D;PRKACA;CSNK1G2
MSigDB_Hallmark_2020	Longevity regulating pathway	6/102	1.709048e-03	1.623596e-01	0	0	5.076446e+00	3.234619e+01	HDAC2;RHEB;CREB3L2;TSC2;PRKACA;SOD1
MSigDB_Hallmark_2020	mTOR signaling pathway	7/154	3.144833e-03	1.991728e-01	0	0	3.873740e+00	2.232047e+01	ATP6V1G1;SEC13;RHEB;TSC2;SLC38A9;ATP6V1E1;LPIN1
MSigDB_Hallmark_2020	Rheumatoid arthritis	5/93	6.039701e-03	2.868858e-01	0	0	4.597830e+00	2.349216e+01	ATP6V1G1;TGFB2;CSF1;CTSL;ATP6V1E1
MSigDB_Hallmark_2020	Amphetamine addiction	4/69	1.063075e-02	4.039683e-01	0	0	4.965195e+00	2.256187e+01	PPP1CC;HDAC2;CREB3L2;PRKACA
MSigDB_Hallmark_2020	Proteoglycans in cancer	7/205	1.425334e-02	4.455054e-01	0	0	2.868477e+00	1.219322e+01	VAV3;PPP1CC;TGFB2;CTSL;PDCD4;TWIST1;PRKACA
MSigDB_Hallmark_2020	Protein processing in endoplasmic reticulum	6/171	2.003012e-02	4.455054e-01	0	0	2.943201e+00	1.150944e+01	SEC13;SEC24A;SELENOS;OS9;HSPA4L;MARCHF6
MSigDB_Hallmark_2020	Human papillomavirus infection	9/331	2.279957e-02	4.455054e-01	0	0	2.272278e+00	8.591515e+00	ATP6V1G1;HDAC2;CSNK1A1;RHEB;CREB3L2;COL4A6;TSC2;ATP6V1E1;PRKACA
MSigDB_Hallmark_2020	Gap junction	4/88	2.393311e-02	4.455054e-01	0	0	3.838407e+00	1.432683e+01	GJA1;TUBA1A;CSNK1D;PRKACA
MSigDB_Hallmark_2020	Vibrio cholerae infection	3/50	2.407084e-02	4.455054e-01	0	0	5.133739e+00	1.913218e+01	ATP6V1G1;ATP6V1E1;PRKACA
MSigDB_Hallmark_2020	Autophagy	5/137	2.813719e-02	4.455054e-01	0	0	3.058361e+00	1.092038e+01	RHEB;CTSL;TSC2;WIPI1;PRKACA
MSigDB_Hallmark_2020	Insulin signaling pathway	5/137	2.813719e-02	4.455054e-01	0	0	3.058361e+00	1.092038e+01	PPP1CC;PTPN1;RHEB;TSC2;PRKACA
MSigDB_Hallmark_2020	Collecting duct acid secretion	2/27	4.386285e-02	5.627637e-01	0	0	6.415285e+00	2.005859e+01	ATP6V1G1;ATP6V1E1
MSigDB_Hallmark_2020	Cellular senescence	5/156	4.516652e-02	5.627637e-01	0	0	2.670945e+00	8.272984e+00	PPP1CC;TGFB2;RHEB;TSC2;ZFP36L2
MSigDB_Hallmark_2020	Long-term potentiation	3/67	5.055715e-02	5.627637e-01	0	0	3.766837e+00	1.124269e+01	RAP1B;PPP1CC;PRKACA
MSigDB_Hallmark_2020	Hippo signaling pathway	5/163	5.270651e-02	5.627637e-01	0	0	2.551701e+00	7.509697e+00	PPP1CC;TGFB2;WWC1;CSNK1D;NKD1
MSigDB_Hallmark_2020	cAMP signaling pathway	6/216	5.288258e-02	5.627637e-01	0	0	2.307202e+00	6.782438e+00	VAV3;RAP1B;PPP1CC;CREB3L2;PDE4B;PRKACA
MSigDB_Hallmark_2020	Renal cell carcinoma	3/69	5.432361e-02	5.627637e-01	0	0	3.652319e+00	1.063846e+01	RAP1B;TGFB2;ELOB
MSigDB_Hallmark_2020	Circadian rhythm	2/31	5.627637e-02	5.627637e-01	0	0	5.529296e+00	1.591044e+01	CRY1;CSNK1D
MSigDB_Hallmark_2020	Thyroid hormone signaling pathway	4/121	6.394383e-02	6.074664e-01	0	0	2.751156e+00	7.564992e+00	HDAC2;RHEB;TSC2;PRKACA
MSigDB_Hallmark_2020	Thermogenesis	6/232	6.964104e-02	6.292068e-01	0	0	2.142105e+00	5.707427e+00	NDUFB9;KDM1A;RHEB;CREB3L2;TSC2;PRKACA
MSigDB_Hallmark_2020	Synaptic vesicle cycle	3/78	7.285552e-02	6.292068e-01	0	0	3.212571e+00	8.414614e+00	ATP6V1G1;SYT1;ATP6V1E1
MSigDB_Hallmark_2020	Amyotrophic lateral sclerosis	8/364	8.452737e-02	6.745354e-01	0	0	1.816105e+00	4.487014e+00	NDUFB9;SEC13;TUBA1A;PSMB1;NUP88;NUP153;WIPI1;SOD1
MSigDB_Hallmark_2020	Huntington disease	7/306	8.749646e-02	6.745354e-01	0	0	1.889715e+00	4.603643e+00	NDUFB9;HDAC2;TUBA1A;CREB3L2;PSMB1;WIPI1;SOD1
MSigDB_Hallmark_2020	Pathogenic Escherichia coli infection	5/197	9.905539e-02	6.745354e-01	0	0	2.096193e+00	4.846559e+00	TUBA1A;SEC24A;WIPF1;CYTH1;WASF3
MSigDB_Hallmark_2020	Vasopressin-regulated water reabsorption	2/44	1.032647e-01	6.745354e-01	0	0	3.815331e+00	8.662555e+00	CREB3L2;PRKACA
MSigDB_Hallmark_2020	Morphine addiction	3/91	1.038266e-01	6.745354e-01	0	0	2.736178e+00	6.197535e+00	PDE4B;PDE7B;PRKACA
MSigDB_Hallmark_2020	Cell adhesion molecules	4/148	1.125106e-01	6.745354e-01	0	0	2.232240e+00	4.876792e+00	CADM1;NRXN3;NRCAM;MPZL1
MSigDB_Hallmark_2020	Phospholipase D signaling pathway	4/148	1.125106e-01	6.745354e-01	0	0	2.232240e+00	4.876792e+00	RHEB;TSC2;CYTH1;AGPAT4
MSigDB_Hallmark_2020	Adrenergic signaling in cardiomyocytes	4/150	1.166206e-01	6.745354e-01	0	0	2.201437e+00	4.730512e+00	PPP1CC;CREB3L2;CREM;PRKACA
MSigDB_Hallmark_2020	Phagosome	4/152	1.207956e-01	6.745354e-01	0	0	2.171467e+00	4.589733e+00	ATP6V1G1;TUBA1A;CTSL;ATP6V1E1
MSigDB_Hallmark_2020	Choline metabolism in cancer	3/98	1.223163e-01	6.745354e-01	0	0	2.533663e+00	5.323593e+00	RHEB;TSC2;WASF3
MSigDB_Hallmark_2020	Glycerophospholipid metabolism	3/98	1.223163e-01	6.745354e-01	0	0	2.533663e+00	5.323593e+00	GNPAT;LPIN1;AGPAT4
MSigDB_Hallmark_2020	Cocaine addiction	2/49	1.234254e-01	6.745354e-01	0	0	3.408580e+00	7.131153e+00	CREB3L2;PRKACA
MSigDB_Hallmark_2020	Prion disease	6/273	1.249199e-01	6.745354e-01	0	0	1.809360e+00	3.763618e+00	NDUFB9;TUBA1A;CREB3L2;PSMB1;PRKACA;SOD1
MSigDB_Hallmark_2020	AGE-RAGE signaling pathway in diabetic complications	3/100	1.278067e-01	6.745354e-01	0	0	2.481170e+00	5.104352e+00	TGFB2;COL4A6;F3
MSigDB_Hallmark_2020	Amoebiasis	3/102	1.333836e-01	6.849430e-01	0	0	2.430798e+00	4.896905e+00	TGFB2;COL4A6;PRKACA
MSigDB_Hallmark_2020	Parathyroid hormone synthesis, secretion and action	3/106	1.447843e-01	7.239213e-01	0	0	2.335922e+00	4.514195e+00	CREB3L2;PDE4B;PRKACA
MSigDB_Hallmark_2020	Insulin resistance	3/108	1.506016e-01	7.336999e-01	0	0	2.291195e+00	4.337502e+00	PPP1CC;PTPN1;CREB3L2
MSigDB_Hallmark_2020	Glycerolipid metabolism	2/61	1.749406e-01	7.755387e-01	0	0	2.713656e+00	4.730740e+00	LPIN1;AGPAT4
MSigDB_Hallmark_2020	AMPK signaling pathway	3/120	1.869439e-01	7.755387e-01	0	0	2.054945e+00	3.446034e+00	RHEB;CREB3L2;TSC2
MSigDB_Hallmark_2020	Cortisol synthesis and secretion	2/65	1.928008e-01	7.755387e-01	0	0	2.540844e+00	4.182478e+00	CREB3L2;PRKACA
MSigDB_Hallmark_2020	Salmonella infection	5/249	1.976668e-01	7.755387e-01	0	0	1.645079e+00	2.666956e+00	TUBA1A;CSE1L;RHOJ;WASF3;CYTH1
MSigDB_Hallmark_2020	Platelet activation	3/124	1.995310e-01	7.755387e-01	0	0	1.986608e+00	3.201986e+00	RAP1B;PPP1CC;PRKACA
MSigDB_Hallmark_2020	Alcoholism	4/186	2.003901e-01	7.755387e-01	0	0	1.762745e+00	2.833594e+00	PPP1CC;HDAC2;CREB3L2;PRKACA
MSigDB_Hallmark_2020	RNA transport	4/186	2.003901e-01	7.755387e-01	0	0	1.762745e+00	2.833594e+00	SEC13;STRAP;NUP88;NUP153
MSigDB_Hallmark_2020	Endocytosis	5/252	2.041746e-01	7.755387e-01	0	0	1.624848e+00	2.581526e+00	WIPF1;SMAP1;EPN1;CYTH1;SNX6
MSigDB_Hallmark_2020	Epithelial cell signaling in Helicobacter pylori infection	2/70	2.154314e-01	7.755387e-01	0	0	2.353419e+00	3.612764e+00	ATP6V1G1;ATP6V1E1
MSigDB_Hallmark_2020	Oocyte meiosis	3/129	2.155376e-01	7.755387e-01	0	0	1.907289e+00	2.926963e+00	PPP1CC;SPDYE3;PRKACA
