Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Hedgehog signaling pathway,6/56,6.612913618167685e-05,0.0125645358745186,0,0,9.769586776859503,94.02153711193812,CSNK1A1;SUFU;GPR161;CSNK1D;PRKACA;CSNK1G2
GO_Biological_Process_2021,Longevity regulating pathway,6/102,0.0017090484634592,0.1623596040286332,0,0,5.076446280991736,32.34619441612926,HDAC2;RHEB;CREB3L2;TSC2;PRKACA;SOD1
GO_Biological_Process_2021,mTOR signaling pathway,7/154,0.0031448334521313,0.1991727853016535,0,0,3.873740367516301,22.320470097937445,ATP6V1G1;SEC13;RHEB;TSC2;SLC38A9;ATP6V1E1;LPIN1
GO_Biological_Process_2021,Rheumatoid arthritis,5/93,0.0060397007797663,0.2868857870389031,0,0,4.597830153385709,23.49215710092273,ATP6V1G1;TGFB2;CSF1;CTSL;ATP6V1E1
GO_Biological_Process_2021,Amphetamine addiction,4/69,0.0106307453481942,0.4039683232313801,0,0,4.965195460277427,22.561872856786863,PPP1CC;HDAC2;CREB3L2;PRKACA
GO_Biological_Process_2021,Proteoglycans in cancer,7/205,0.0142533424377804,0.4455054468276267,0,0,2.868477304161952,12.19321960823602,VAV3;PPP1CC;TGFB2;CTSL;PDCD4;TWIST1;PRKACA
GO_Biological_Process_2021,Protein processing in endoplasmic reticulum,6/171,0.0200301224805881,0.4455054468276267,0,0,2.943200601051841,11.509438970600335,SEC13;SEC24A;SELENOS;OS9;HSPA4L;MARCHF6
GO_Biological_Process_2021,Human papillomavirus infection,9/331,0.0227995732341716,0.4455054468276267,0,0,2.272278385612932,8.59151516313369,ATP6V1G1;HDAC2;CSNK1A1;RHEB;CREB3L2;COL4A6;TSC2;ATP6V1E1;PRKACA
GO_Biological_Process_2021,Gap junction,4/88,0.0239331076392984,0.4455054468276267,0,0,3.838407494145199,14.3268272673392,GJA1;TUBA1A;CSNK1D;PRKACA
GO_Biological_Process_2021,Vibrio cholerae infection,3/50,0.0240708410298452,0.4455054468276267,0,0,5.133738601823708,19.13218131490227,ATP6V1G1;ATP6V1E1;PRKACA
GO_Biological_Process_2021,Autophagy,5/137,0.028137186115429,0.4455054468276267,0,0,3.058361391694725,10.920378559852155,RHEB;CTSL;TSC2;WIPI1;PRKACA
GO_Biological_Process_2021,Insulin signaling pathway,5/137,0.028137186115429,0.4455054468276267,0,0,3.058361391694725,10.920378559852155,PPP1CC;PTPN1;RHEB;TSC2;PRKACA
GO_Biological_Process_2021,Collecting duct acid secretion,2/27,0.0438628528459387,0.5627636623456402,0,0,6.415284552845528,20.05858998016962,ATP6V1G1;ATP6V1E1
GO_Biological_Process_2021,Cellular senescence,5/156,0.0451665227739878,0.5627636623456402,0,0,2.670945411931431,8.272983950192033,PPP1CC;TGFB2;RHEB;TSC2;ZFP36L2
GO_Biological_Process_2021,Long-term potentiation,3/67,0.0505571539994209,0.5627636623456402,0,0,3.766836734693877,11.242692350126193,RAP1B;PPP1CC;PRKACA
GO_Biological_Process_2021,Hippo signaling pathway,5/163,0.052706513761832,0.5627636623456402,0,0,2.5517007865812364,7.509696829724249,PPP1CC;TGFB2;WWC1;CSNK1D;NKD1
GO_Biological_Process_2021,cAMP signaling pathway,6/216,0.0528825841421582,0.5627636623456402,0,0,2.307201889020071,6.782438056030663,VAV3;RAP1B;PPP1CC;CREB3L2;PDE4B;PRKACA
GO_Biological_Process_2021,Renal cell carcinoma,3/69,0.0543236103884726,0.5627636623456402,0,0,3.6523191094619674,10.638461708118632,RAP1B;TGFB2;ELOB
GO_Biological_Process_2021,Circadian rhythm,2/31,0.056276366234564,0.5627636623456402,0,0,5.529296327446033,15.91044299493512,CRY1;CSNK1D
GO_Biological_Process_2021,Thyroid hormone signaling pathway,4/121,0.0639438348684632,0.6074664312504009,0,0,2.751155947877259,7.564991510891257,HDAC2;RHEB;TSC2;PRKACA
GO_Biological_Process_2021,Thermogenesis,6/232,0.069641038413008,0.6292067945724362,0,0,2.1421048782271632,5.707426921682601,NDUFB9;KDM1A;RHEB;CREB3L2;TSC2;PRKACA
GO_Biological_Process_2021,Synaptic vesicle cycle,3/78,0.0728555235820715,0.6292067945724362,0,0,3.2125714285714286,8.414614222120594,ATP6V1G1;SYT1;ATP6V1E1
GO_Biological_Process_2021,Amyotrophic lateral sclerosis,8/364,0.0845273743275017,0.6745354444168926,0,0,1.8161048689138577,4.487013687937666,NDUFB9;SEC13;TUBA1A;PSMB1;NUP88;NUP153;WIPI1;SOD1
GO_Biological_Process_2021,Huntington disease,7/306,0.0874964559318565,0.6745354444168926,0,0,1.8897153721256192,4.603643313055605,NDUFB9;HDAC2;TUBA1A;CREB3L2;PSMB1;WIPI1;SOD1
GO_Biological_Process_2021,Pathogenic Escherichia coli infection,5/197,0.0990553874916857,0.6745354444168926,0,0,2.09619341563786,4.846558730140583,TUBA1A;SEC24A;WIPF1;CYTH1;WASF3
GO_Biological_Process_2021,Vasopressin-regulated water reabsorption,2/44,0.1032647133299988,0.6745354444168926,0,0,3.8153310104529616,8.662554749345768,CREB3L2;PRKACA
GO_Biological_Process_2021,Morphine addiction,3/91,0.1038265739625479,0.6745354444168926,0,0,2.736178107606679,6.197534610041286,PDE4B;PDE7B;PRKACA
GO_Biological_Process_2021,Cell adhesion molecules,4/148,0.1125106411293695,0.6745354444168926,0,0,2.23224043715847,4.8767923668121655,CADM1;NRXN3;NRCAM;MPZL1
GO_Biological_Process_2021,Phospholipase D signaling pathway,4/148,0.1125106411293695,0.6745354444168926,0,0,2.23224043715847,4.8767923668121655,RHEB;TSC2;CYTH1;AGPAT4
GO_Biological_Process_2021,Adrenergic signaling in cardiomyocytes,4/150,0.1166206433749853,0.6745354444168926,0,0,2.201437233325848,4.730512116594886,PPP1CC;CREB3L2;CREM;PRKACA
GO_Biological_Process_2021,Phagosome,4/152,0.1207955529070214,0.6745354444168926,0,0,2.171466548515729,4.589732881806325,ATP6V1G1;TUBA1A;CTSL;ATP6V1E1
GO_Biological_Process_2021,Choline metabolism in cancer,3/98,0.1223162795557279,0.6745354444168926,0,0,2.5336627282491944,5.323593111365672,RHEB;TSC2;WASF3
GO_Biological_Process_2021,Glycerophospholipid metabolism,3/98,0.1223162795557279,0.6745354444168926,0,0,2.5336627282491944,5.323593111365672,GNPAT;LPIN1;AGPAT4
GO_Biological_Process_2021,Cocaine addiction,2/49,0.1234253638731651,0.6745354444168926,0,0,3.408579830479156,7.131153422144283,CREB3L2;PRKACA
GO_Biological_Process_2021,Prion disease,6/273,0.1249199285480864,0.6745354444168926,0,0,1.8093602005757263,3.763618161103477,NDUFB9;TUBA1A;CREB3L2;PSMB1;PRKACA;SOD1
GO_Biological_Process_2021,AGE-RAGE signaling pathway in diabetic complications,3/100,0.1278067157842533,0.6745354444168926,0,0,2.4811697875026297,5.104352278516203,TGFB2;COL4A6;F3
GO_Biological_Process_2021,Amoebiasis,3/102,0.1333836460448836,0.6849430472575108,0,0,2.4307977736549167,4.896904699277051,TGFB2;COL4A6;PRKACA
GO_Biological_Process_2021,"Parathyroid hormone synthesis, secretion and action",3/106,0.1447842535750748,0.7239212678753741,0,0,2.3359223300970875,4.514194549164393,CREB3L2;PDE4B;PRKACA
GO_Biological_Process_2021,Insulin resistance,3/108,0.1506015584096407,0.7336998999444037,0,0,2.291195335276968,4.337502250140704,PPP1CC;PTPN1;CREB3L2
GO_Biological_Process_2021,Glycerolipid metabolism,2/61,0.1749405761761237,0.775538748432951,0,0,2.713655780625603,4.730740348341082,LPIN1;AGPAT4
GO_Biological_Process_2021,AMPK signaling pathway,3/120,0.1869438659604783,0.775538748432951,0,0,2.0549450549450547,3.4460337174096147,RHEB;CREB3L2;TSC2
GO_Biological_Process_2021,Cortisol synthesis and secretion,2/65,0.1928007989827288,0.775538748432951,0,0,2.54084397986837,4.182477565255648,CREB3L2;PRKACA
GO_Biological_Process_2021,Salmonella infection,5/249,0.1976667904521585,0.775538748432951,0,0,1.6450785940767725,2.666956246838845,TUBA1A;CSE1L;RHOJ;WASF3;CYTH1
GO_Biological_Process_2021,Platelet activation,3/124,0.1995310429939864,0.775538748432951,0,0,1.9866081969978076,3.20198618831615,RAP1B;PPP1CC;PRKACA
GO_Biological_Process_2021,Alcoholism,4/186,0.2003901131097984,0.775538748432951,0,0,1.7627454512700411,2.8335943577056666,PPP1CC;HDAC2;CREB3L2;PRKACA
GO_Biological_Process_2021,RNA transport,4/186,0.2003901131097984,0.775538748432951,0,0,1.7627454512700411,2.8335943577056666,SEC13;STRAP;NUP88;NUP153
GO_Biological_Process_2021,Endocytosis,5/252,0.2041746090442394,0.775538748432951,0,0,1.6248479698772096,2.581525510011995,WIPF1;SMAP1;EPN1;CYTH1;SNX6
GO_Biological_Process_2021,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.2154314292172794,0.775538748432951,0,0,2.3534194165471067,3.6127638322800473,ATP6V1G1;ATP6V1E1
GO_Biological_Process_2021,Oocyte meiosis,3/129,0.2155376168630739,0.775538748432951,0,0,1.9072886297376093,2.926962949796096,PPP1CC;SPDYE3;PRKACA
GO_Biological_Process_2021,Relaxin signaling pathway,3/129,0.2155376168630739,0.775538748432951,0,0,1.9072886297376093,2.926962949796096,CREB3L2;COL4A6;PRKACA
GO_Biological_Process_2021,Adherens junction,2/71,0.2199882631164538,0.775538748432951,0,0,2.3191940615058324,3.511679776952338,PTPN1;WASF3
GO_Biological_Process_2021,FoxO signaling pathway,3/131,0.2220155679135725,0.775538748432951,0,0,1.877295918367347,2.825344950925451,TGFB2;HOMER2;KLF2
GO_Biological_Process_2021,Dopaminergic synapse,3/132,0.2252692330646427,0.775538748432951,0,0,1.8626483151400093,2.7762009464841912,PPP1CC;CREB3L2;PRKACA
GO_Biological_Process_2021,Oxidative phosphorylation,3/133,0.2285322151476056,0.775538748432951,0,0,1.8482260596546312,2.7281259980423243,NDUFB9;ATP6V1G1;ATP6V1E1
GO_Biological_Process_2021,Pantothenate and CoA biosynthesis,1/21,0.2306115424961228,0.775538748432951,0,0,3.994331983805668,5.859767376219536,PANK2
GO_Biological_Process_2021,Thyroid hormone synthesis,2/75,0.2382871981006776,0.775538748432951,0,0,2.191669450941085,3.143464631421043,CREB3L2;PRKACA
GO_Biological_Process_2021,Focal adhesion,4/201,0.239551964823574,0.775538748432951,0,0,1.627278022801032,2.32535574472232,VAV3;RAP1B;PPP1CC;COL4A6
GO_Biological_Process_2021,Histidine metabolism,1/22,0.2401619734909809,0.775538748432951,0,0,3.803932909196067,5.426088501828651,ASPA
GO_Biological_Process_2021,Chronic myeloid leukemia,2/76,0.2428755069890877,0.775538748432951,0,0,2.161942430235113,3.0595945125648902,HDAC2;TGFB2
GO_Biological_Process_2021,Viral carcinogenesis,4/203,0.2449069731893529,0.775538748432951,0,0,1.610758711590741,2.2661391290809454,HDAC2;DDX3X;CREB3L2;PRKACA
GO_Biological_Process_2021,Ubiquitin mediated proteolysis,3/140,0.2516045794785809,0.7836863950972193,0,0,1.753165499776553,2.419187029798372,ELOB;MID1;PIAS2
GO_Biological_Process_2021,Vitamin digestion and absorption,1/24,0.2589100565616392,0.7934340443017974,0,0,3.4728040837880654,4.692711774024783,BTD
GO_Biological_Process_2021,Peroxisome,2/82,0.2704573604606072,0.8105691911238548,0,0,1.9991869918699188,2.61421852823604,GNPAT;SOD1
GO_Biological_Process_2021,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1/26,0.2771973722675881,0.8105691911238548,0,0,3.1946558704453443,4.098824917602273,PIGL
GO_Biological_Process_2021,Gastric cancer,3/149,0.2817267386808171,0.8105691911238548,0,0,1.64433883142298,2.083077519358604,TGFB2;CSNK1A1;RARB
GO_Biological_Process_2021,Regulation of actin cytoskeleton,4/218,0.2858205809714036,0.8105691911238548,0,0,1.4967059905009958,1.874461118559507,VAV3;PPP1CC;TMSB4X;SSH1
