Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Vascular smooth muscle contraction	5/133	2.728335e-04	3.519552e-02	0	0	9.541860e+00	7.830669e+01	PPP1CB;ACTA2;ADCY9;MYH11;PRKG1
GO_Biological_Process_2021	cGMP-PKG signaling pathway	5/167	7.718163e-04	4.978215e-02	0	0	7.526292e+00	5.393916e+01	PPP1CB;ADCY9;ATP2B4;MEF2D;PRKG1
GO_Biological_Process_2021	Adrenergic signaling in cardiomyocytes	4/150	4.009595e-03	1.724126e-01	0	0	6.604744e+00	3.645201e+01	PPP1CB;ADCY9;CACNA2D3;ATP2B4
GO_Biological_Process_2021	Salivary secretion	3/93	7.540586e-03	2.431839e-01	0	0	7.961446e+00	3.891121e+01	ADCY9;ATP2B4;PRKG1
GO_Biological_Process_2021	Glycosphingolipid biosynthesis	2/45	1.605062e-02	3.356892e-01	0	0	1.100277e+01	4.546353e+01	GLB1;ST3GAL2
GO_Biological_Process_2021	Platelet activation	3/124	1.639044e-02	3.356892e-01	0	0	5.912476e+00	2.430653e+01	PPP1CB;ADCY9;PRKG1
GO_Biological_Process_2021	Apelin signaling pathway	3/137	2.129598e-02	3.356892e-01	0	0	5.335371e+00	2.053711e+01	ACTA2;ADCY9;MEF2D
GO_Biological_Process_2021	Endocrine and other factor-regulated calcium reabsorption	2/53	2.185286e-02	3.356892e-01	0	0	9.273109e+00	3.545502e+01	ADCY9;ATP2B4
GO_Biological_Process_2021	Regulation of lipolysis in adipocytes	2/55	2.342018e-02	3.356892e-01	0	0	8.922282e+00	3.349565e+01	ADCY9;PRKG1
GO_Biological_Process_2021	Oxytocin signaling pathway	3/154	2.879619e-02	3.714709e-01	0	0	4.730631e+00	1.678197e+01	PPP1CB;ADCY9;CACNA2D3
GO_Biological_Process_2021	Arrhythmogenic right ventricular cardiomyopathy	2/77	4.344041e-02	3.902136e-01	0	0	6.298095e+00	1.975313e+01	CACNA2D3;CTNNA3
GO_Biological_Process_2021	Bacterial invasion of epithelial cells	2/77	4.344041e-02	3.902136e-01	0	0	6.298095e+00	1.975313e+01	CAV2;CTNNA3
