Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	38/90	6.375869e-26	1.937627e-22	0	0	1.431537e+01	8.305017e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	38/93	2.727792e-25	4.144880e-22	0	0	1.353239e+01	7.654072e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;TMA7;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	38/94	4.362620e-25	4.419335e-22	0	0	1.329004e+01	7.454587e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	40/113	9.419316e-24	7.156325e-21	0	0	1.074427e+01	5.696534e+02	RPL30;RPL3;RPL32;RBM8A;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;PNRC2;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	38/103	2.216248e-23	1.347035e-20	0	0	1.144444e+01	5.969834e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	44/171	9.584606e-20	4.854603e-17	0	0	6.802232e+00	2.978802e+02	RPL30;DDX5;RPL3;RPL32;RBM8A;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;POLR2G;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;PATL1;PNRC2;RPS25;RPS28;RPS27;RPL27A;DXO;RPL29;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	40/162	2.195653e-17	9.532272e-15	0	0	6.412299e+00	2.459596e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	43/214	4.383170e-15	1.665057e-12	0	0	4.920499e+00	1.626767e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;FARS2;RPS15;RPS14;RPS16;NARS1;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;TMA7;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	36/162	2.981135e-14	1.006630e-11	0	0	5.563615e+00	1.732726e+02	RPL30;RPL3;DDX27;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;DHX37;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPL19;RPS9;NOP58;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;LAS1L;RPL27A;RPL29;RPS24
GO_Biological_Process_2021	rRNA processing (GO:0006364)	37/173	4.694978e-14	1.426804e-11	0	0	5.300369e+00	1.626667e+02	RPL30;RPL3;DDX27;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;TFB1M;RPS15;RPS14;RPS16;DHX37;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPL19;RPS9;NOP58;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;LAS1L;RPL27A;RPL29;RPS24
GO_Biological_Process_2021	gene expression (GO:0010467)	53/356	1.170591e-12	3.124744e-10	0	0	3.434409e+00	9.435529e+01	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;RPS15;RBM3;RPS14;RPS16;RPS18;RPLP2;RPL38;RPL37;RPS11;AGFG1;RPS12;RPS9;RPS8;RPL23;RPL13A;MRPS7;CDC40;MRPS18C;HNRNPH1;RBMS1;SRSF5;RPL29;SRSF7;RBMS2;RPL10;RBM8A;RPL12;RPL11;RPL14;RPL13;POLR2G;RPL15;RPS2;RPS27A;POLR2I;RPL19;NUP155;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;HNRNPA2B1;RPS24;RPS23
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	38/201	1.271650e-12	3.124744e-10	0	0	4.540106e+00	1.243567e+02	RPL30;RPL3;DDX27;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;FARS2;RPS15;RPS14;RPS16;DHX37;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPL19;RPS9;NOP58;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;LAS1L;RPL27A;HNRNPA2B1;RPL29;RPS24
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	37/192	1.374591e-12	3.124744e-10	0	0	4.645961e+00	1.268945e+02	RPL30;RPL3;DDX27;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;DHX37;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPL19;RPS9;NOP58;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;LAS1L;RPL27A;RPL29;RBIS;RPS24
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	49/314	1.439500e-12	3.124744e-10	0	0	3.622681e+00	9.877865e+01	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;RPS15;RPS14;RPS16;RPS18;TOP1MT;RPLP2;RPL38;RPL37;RPS11;LARGE1;RPS12;RPS9;RMI1;RPS8;RPL23;RPL13A;MRPS7;MRPS18C;RBMS1;RPL29;RPL10;RPL12;RPL11;RPL14;RPL13;POLR2G;RPL15;RPS2;RPS27A;POLR2I;RPL19;BARD1;RPA1;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS24;ATR;RPS23
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	52/417	1.432274e-09	2.901787e-07	0	0	2.785034e+00	5.671443e+01	CHRM3;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;TNC;RPL10A;ZDHHC2;RPS15;DUSP12;RPS14;RPS16;RPS18;RPLP2;RPL38;RPL37;RPS11;RPS12;RPS9;RPS8;RPL23;RPL13A;ADAM10;MRPS7;MRPS18C;PAPPA;SCG3;RPL29;SCG2;RPL10;RPL12;RPL11;DENND3;RPL14;ABL1;RPL13;RPL15;RPS2;RPS27A;RPL19;ICMT;RPL35A;RPL23A;CP;RPS25;RPS28;RPS27;RPL27A;RPS24;RPS23
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	5/8	1.564356e-05	2.971298e-03	0	0	3.165333e+01	3.502584e+02	HLA-B;HLA-C;HLA-A;HLA-F;B2M
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	18/136	1.603430e-04	2.714682e-02	0	0	2.917469e+00	2.549342e+01	RPL3;RPL10;RPL11;RPL23A;MRPS7;NOL3;CRNKL1;RPS15;RPS14;RPS28;PRPF6;RPS27;PRPF18;LUC7L3;RPL38;SRSF5;GEMIN8;SRSF10
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	10/50	1.607907e-04	2.714682e-02	0	0	4.762563e+00	4.160293e+01	RPS15;RPS14;RPS28;RPL3;RPS27;RPL10;RPL11;DHX37;RPL23A;MRPS7
GO_Biological_Process_2021	ribonucleoprotein complex biogenesis (GO:0022613)	11/60	1.737078e-04	2.778410e-02	0	0	4.278857e+00	3.704692e+01	RPS15;RPS25;RPS28;RPS16;RPL11;DHX37;RPL14;RPL35A;RPL38;RBIS;RPS24
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	4/7	1.963234e-04	2.841081e-02	0	0	2.529737e+01	2.159319e+02	HLA-B;HLA-C;HLA-A;HLA-F
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	4/7	1.963234e-04	2.841081e-02	0	0	2.529737e+01	2.159319e+02	HLA-B;HLA-C;HLA-A;HLA-F
GO_Biological_Process_2021	regulation of synapse assembly (GO:0051963)	9/47	4.780122e-04	6.603087e-02	0	0	4.507847e+00	3.446643e+01	NLGN1;GRID2;MEF2C;LRFN4;NRXN1;IL1RAPL2;IL1RAPL1;SYNDIG1;PDLIM5
GO_Biological_Process_2021	positive regulation of signal transduction by p53 class mediator (GO:1901798)	6/22	5.908207e-04	7.806539e-02	0	0	7.124249e+00	5.296165e+01	RPS15;SPRED2;DDX5;RPL23;RPL37;ATR
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	8/40	7.230836e-04	9.156046e-02	0	0	4.755015e+00	3.438820e+01	RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;MRPS7;RPS24
GO_Biological_Process_2021	neuron cell-cell adhesion (GO:0007158)	5/16	8.704674e-04	1.058140e-01	0	0	8.629091e+00	6.080472e+01	NLGN1;NLGN4X;NRXN1;NCAM2;ASTN1
GO_Biological_Process_2021	regulation of skeletal muscle tissue development (GO:0048641)	3/5	1.172029e-03	1.330947e-01	0	0	2.843263e+01	1.918924e+02	MEF2C;TGFB1;FLOT1
GO_Biological_Process_2021	ribosomal small subunit assembly (GO:0000028)	5/17	1.182480e-03	1.330947e-01	0	0	7.909583e+00	5.331171e+01	RPS15;RPS14;RPS28;RPS27;MRPS7
GO_Biological_Process_2021	RNA splicing (GO:0008380)	13/98	1.229360e-03	1.334295e-01	0	0	2.915441e+00	1.953713e+01	MBNL1;SNRPN;SF3B3;RBM8A;PDCD7;NOL3;PRPF8;PRPF6;PRPF18;LUC7L3;SNRPA1;SRSF7;SRSF10
GO_Biological_Process_2021	RNA processing (GO:0006396)	19/179	1.715812e-03	1.798052e-01	0	0	2.268414e+00	1.444496e+01	MBNL1;SNRPN;SF3B3;RBM8A;PDCD7;LSM5;NOL3;PRPF8;RBM3;PRPF6;PRPF18;HNRNPH1;HNRNPA2B1;LUC7L3;RBMS1;SNRPA1;SRSF5;SRSF7;RBMS2
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	12/90	1.786695e-03	1.809922e-01	0	0	2.930823e+00	1.854446e+01	IMMP2L;SURF1;NDUFA12;NDUFB11;NDUFS5;COX18;NDUFB2;NDUFA1;NDUFC1;TMEM126B;TTC19;FOXRED1
GO_Biological_Process_2021	membrane organization (GO:0061024)	23/242	2.599519e-03	2.548367e-01	0	0	2.008054e+00	1.195280e+01	NAPA;HIP1;NUP155;SH3KBP1;SGIP1;COX18;MX1;M6PR;AP2A1;FNBP1L;ATP2C1;SGCZ;EPN1;RIMS1;SYNJ1;VAPB;TRIP10;REPS2;RPS27A;EMD;SPTBN1;SH3GL2;AGFG1
GO_Biological_Process_2021	synaptic vesicle localization (GO:0097479)	4/13	3.145961e-03	2.897144e-01	0	0	8.429792e+00	4.856940e+01	NLGN1;SYNJ1;SYNDIG1;RAB27A
GO_Biological_Process_2021	negative regulation of macromolecule biosynthetic process (GO:0010558)	4/13	3.145961e-03	2.897144e-01	0	0	8.429792e+00	4.856940e+01	TGFB1;SELENOS;TAF7;AP2A1
GO_Biological_Process_2021	cellular response to estradiol stimulus (GO:0071392)	5/21	3.289519e-03	2.940249e-01	0	0	5.930937e+00	3.390725e+01	H2AZ1;SFRP1;NRIP1;LCOR;ESR1
GO_Biological_Process_2021	cytochrome complex assembly (GO:0017004)	3/7	3.801515e-03	3.209112e-01	0	0	1.421482e+01	7.921004e+01	SURF1;COX18;COA6
GO_Biological_Process_2021	xenobiotic catabolic process (GO:0042178)	3/7	3.801515e-03	3.209112e-01	0	0	1.421482e+01	7.921004e+01	GSTM4;GSTM2;GSTO1
GO_Biological_Process_2021	glutathione derivative biosynthetic process (GO:1901687)	5/22	4.083256e-03	3.265531e-01	0	0	5.581765e+00	3.070451e+01	GSTM4;GSTK1;GSTM2;GSTO1;AKR1A1
GO_Biological_Process_2021	glutathione derivative metabolic process (GO:1901685)	5/22	4.083256e-03	3.265531e-01	0	0	5.581765e+00	3.070451e+01	GSTM4;GSTK1;GSTM2;GSTO1;AKR1A1
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	16/156	5.343878e-03	4.158630e-01	0	0	2.178824e+00	1.139918e+01	BARD1;RMI1;RPL23;RPL11;TAF11;RPA1;CHD3;RPS15;MAPK11;TAF7;RICTOR;RPL37;SGK1;TAF3;BANP;ATR
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	6/33	5.473682e-03	4.158630e-01	0	0	4.219330e+00	2.197345e+01	HLA-B;HLA-C;HLA-A;HLA-F;SEC24D;B2M
GO_Biological_Process_2021	negative regulation of nitrogen compound metabolic process (GO:0051172)	3/8	5.856229e-03	4.340751e-01	0	0	1.137126e+01	5.845110e+01	TGFB1;AP2A1;ACMSD
GO_Biological_Process_2021	positive regulation of nervous system development (GO:0051962)	7/45	6.755562e-03	4.477966e-01	0	0	3.499077e+00	1.748625e+01	NLGN1;GRID2;NRXN1;IL1RAPL1;SYNDIG1;SOX11;OPRM1
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	9/68	6.761439e-03	4.477966e-01	0	0	2.900143e+00	1.449062e+01	TRIM5;IFNGR2;HLA-B;TRIM25;HLA-C;HLA-A;HLA-F;B2M;CD44
GO_Biological_Process_2021	regulation of neurotransmitter transport (GO:0051588)	4/16	7.099538e-03	4.477966e-01	0	0	6.321345e+00	3.127628e+01	RIMS1;MEF2C;MCTP1;FLOT1
GO_Biological_Process_2021	neural tube development (GO:0021915)	4/16	7.099538e-03	4.477966e-01	0	0	6.321345e+00	3.127628e+01	TGFB1;DVL1;SOX11;ZNF358
GO_Biological_Process_2021	negative regulation of response to endoplasmic reticulum stress (GO:1903573)	5/25	7.272581e-03	4.477966e-01	0	0	4.743750e+00	2.335654e+01	CREB3;SELENOS;ALOX5;CREB3L1;CLU
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	8/57	7.332559e-03	4.477966e-01	0	0	3.102532e+00	1.525028e+01	RPL3;RPL10;LAS1L;RPL11;RPL14;RPL35A;RPL23A;RPL10A
GO_Biological_Process_2021	positive regulation of cell junction assembly (GO:1901890)	8/57	7.332559e-03	4.477966e-01	0	0	3.102532e+00	1.525028e+01	GRID2;SFRP1;NLGN1;NRXN1;IL1RAPL1;FLOT1;ABL1;SYNDIG1
GO_Biological_Process_2021	regulation of protein polymerization (GO:0032271)	6/35	7.367499e-03	4.477966e-01	0	0	3.927928e+00	1.928879e+01	FCHSD2;HAX1;MAP2;ABL1;CAMSAP2;PFN2
GO_Biological_Process_2021	regulation of trans-synaptic signaling (GO:0099177)	6/35	7.367499e-03	4.477966e-01	0	0	3.927928e+00	1.928879e+01	NLGN1;GRID2;NLGN4X;NRG3;GRIK2;LRRC4C
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	8/58	8.140824e-03	4.681952e-01	0	0	3.040321e+00	1.462657e+01	NDUFA12;NDUFB11;NDUFS5;NDUFB2;NDUFA1;NDUFC1;TMEM126B;FOXRED1
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	8/58	8.140824e-03	4.681952e-01	0	0	3.040321e+00	1.462657e+01	NDUFA12;NDUFB11;NDUFS5;NDUFB2;NDUFA1;NDUFC1;TMEM126B;FOXRED1
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	22/251	8.192593e-03	4.681952e-01	0	0	1.834026e+00	8.811622e+00	DDX5;SF3B3;SNRPN;RBM8A;PDCD7;PPWD1;LSM5;CRNKL1;PRPF8;CDC40;PNN;PRPF6;HNRNPH1;NOVA2;HNRNPA2B1;SNRNP27;SNRPA1;POLR2G;SRSF5;POLR2I;SRSF10;SRSF7
GO_Biological_Process_2021	postsynaptic membrane assembly (GO:0097104)	3/9	8.458542e-03	4.681952e-01	0	0	9.475549e+00	4.522280e+01	NLGN1;NLGN4X;NRXN1
GO_Biological_Process_2021	membrane assembly (GO:0071709)	6/36	8.473425e-03	4.681952e-01	0	0	3.796797e+00	1.811384e+01	NLGN1;NLGN4X;NRXN1;IL1RAPL1;FLOT1;SPTBN1
GO_Biological_Process_2021	regulation of synapse organization (GO:0050807)	5/26	8.638709e-03	4.688042e-01	0	0	4.517619e+00	2.146548e+01	MEF2C;IL1RAPL1;ABL1;ABHD17C;PDLIM5
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	9/71	8.945500e-03	4.769364e-01	0	0	2.759376e+00	1.301489e+01	NDUFA12;NDUFB11;UQCRQ;COX4I1;NDUFS5;NDUFB2;NDUFA1;NDUFC1;COA6
GO_Biological_Process_2021	regulation of cardiac muscle cell contraction (GO:0086004)	5/27	1.017239e-02	4.920584e-01	0	0	4.312045e+00	1.978400e+01	PDE4D;PDE4B;PKP2;RANGRF;CACNA1C
GO_Biological_Process_2021	stress-activated protein kinase signaling cascade (GO:0031098)	5/27	1.017239e-02	4.920584e-01	0	0	4.312045e+00	1.978400e+01	MAPK11;MAPK1;BTRC;RPS27A;MAP3K5
GO_Biological_Process_2021	modulation of excitatory postsynaptic potential (GO:0098815)	5/27	1.017239e-02	4.920584e-01	0	0	4.312045e+00	1.978400e+01	TMEM25;RIMS1;NLGN1;NLGN4X;NRXN1
GO_Biological_Process_2021	DNA-templated transcription, initiation (GO:0006352)	16/168	1.065393e-02	4.920584e-01	0	0	2.005535e+00	9.108790e+00	RRN3;ESRRB;TAF11;SMARCA5;TFB1M;ESR1;HDAC9;KAT2B;TBL1XR1;TAF1A;TFAM;TAF7;POLR2G;POLR3H;POLR2I;TAF3
GO_Biological_Process_2021	positive regulation of synaptic transmission (GO:0050806)	9/73	1.067329e-02	4.920584e-01	0	0	2.672863e+00	1.213483e+01	RIMS1;NLGN1;NRXN1;FLOT1;GRIK2;ADRA1A;ZDHHC2;SHANK2;BAIAP3
GO_Biological_Process_2021	nervous system development (GO:0007399)	34/447	1.092214e-02	4.920584e-01	0	0	1.575441e+00	7.116208e+00	CHRM3;NLGN1;NRXN1;CHD7;ADAM22;LDB2;DPYSL5;ERBB4;PDGFC;ADAM23;DVL1;DPF1;ZIC1;ECT2;SH3GL2;MBNL1;MEF2C;TRPC5;EIF2B2;TGFB1;RYK;GSS;SCD5;POU6F2;LSAMP;ZIC4;NAV3;IL1RAPL2;DCX;ZNF358;DSCAML1;ITM2B;SHANK2;ADGRL3
GO_Biological_Process_2021	presynapse assembly (GO:0099054)	4/18	1.102021e-02	4.920584e-01	0	0	5.417725e+00	2.442324e+01	NLGN1;NLGN4X;DVL1;IL1RAPL1
GO_Biological_Process_2021	response to estradiol (GO:0032355)	6/38	1.103353e-02	4.920584e-01	0	0	3.559122e+00	1.604031e+01	H2AZ1;SFRP1;TGFB1;NRIP1;LCOR;ESR1
GO_Biological_Process_2021	negative regulation of proteasomal protein catabolic process (GO:1901799)	6/38	1.103353e-02	4.920584e-01	0	0	3.559122e+00	1.604031e+01	GABARAPL2;RYBP;DDRGK1;RPL11;EIF3H;FHIT
GO_Biological_Process_2021	negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	6/38	1.103353e-02	4.920584e-01	0	0	3.559122e+00	1.604031e+01	RYBP;DDRGK1;RPL23;RPL11;EIF3H;FHIT
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	23/274	1.141102e-02	4.920584e-01	0	0	1.749061e+00	7.823856e+00	DDX5;SF3B3;SNRPN;RBM8A;PDCD7;PPWD1;LSM5;CRNKL1;PRPF8;CDC40;PNN;PRPF6;HNRNPH1;NOVA2;HNRNPA2B1;SNRNP27;SNRPA1;POLR2G;SRSF5;GEMIN8;POLR2I;SRSF10;SRSF7
GO_Biological_Process_2021	positive regulation of behavior (GO:0048520)	3/10	1.163668e-02	4.920584e-01	0	0	8.121471e+00	3.616973e+01	MEF2C;NLGN1;SGIP1
GO_Biological_Process_2021	presynaptic membrane assembly (GO:0097105)	3/10	1.163668e-02	4.920584e-01	0	0	8.121471e+00	3.616973e+01	NLGN1;NLGN4X;IL1RAPL1
GO_Biological_Process_2021	receptor clustering (GO:0043113)	5/28	1.188267e-02	4.920584e-01	0	0	4.124348e+00	1.828189e+01	NLGN1;ITGA4;NRXN1;DVL1;MAGI2
GO_Biological_Process_2021	regulation of postsynapse organization (GO:0099175)	5/28	1.188267e-02	4.920584e-01	0	0	4.124348e+00	1.828189e+01	HOMER1;IL1RAPL1;ABHD17C;PDLIM5;TANC2
GO_Biological_Process_2021	positive regulation of synapse assembly (GO:0051965)	5/28	1.188267e-02	4.920584e-01	0	0	4.124348e+00	1.828189e+01	NLGN1;GRID2;NRXN1;IL1RAPL1;SYNDIG1
GO_Biological_Process_2021	neuron migration (GO:0001764)	7/50	1.198168e-02	4.920584e-01	0	0	3.091392e+00	1.367748e+01	MEF2C;TUBB2A;TUBGCP2;DCX;SH3RF1;ASTN1;ADGRL3
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	6/39	1.249942e-02	5.064766e-01	0	0	3.451087e+00	1.512292e+01	NDUFA12;NDUFB11;NDUFS5;NDUFB2;NDUFA1;NDUFC1
GO_Biological_Process_2021	cellular response to reactive oxygen species (GO:0034614)	8/63	1.321736e-02	5.285205e-01	0	0	2.763199e+00	1.195422e+01	JUN;PPIF;ABL1;MAPK1;ROMO1;ECT2;HDAC6;MAP3K5
GO_Biological_Process_2021	negative regulation of sprouting angiogenesis (GO:1903671)	3/11	1.541022e-02	5.923023e-01	0	0	7.105913e+00	2.965102e+01	ALOX5;CREB3L1;EPN1
GO_Biological_Process_2021	postsynapse assembly (GO:0099068)	3/11	1.541022e-02	5.923023e-01	0	0	7.105913e+00	2.965102e+01	NLGN1;NLGN4X;NRXN1
GO_Biological_Process_2021	presynaptic membrane organization (GO:0097090)	3/11	1.541022e-02	5.923023e-01	0	0	7.105913e+00	2.965102e+01	NLGN1;NLGN4X;IL1RAPL1
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	8/65	1.578693e-02	5.923023e-01	0	0	2.665963e+00	1.105994e+01	MX1;HLA-B;IFI6;HLA-C;HLA-A;IFIT1;HLA-F;IFIT3
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	8/65	1.578693e-02	5.923023e-01	0	0	2.665963e+00	1.105994e+01	MX1;HLA-B;IFI6;HLA-C;HLA-A;IFIT1;HLA-F;IFIT3
GO_Biological_Process_2021	negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	5/31	1.815589e-02	6.728751e-01	0	0	3.647885e+00	1.462349e+01	RYBP;DDRGK1;RPL11;EIF3H;FHIT
