Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Ribosome	41/158	1.238358e-18	3.368333e-16	0	0	6.862414e+00	2.829562e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
MSigDB_Hallmark_2020	Coronavirus disease	44/232	1.876783e-14	2.552425e-12	0	0	4.580269e+00	1.447669e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;F13A1;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;MAPK1;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;JUN;RPS9;RPS8;RPL23;MX1;RPL13A;RPL35A;RPL23A;RPS25;MAPK11;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
MSigDB_Hallmark_2020	Prion disease	24/273	5.723420e-03	4.372516e-01	0	0	1.841838e+00	9.509759e+00	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;ITPR2;COX7A2;NDUFC1;CACNA1C;TUBB4B;ATP5F1E;SEM1;CREB3;MAPK11;TUBB2A;UQCRQ;CREB3L1;NDUFS5;PPIF;VDAC2;MAPK1;NCAM2;TUBA8;SLC25A6
MSigDB_Hallmark_2020	Huntington disease	26/306	6.430170e-03	4.372516e-01	0	0	1.775098e+00	8.958486e+00	HIP1;NDUFA12;NDUFB11;COX4I1;NDUFB2;AP2A1;COX7A2;CREB3L1;POLR2G;POLR2I;MAP3K5;DNAH17;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;SEM1;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;TFAM;VDAC2;TUBA8;SLC25A6
MSigDB_Hallmark_2020	Parathyroid hormone synthesis, secretion and action	11/106	1.750041e-02	7.047515e-01	0	0	2.201631e+00	8.906766e+00	CREB3;MEF2C;MMP24;MMP16;NACA;CREB3L1;PDE4D;PDE4B;ITPR2;MAPK1;PLD1
MSigDB_Hallmark_2020	Fanconi anemia pathway	7/54	1.788790e-02	7.047515e-01	0	0	2.827698e+00	1.137761e+01	FANCI;RMI1;RPA1;FANCC;FANCB;FAN1;ATR
MSigDB_Hallmark_2020	Spliceosome	14/150	1.900819e-02	7.047515e-01	0	0	1.958999e+00	7.763287e+00	DDX5;SF3B3;RBM8A;LSM5;CRNKL1;PRPF8;CDC40;PRPF6;PRPF18;SNRNP27;SNRPA1;SRSF5;SRSF7;SRSF10
MSigDB_Hallmark_2020	Non-alcoholic fatty liver disease	14/155	2.446821e-02	7.047515e-01	0	0	1.889030e+00	7.009019e+00	JUN;TGFB1;IRS1;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;MAPK11;UQCRQ;NDUFS5;MAP3K5
MSigDB_Hallmark_2020	Thermogenesis	19/232	2.527574e-02	7.047515e-01	0	0	1.699178e+00	6.249425e+00	NDUFA12;NDUFB11;COX18;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;ARID1A;ATP5F1E;CREB3;MAPK11;UQCRQ;CREB3L1;NDUFS5;DPF1;ZNF516;COA6;MAP3K5
MSigDB_Hallmark_2020	Parkinson disease	20/249	2.656824e-02	7.047515e-01	0	0	1.663911e+00	6.036732e+00	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;ITPR2;COX7A2;NDUFC1;TUBB4B;ATP5F1E;SEM1;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;RPS27A;MAP3K5;TUBA8;SLC25A6
