Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),38/90,6.375869190916147e-26,1.9376266471194172e-22,0,0,14.315368705751332,830.5017062221136,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),38/93,2.727792221862662e-25,4.144880281120315e-22,0,0,13.532386951208048,765.4071618739994,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;TMA7;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),38/94,4.3626204450543215e-25,4.419334510840028e-22,0,0,13.290035455754174,745.4587471234253,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",40/113,9.419315538250253e-24,7.156324980185631e-21,0,0,10.744268578323515,569.6533820691569,RPL30;RPL3;RPL32;RBM8A;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;PNRC2;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),38/103,2.2162476206654112e-23,1.3470353038404368e-20,0,0,11.444435605759288,596.9834376427112,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),44/171,9.584605876050724e-20,4.854602876219692e-17,0,0,6.802231927044499,297.8802360312615,RPL30;DDX5;RPL3;RPL32;RBM8A;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;POLR2G;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;PATL1;PNRC2;RPS25;RPS28;RPS27;RPL27A;DXO;RPL29;RPS24;RPS23
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),40/162,2.195653307729701e-17,9.532272003129371e-15,0,0,6.412299328973074,245.95955954711195,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,translation (GO:0006412),43/214,4.383169973022431e-15,1.665056693501896e-12,0,0,4.920499446815236,162.67665284852788,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;FARS2;RPS15;RPS14;RPS16;NARS1;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;TMA7;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;RPL29;RPS24;RPS23
GO_Biological_Process_2021,rRNA metabolic process (GO:0016072),36/162,2.981135203479143e-14,1.0066299870414574e-11,0,0,5.563614919652071,173.2725951100872,RPL30;RPL3;DDX27;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;DHX37;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPL19;RPS9;NOP58;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;LAS1L;RPL27A;RPL29;RPS24
GO_Biological_Process_2021,rRNA processing (GO:0006364),37/173,4.694977795221e-14,1.4268037519676618e-11,0,0,5.300369166261546,162.66672857026458,RPL30;RPL3;DDX27;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;TFB1M;RPS15;RPS14;RPS16;DHX37;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPL19;RPS9;NOP58;RPL23;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;LAS1L;RPL27A;RPL29;RPS24
