Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	41/158	1.323193e-26	2.950721e-24	0	0	1.176313e+01	7.009313e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
KEGG_2021_Human	Coronavirus disease	42/232	1.039164e-20	1.158668e-18	0	0	7.405070e+00	3.407316e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;F13A1;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;JUN;RPS9;RPS8;RPL23;MX1;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
KEGG_2021_Human	Huntington disease	22/306	2.144924e-04	1.594393e-02	0	0	2.495202e+00	2.107756e+01	DNAH17;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;AP2A1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;TFAM;VDAC2;POLR2G;POLR2I;TUBA8;SLC25A6
KEGG_2021_Human	Spliceosome	13/150	7.549438e-04	4.208812e-02	0	0	3.033974e+00	2.181084e+01	DDX5;RBM8A;LSM5;CRNKL1;PRPF8;CDC40;PRPF6;PRPF18;SNRNP27;SNRPA1;SRSF5;SRSF7;SRSF10
KEGG_2021_Human	Parkinson disease	17/249	1.886522e-03	7.684101e-02	0	0	2.346911e+00	1.472222e+01	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;RPS27A;TUBA8;SLC25A6
KEGG_2021_Human	Prion disease	18/273	2.067471e-03	7.684101e-02	0	0	2.261898e+00	1.398176e+01	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;CACNA1C;TUBB4B;ATP5F1E;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;TUBA8;SLC25A6
KEGG_2021_Human	Diabetic cardiomyopathy	14/203	4.183615e-03	1.266427e-01	0	0	2.365933e+00	1.295722e+01	TGFB1;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E;UQCRQ;NDUFS5;PPIF;VDAC2;SLC25A6
KEGG_2021_Human	Amyotrophic lateral sclerosis	21/364	4.543235e-03	1.266427e-01	0	0	1.962688e+00	1.058697e+01	GABARAPL2;DNAH17;NUP155;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;HDAC6;TUBB2A;UQCRQ;NDUFS5;HNRNPA2B1;NEFM;SRSF7;PFN2;TUBA8
KEGG_2021_Human	Oxidative phosphorylation	10/133	8.073593e-03	1.732089e-01	0	0	2.588457e+00	1.247418e+01	NDUFA12;NDUFB11;UQCRQ;COX4I1;NDUFS5;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E
KEGG_2021_Human	Ferroptosis	5/41	8.124620e-03	1.732089e-01	0	0	4.405510e+00	2.120309e+01	FTH1;GSS;VDAC2;CP;FTL
KEGG_2021_Human	Non-alcoholic fatty liver disease	11/155	8.543939e-03	1.732089e-01	0	0	2.433441e+00	1.158935e+01	JUN;TGFB1;NDUFA12;NDUFB11;UQCRQ;COX4I1;NDUFS5;NDUFB2;NDUFA1;COX7A2;NDUFC1
KEGG_2021_Human	RNA polymerase	4/31	1.441795e-02	2.679336e-01	0	0	4.693702e+00	1.989792e+01	POLR3D;POLR2G;POLR3H;POLR2I
KEGG_2021_Human	Phagosome	10/152	1.924493e-02	3.301245e-01	0	0	2.239902e+00	8.848751e+00	DYNC1LI2;TUBB2A;CTSL;HLA-B;M6PR;HLA-C;HLA-A;HLA-F;TUBB4B;TUBA8
KEGG_2021_Human	Thermogenesis	13/232	2.775309e-02	4.252908e-01	0	0	1.889880e+00	6.774101e+00	NDUFA12;NDUFB11;COX18;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E;CREB3;UQCRQ;NDUFS5;COA6
KEGG_2021_Human	Allograft rejection	4/38	2.860700e-02	4.252908e-01	0	0	3.726004e+00	1.324260e+01	HLA-B;HLA-C;HLA-A;HLA-F
KEGG_2021_Human	Antigen processing and presentation	6/78	3.286440e-02	4.398095e-01	0	0	2.642720e+00	9.025855e+00	CTSL;HLA-B;HLA-C;HLA-A;HLA-F;B2M
KEGG_2021_Human	Viral myocarditis	5/60	3.695238e-02	4.398095e-01	0	0	2.880775e+00	9.501157e+00	SGCA;HLA-B;HLA-C;HLA-A;HLA-F
KEGG_2021_Human	Alzheimer disease	18/369	3.730300e-02	4.398095e-01	0	0	1.635013e+00	5.377036e+00	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;CACNA1C;TUBB4B;ATP5F1E;TUBB2A;UQCRQ;NDUFS5;DVL1;PPIF;VDAC2;TUBA8;SLC25A6
KEGG_2021_Human	Pathways of neurodegeneration	22/475	3.788556e-02	4.398095e-01	0	0	1.550480e+00	5.075009e+00	GABARAPL2;DNAH17;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;NDUFC1;COX7A2;CACNA1C;TUBB4B;ATP5F1E;TUBB2A;UQCRQ;NDUFS5;DVL1;PPIF;VDAC2;NEFM;RPS27A;TUBA8;SLC25A6
KEGG_2021_Human	Graft-versus-host disease	4/42	3.944479e-02	4.398095e-01	0	0	3.333104e+00	1.077543e+01	HLA-B;HLA-C;HLA-A;HLA-F
KEGG_2021_Human	Type I diabetes mellitus	4/43	4.247228e-02	4.510152e-01	0	0	3.247472e+00	1.025845e+01	HLA-B;HLA-C;HLA-A;HLA-F
KEGG_2021_Human	Autoimmune thyroid disease	4/53	7.965850e-02	8.068041e-01	0	0	2.583386e+00	6.535984e+00	HLA-B;HLA-C;HLA-A;HLA-F
KEGG_2021_Human	Fanconi anemia pathway	4/54	8.404639e-02	8.068041e-01	0	0	2.531588e+00	6.269189e+00	FANCI;FANCC;FANCB;FAN1
KEGG_2021_Human	Retrograde endocannabinoid signaling	8/148	8.683094e-02	8.068041e-01	0	0	1.811720e+00	4.427468e+00	RIMS1;NDUFA12;NDUFB11;NDUFS5;NDUFB2;NDUFA1;NDUFC1;CACNA1C
KEGG_2021_Human	Glutathione metabolism	4/57	9.789716e-02	8.732427e-01	0	0	2.387920e+00	5.549138e+00	GSTM4;GSTK1;GSTO1;GSS
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	10/219	1.391058e-01	9.999954e-01	0	0	1.516549e+00	2.991423e+00	CREB3;JUN;TGFB1;HLA-B;HLA-C;VDAC2;HLA-A;HLA-F;B2M;SLC25A6
KEGG_2021_Human	Hypertrophic cardiomyopathy	5/90	1.438723e-01	9.999954e-01	0	0	1.861138e+00	3.608428e+00	TGFB1;SGCA;ITGA4;CACNA1C;EMD
KEGG_2021_Human	Terpenoid backbone biosynthesis	2/22	1.458180e-01	9.999954e-01	0	0	3.159054e+00	6.082430e+00	ICMT;PCYOX1
KEGG_2021_Human	Vasopressin-regulated water reabsorption	3/44	1.526493e-01	9.999954e-01	0	0	2.312769e+00	4.347109e+00	CREB3;DYNC1LI2;RAB11A
KEGG_2021_Human	Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	1.709042e-01	9.999954e-01	0	0	6.312704e+00	1.115235e+01	PAH
KEGG_2021_Human	Dilated cardiomyopathy	5/96	1.735657e-01	9.999954e-01	0	0	1.737885e+00	3.043383e+00	TGFB1;SGCA;ITGA4;CACNA1C;EMD
KEGG_2021_Human	Cysteine and methionine metabolism	3/50	1.985890e-01	9.999954e-01	0	0	2.016896e+00	3.260348e+00	GSS;APIP;BCAT2
KEGG_2021_Human	Cellular senescence	7/156	2.054395e-01	9.999954e-01	0	0	1.486356e+00	2.352313e+00	TGFB1;HLA-B;HLA-C;VDAC2;HLA-A;HLA-F;SLC25A6
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	4/76	2.057774e-01	9.999954e-01	0	0	1.756047e+00	2.776240e+00	GSTM4;GSTK1;GSTO1;CBR3
KEGG_2021_Human	Oocyte meiosis	6/129	2.066227e-01	9.999954e-01	0	0	1.542873e+00	2.432896e+00	STAG3;SPDYA;SPDYE17;SPDYE3;SPDYE18;SMC1A
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	4/77	2.122127e-01	9.999954e-01	0	0	1.731901e+00	2.684735e+00	SGCA;ITGA4;CACNA1C;EMD
KEGG_2021_Human	Leishmaniasis	4/77	2.122127e-01	9.999954e-01	0	0	1.731901e+00	2.684735e+00	JUN;TGFB1;ITGA4;IFNGR2
KEGG_2021_Human	Drug metabolism	5/108	2.389151e-01	9.999954e-01	0	0	1.534458e+00	2.196802e+00	GSTM4;GSTK1;GSTO1;NME3;FMO3
KEGG_2021_Human	Ribosome biogenesis in eukaryotes	5/108	2.389151e-01	9.999954e-01	0	0	1.534458e+00	2.196802e+00	RBM28;NOP58;GAR1;SNORD3A;NOP10
KEGG_2021_Human	cGMP-PKG signaling pathway	7/167	2.552235e-01	9.999954e-01	0	0	1.383378e+00	1.889162e+00	CREB3;MEF2C;PPIF;VDAC2;PDE5A;CACNA1C;SLC25A6
KEGG_2021_Human	Base excision repair	2/33	2.697174e-01	9.999954e-01	0	0	2.036942e+00	2.669169e+00	PARP2;APEX1
KEGG_2021_Human	Fructose and mannose metabolism	2/33	2.697174e-01	9.999954e-01	0	0	2.036942e+00	2.669169e+00	PMM1;GMPPA
KEGG_2021_Human	Cardiac muscle contraction	4/87	2.791412e-01	9.999954e-01	0	0	1.522450e+00	1.942703e+00	UQCRQ;COX4I1;COX7A2;CACNA1C
KEGG_2021_Human	Mineral absorption	3/60	2.806998e-01	9.999954e-01	0	0	1.662195e+00	2.111768e+00	FTH1;FTL;MT1E
KEGG_2021_Human	ECM-receptor interaction	4/88	2.860288e-01	9.999954e-01	0	0	1.504248e+00	1.882811e+00	ITGA4;TNC;COL9A3;CD44
KEGG_2021_Human	Viral carcinogenesis	8/203	2.876942e-01	9.999954e-01	0	0	1.297005e+00	1.615883e+00	CREB3;JUN;HLA-B;HLA-C;HLA-A;HLA-F;H4C3;HDAC6
KEGG_2021_Human	Cell adhesion molecules	6/148	3.042641e-01	9.999954e-01	0	0	1.335114e+00	1.588598e+00	ITGA4;HLA-B;HLA-C;HLA-A;PDCD1LG2;HLA-F
KEGG_2021_Human	Inflammatory bowel disease	3/65	3.229425e-01	9.999954e-01	0	0	1.527751e+00	1.726788e+00	JUN;TGFB1;IFNGR2
KEGG_2021_Human	Human immunodeficiency virus 1 infection	8/212	3.284927e-01	9.999954e-01	0	0	1.239203e+00	1.379531e+00	JUN;TRIM5;HLA-B;HLA-C;ELOB;HLA-A;HLA-F;B2M
KEGG_2021_Human	RNA transport	7/186	3.477868e-01	9.999954e-01	0	0	1.235317e+00	1.304699e+00	PNN;EIF2B2;RBM8A;NUP155;SNORD3A;EIF1B;EIF1
KEGG_2021_Human	Mitophagy	3/68	3.483309e-01	9.999954e-01	0	0	1.457014e+00	1.536570e+00	GABARAPL2;JUN;RPS27A
KEGG_2021_Human	Amphetamine addiction	3/69	3.567763e-01	9.999954e-01	0	0	1.434863e+00	1.478837e+00	CREB3;JUN;CACNA1C
KEGG_2021_Human	Renal cell carcinoma	3/69	3.567763e-01	9.999954e-01	0	0	1.434863e+00	1.478837e+00	JUN;TGFB1;ELOB
KEGG_2021_Human	Necroptosis	6/159	3.641915e-01	9.999954e-01	0	0	1.238417e+00	1.250895e+00	H2AZ1;FTH1;IFNGR2;VDAC2;FTL;SLC25A6
KEGG_2021_Human	Progesterone-mediated oocyte maturation	4/100	3.698363e-01	9.999954e-01	0	0	1.315398e+00	1.308420e+00	SPDYA;SPDYE17;SPDYE3;SPDYE18
KEGG_2021_Human	Endocytosis	9/252	3.716461e-01	9.999954e-01	0	0	1.169906e+00	1.157988e+00	HLA-B;HLA-C;AP2A1;HLA-A;HLA-F;ARFGAP3;RAB11A;SH3GL2;EPN1
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	5/131	3.767496e-01	9.999954e-01	0	0	1.252862e+00	1.223012e+00	VAV3;IFNGR2;HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	7/193	3.829611e-01	9.999954e-01	0	0	1.188393e+00	1.140646e+00	GABARAPL2;JUN;HLA-B;HLA-C;HLA-A;HLA-F;RPS27A
KEGG_2021_Human	Protein digestion and absorption	4/103	3.908308e-01	9.999954e-01	0	0	1.275339e+00	1.198156e+00	COL5A3;KCNJ13;SLC3A1;COL9A3
KEGG_2021_Human	Wnt signaling pathway	6/166	4.026960e-01	9.999954e-01	0	0	1.183805e+00	1.076758e+00	SFRP1;JUN;DAAM1;DVL1;TLE6;RSPO4
KEGG_2021_Human	Basal transcription factors	2/45	4.047550e-01	9.999954e-01	0	0	1.467582e+00	1.327389e+00	TAF11;TAF7
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	4/106	4.117231e-01	9.999954e-01	0	0	1.237637e+00	1.098284e+00	CREB3;MEF2C;MMP24;NACA
KEGG_2021_Human	Phenylalanine metabolism	1/17	4.120838e-01	9.999954e-01	0	0	1.971600e+00	1.747880e+00	PAH
KEGG_2021_Human	Fluid shear stress and atherosclerosis	5/139	4.255667e-01	9.999954e-01	0	0	1.177575e+00	1.006042e+00	GSTM4;MEF2C;JUN;CTSL;GSTO1
KEGG_2021_Human	Epstein-Barr virus infection	7/202	4.282946e-01	9.999954e-01	0	0	1.133013e+00	9.607315e-01	JUN;HLA-B;HLA-C;HLA-A;HLA-F;B2M;CD44
KEGG_2021_Human	Synaptic vesicle cycle	3/78	4.317090e-01	9.999954e-01	0	0	1.262092e+00	1.060161e+00	NAPA;RIMS1;AP2A1
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	2/48	4.367965e-01	9.999954e-01	0	0	1.371658e+00	1.136127e+00	PMM1;GMPPA
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	4.367965e-01	9.999954e-01	0	0	1.371658e+00	1.136127e+00	TGFB1;ITGA4
KEGG_2021_Human	Cocaine addiction	2/49	4.472685e-01	9.999954e-01	0	0	1.342404e+00	1.080093e+00	CREB3;JUN
KEGG_2021_Human	Toxoplasmosis	4/112	4.529946e-01	9.999954e-01	0	0	1.168515e+00	9.253184e-01	TGFB1;IFNGR2;ALOX5;PPIF
