Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Ribosome	41/158	1.323193e-26	2.950721e-24	0	0	1.176313e+01	7.009313e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
MSigDB_Hallmark_2020	Coronavirus disease	42/232	1.039164e-20	1.158668e-18	0	0	7.405070e+00	3.407316e+02	RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;F13A1;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;JUN;RPS9;RPS8;RPL23;MX1;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
MSigDB_Hallmark_2020	Huntington disease	22/306	2.144924e-04	1.594393e-02	0	0	2.495202e+00	2.107756e+01	DNAH17;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;AP2A1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;TFAM;VDAC2;POLR2G;POLR2I;TUBA8;SLC25A6
MSigDB_Hallmark_2020	Spliceosome	13/150	7.549438e-04	4.208812e-02	0	0	3.033974e+00	2.181084e+01	DDX5;RBM8A;LSM5;CRNKL1;PRPF8;CDC40;PRPF6;PRPF18;SNRNP27;SNRPA1;SRSF5;SRSF7;SRSF10
MSigDB_Hallmark_2020	Parkinson disease	17/249	1.886522e-03	7.684101e-02	0	0	2.346911e+00	1.472222e+01	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;RPS27A;TUBA8;SLC25A6
MSigDB_Hallmark_2020	Prion disease	18/273	2.067471e-03	7.684101e-02	0	0	2.261898e+00	1.398176e+01	NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;CACNA1C;TUBB4B;ATP5F1E;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;TUBA8;SLC25A6
MSigDB_Hallmark_2020	Diabetic cardiomyopathy	14/203	4.183615e-03	1.266427e-01	0	0	2.365933e+00	1.295722e+01	TGFB1;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E;UQCRQ;NDUFS5;PPIF;VDAC2;SLC25A6
MSigDB_Hallmark_2020	Amyotrophic lateral sclerosis	21/364	4.543235e-03	1.266427e-01	0	0	1.962688e+00	1.058697e+01	GABARAPL2;DNAH17;NUP155;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;HDAC6;TUBB2A;UQCRQ;NDUFS5;HNRNPA2B1;NEFM;SRSF7;PFN2;TUBA8
MSigDB_Hallmark_2020	Oxidative phosphorylation	10/133	8.073593e-03	1.732089e-01	0	0	2.588457e+00	1.247418e+01	NDUFA12;NDUFB11;UQCRQ;COX4I1;NDUFS5;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E
MSigDB_Hallmark_2020	Ferroptosis	5/41	8.124620e-03	1.732089e-01	0	0	4.405510e+00	2.120309e+01	FTH1;GSS;VDAC2;CP;FTL
