Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),60/90,2.1221762952628576e-36,4.838243310136416e-33,0,0,16.774163130598772,1377.8401801822,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;ZFAND2B;RPL10A;SRP14;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),61/93,2.3294382812404504e-36,4.838243310136416e-33,0,0,15.99361733490566,1312.2352977375149,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;ZC3H15;RPL19;RWDD1;RPL41;TMA7;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),63/103,7.694979260129374e-35,1.0654981282192475e-31,0,0,13.22092776203966,1038.502688240765,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;ZFAND2B;RPL10A;SRP14;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;CHMP4B;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;SPCS2;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",65/113,1.2786446642114356e-33,1.0744405481934952e-30,0,0,11.372824117832389,861.3720965217756,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;CASC3;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;NCBP1;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL29;UBA52;RBM8A;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;UPF3B;RPL35A;UPF3A;RPL23A;MAGOHB;PNRC2;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),59/94,1.2932601687451797e-33,1.0744405481934952e-30,0,0,14.127588528342534,1069.8560270272362,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;SRP14;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),67/162,1.1994717275495742e-23,8.304342593734886e-21,0,0,5.913001045660509,312.0738615198384,RPL4;RPL5;RPL30;RPL3;MRPS16;RPL32;RPL31;RPL34;MRPS11;RPLP1;RPLP0;MRPL36;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;MRPS7;MRPS18C;SARS1;MRPL51;RPL29;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;RPL35A;RPL23A;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021,translation (GO:0006412),78/214,3.953581390224657e-23,2.3461681564276038e-20,0,0,4.822501468490392,248.76794393625644,RPL4;RPL5;RPL30;RPL3;MRPS16;RPL32;RPL31;RPL34;MRPS11;RPLP1;RPLP0;MRPL36;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;NARS1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;MRPS7;MRPS18C;SARS1;MRPL51;LARS1;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;ZC3H15;RPL19;VARS1;PTCD3;RWDD1;RPL41;MRPL27;TMA7;RPL35A;RPL23A;WARS2;AIMP1;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;RPS20;RPL22L1;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),68/171,8.146899404235368e-23,4.2302775156492144e-20,0,0,5.535257927117842,281.5332908215215,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;CASC3;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPS7;NCBP1;RPS8;RPL23;RPS6;RPL13A;RPS3A;DXO;RPL29;UBA52;DDX5;RBM8A;RPL10;RPL12;RPL11;RPL14;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;UPF3B;RPL35A;UPF3A;RPL23A;MAGOHB;PNRC2;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021,ribosome biogenesis (GO:0042254),70/192,6.679628924857436e-21,3.0830198393175323e-18,0,0,4.810050399546482,223.45197124921177,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL36;RPL10A;RPL9;RPL6;RPS15;RPS14;RPL7A;RPS16;RPL18A;NOB1;RPL36;RPL35;RPLP2;RPL38;RIOK2;RPL37;GLUL;EIF2A;PELP1;UTP15;RPS9;RPS7;IMP3;RPL23;RPS6;RPL13A;UTP18;DKC1;RPL29;UBA52;DDX27;RPL10;RPL12;HEATR1;RPL11;MALSU1;RPF2;NOL6;EMG1;DHX37;RPL14;SURF6;RPL13;RPL15;RPS2;RPL18;RPL19;NOP56;NOP14;RPL41;NOP58;RPL35A;RPL23A;WDR12;RPS25;RPS28;RPS27;LAS1L;RPL27A;RBIS;RPS24
GO_Biological_Process_2021,rRNA metabolic process (GO:0016072),63/162,1.2275964430928872e-20,5.099435624607854e-18,0,0,5.3240621512576185,244.09038055760908,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPS15;RPS14;RPL7A;RPS16;RPL18A;NOB1;RPL36;RPL35;RPLP2;RPL38;RPL37;PELP1;UTP15;RPS9;RPS7;IMP3;RPL23;RPS6;RPL13A;UTP18;DKC1;RPL29;UBA52;DDX27;RPL10;RPL12;HEATR1;RPL11;NOL6;EMG1;DHX37;RPL14;RPL13;RPL15;RPS2;RPL18;RPL19;NOP56;NOP14;RPL41;NOP58;NIFK;RPL35A;RPL23A;WDR12;RPS25;RPS28;RPS27;LAS1L;RPL27A;RPS24
