Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Ribosome,41/158,1.3231932560490762e-26,2.9507209609894407e-24,0,0,11.763125763125764,700.9313095200702,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;RPS9;RPS8;RPL23;RPL13A;RPL35A;RPL23A;MRPS7;MRPS18C;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
MSigDB_Hallmark_2020,Coronavirus disease,42/232,1.0391643814015604e-20,1.1586682852627397e-18,0,0,7.405070267291265,340.7316082770685,RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;F13A1;RPL10A;RPS15;RPS14;RPS16;RPS18;RPL14;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPS12;RPL19;JUN;RPS9;RPS8;RPL23;MX1;RPL13A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;FAU;RPL29;RPS24;RPS23
MSigDB_Hallmark_2020,Huntington disease,22/306,0.00021449237066488715,0.0159439328860899,0,0,2.495202242120514,21.077563175620067,DNAH17;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;AP2A1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;TFAM;VDAC2;POLR2G;POLR2I;TUBA8;SLC25A6
MSigDB_Hallmark_2020,Spliceosome,13/150,0.000754943782515858,0.042088115875259,0,0,3.0339743434294446,21.81083886075284,DDX5;RBM8A;LSM5;CRNKL1;PRPF8;CDC40;PRPF6;PRPF18;SNRNP27;SNRPA1;SRSF5;SRSF7;SRSF10
MSigDB_Hallmark_2020,Parkinson disease,17/249,0.0018865218165533,0.0768410125769796,0,0,2.3469106792757466,14.72221869495095,NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;RPS27A;TUBA8;SLC25A6
MSigDB_Hallmark_2020,Prion disease,18/273,0.002067471190412,0.0768410125769796,0,0,2.261897723913686,13.981760334168316,NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;CACNA1C;TUBB4B;ATP5F1E;CREB3;TUBB2A;UQCRQ;NDUFS5;PPIF;VDAC2;TUBA8;SLC25A6
MSigDB_Hallmark_2020,Diabetic cardiomyopathy,14/203,0.0041836149073227,0.1266426774089098,0,0,2.365933321008196,12.95722215089045,TGFB1;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E;UQCRQ;NDUFS5;PPIF;VDAC2;SLC25A6
MSigDB_Hallmark_2020,Amyotrophic lateral sclerosis,21/364,0.0045432350639967,0.1266426774089098,0,0,1.9626881055452483,10.586967217986992,GABARAPL2;DNAH17;NUP155;NDUFA12;NDUFB11;COX4I1;NDUFB2;NDUFA1;COX7A2;NDUFC1;TUBB4B;ATP5F1E;HDAC6;TUBB2A;UQCRQ;NDUFS5;HNRNPA2B1;NEFM;SRSF7;PFN2;TUBA8
MSigDB_Hallmark_2020,Oxidative phosphorylation,10/133,0.0080735930020315,0.1732089435993996,0,0,2.5884566283679367,12.47417801600101,NDUFA12;NDUFB11;UQCRQ;COX4I1;NDUFS5;NDUFB2;NDUFA1;COX7A2;NDUFC1;ATP5F1E
MSigDB_Hallmark_2020,Ferroptosis,5/41,0.0081246199453277,0.1732089435993996,0,0,4.405510018214936,21.203086768440254,FTH1;GSS;VDAC2;CP;FTL
