Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Parathyroid hormone synthesis, secretion and action	7/106	4.812968e-03	8.931179e-01	0	0	3.592435e+00	1.917082e+01	MMP16;CREB3L1;PDE4D;PDE4B;ITPR2;MAPK1;PLD1
MSigDB_Hallmark_2020	Axon guidance	9/182	9.763483e-03	8.931179e-01	0	0	2.646915e+00	1.225285e+01	DPYSL5;DCC;RYK;SEMA3B;ABL1;MAPK1;UNC5C;LRRC4C;SRGAP1
MSigDB_Hallmark_2020	TNF signaling pathway	6/112	2.276801e-02	8.931179e-01	0	0	2.867385e+00	1.084560e+01	MAPK11;IL15;CREB3L1;TAB3;MAPK1;MAP3K5
MSigDB_Hallmark_2020	Cholinergic synapse	6/113	2.366359e-02	8.931179e-01	0	0	2.840442e+00	1.063410e+01	CHRM3;KCNJ6;CREB3L1;KCNQ3;ITPR2;MAPK1
MSigDB_Hallmark_2020	Glutamatergic synapse	6/114	2.458249e-02	8.931179e-01	0	0	2.813997e+00	1.042789e+01	HOMER1;ITPR2;MAPK1;GRIK2;PLD1;SHANK2
MSigDB_Hallmark_2020	Morphine addiction	5/91	3.302298e-02	8.931179e-01	0	0	2.940565e+00	1.002895e+01	KCNJ6;PDE4D;PDE4B;PDE7B;GABRG1
MSigDB_Hallmark_2020	Aldosterone-regulated sodium reabsorption	3/37	3.529037e-02	8.931179e-01	0	0	4.451562e+00	1.488667e+01	IRS1;MAPK1;SGK1
MSigDB_Hallmark_2020	Choline metabolism in cancer	5/98	4.326890e-02	8.931179e-01	0	0	2.718257e+00	8.536201e+00	SLC44A1;DGKB;PDGFC;MAPK1;PLD1
MSigDB_Hallmark_2020	Homologous recombination	3/41	4.575525e-02	8.931179e-01	0	0	3.982162e+00	1.228278e+01	BARD1;SEM1;RPA1
MSigDB_Hallmark_2020	Sphingolipid metabolism	3/49	7.067976e-02	8.931179e-01	0	0	3.288268e+00	8.712581e+00	SMPD4;SGMS1;ACER3
MSigDB_Hallmark_2020	Cell adhesion molecules	6/148	7.087543e-02	8.931179e-01	0	0	2.136492e+00	5.654933e+00	NLGN1;NLGN4X;NEGR1;NRXN1;NCAM2;LRRC4C
MSigDB_Hallmark_2020	Growth hormone synthesis, secretion and action	5/119	8.429959e-02	8.931179e-01	0	0	2.215140e+00	5.478878e+00	MAPK11;IRS1;CREB3L1;ITPR2;MAPK1
MSigDB_Hallmark_2020	Neurotrophin signaling pathway	5/119	8.429959e-02	8.931179e-01	0	0	2.215140e+00	5.478878e+00	MAPK11;IRS1;ABL1;MAPK1;MAP3K5
MSigDB_Hallmark_2020	Sphingolipid signaling pathway	5/119	8.429959e-02	8.931179e-01	0	0	2.215140e+00	5.478878e+00	MAPK11;SGMS1;MAPK1;PLD1;MAP3K5
MSigDB_Hallmark_2020	ErbB signaling pathway	4/85	8.520718e-02	8.931179e-01	0	0	2.491849e+00	6.136601e+00	NRG3;ERBB4;ABL1;MAPK1
MSigDB_Hallmark_2020	AMPK signaling pathway	5/120	8.663446e-02	8.931179e-01	0	0	2.195765e+00	5.370967e+00	IRS1;CREB3L1;SCD5;ADRA1A;ACACA
MSigDB_Hallmark_2020	Fanconi anemia pathway	3/54	8.875194e-02	8.931179e-01	0	0	2.965130e+00	7.181279e+00	RMI1;RPA1;ATR
MSigDB_Hallmark_2020	Thyroid hormone signaling pathway	5/121	8.900294e-02	8.931179e-01	0	0	2.176724e+00	5.265683e+00	KAT2B;MAPK1;SLC16A10;ESR1;MED12L
MSigDB_Hallmark_2020	GnRH signaling pathway	4/93	1.092777e-01	8.931179e-01	0	0	2.266934e+00	5.018681e+00	MAPK11;ITPR2;MAPK1;PLD1
MSigDB_Hallmark_2020	Shigellosis	8/246	1.108259e-01	8.931179e-01	0	0	1.700068e+00	3.739801e+00	MAPK11;SEPTIN6;ITPR2;TAB3;MAPK1;TLN2;FNBP1L;BTRC
MSigDB_Hallmark_2020	Hepatocellular carcinoma	6/168	1.123534e-01	8.931179e-01	0	0	1.870803e+00	4.089774e+00	GSTM2;TCF7L1;DPF1;GSTT2;MAPK1;ARID1A
MSigDB_Hallmark_2020	Long-term depression	3/60	1.126849e-01	8.931179e-01	0	0	2.652198e+00	5.790171e+00	GRID2;ITPR2;MAPK1
MSigDB_Hallmark_2020	FoxO signaling pathway	5/131	1.144868e-01	8.931179e-01	0	0	2.002940e+00	4.340963e+00	MAPK11;HOMER1;IRS1;MAPK1;SGK1
MSigDB_Hallmark_2020	Prostate cancer	4/97	1.223355e-01	8.931179e-01	0	0	2.168987e+00	4.557014e+00	TCF7L1;CREB3L1;PDGFC;MAPK1
MSigDB_Hallmark_2020	GnRH secretion	3/64	1.298509e-01	8.931179e-01	0	0	2.477776e+00	5.058054e+00	KCNJ6;ITPR2;MAPK1
MSigDB_Hallmark_2020	Estrogen signaling pathway	5/137	1.312743e-01	8.931179e-01	0	0	1.911309e+00	3.880848e+00	KCNJ6;CREB3L1;ITPR2;MAPK1;ESR1
MSigDB_Hallmark_2020	Cortisol synthesis and secretion	3/65	1.342794e-01	8.931179e-01	0	0	2.437687e+00	4.894468e+00	CREB3L1;ITPR2;PBX1
MSigDB_Hallmark_2020	Apoptosis	5/142	1.460609e-01	8.931179e-01	0	0	1.841080e+00	3.541744e+00	ITPR2;MAPK1;CTSV;LMNB2;MAP3K5
MSigDB_Hallmark_2020	Prolactin signaling pathway	3/70	1.571652e-01	8.931179e-01	0	0	2.255193e+00	4.173139e+00	MAPK11;MAPK1;ESR1
MSigDB_Hallmark_2020	Thyroid cancer	2/37	1.628845e-01	8.931179e-01	0	0	2.875358e+00	5.217952e+00	TCF7L1;MAPK1
MSigDB_Hallmark_2020	Retrograde endocannabinoid signaling	5/148	1.646935e-01	8.931179e-01	0	0	1.763289e+00	3.180389e+00	MAPK11;KCNJ6;ITPR2;MAPK1;GABRG1
MSigDB_Hallmark_2020	Adrenergic signaling in cardiomyocytes	5/150	1.711062e-01	8.931179e-01	0	0	1.738789e+00	3.069780e+00	MAPK11;CREB3L1;CREM;MAPK1;ADRA1A
MSigDB_Hallmark_2020	Various types of N-glycan biosynthesis	2/39	1.768341e-01	8.931179e-01	0	0	2.719655e+00	4.711920e+00	ALG1;B4GALNT3
MSigDB_Hallmark_2020	Serotonergic synapse	4/113	1.804380e-01	8.931179e-01	0	0	1.849086e+00	3.166316e+00	KCNJ6;KCND2;ITPR2;MAPK1
MSigDB_Hallmark_2020	Pancreatic cancer	3/76	1.860560e-01	8.931179e-01	0	0	2.069199e+00	3.479788e+00	MAPK1;PLD1;ARHGEF6
MSigDB_Hallmark_2020	Cushing syndrome	5/155	1.875486e-01	8.931179e-01	0	0	1.680397e+00	2.812510e+00	TCF7L1;CREB3L1;ITPR2;MAPK1;PBX1
MSigDB_Hallmark_2020	Cellular senescence	5/156	1.909040e-01	8.931179e-01	0	0	1.669183e+00	2.764141e+00	MAPK11;ITPR2;MAPK1;BTRC;ATR
