Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",7/106,0.0048129680572771,0.8931179201298665,0,0,3.5924347643097643,19.170817335219155,MMP16;CREB3L1;PDE4D;PDE4B;ITPR2;MAPK1;PLD1
KEGG_2021_Human,Axon guidance,9/182,0.0097634833662227,0.8931179201298665,0,0,2.646914626395908,12.252848484293702,DPYSL5;DCC;RYK;SEMA3B;ABL1;MAPK1;UNC5C;LRRC4C;SRGAP1
KEGG_2021_Human,TNF signaling pathway,6/112,0.022768007398053,0.8931179201298665,0,0,2.8673854447439355,10.845595588498837,MAPK11;IL15;CREB3L1;TAB3;MAPK1;MAP3K5
KEGG_2021_Human,Cholinergic synapse,6/113,0.0236635897318743,0.8931179201298665,0,0,2.8404418011894648,10.634096320626297,CHRM3;KCNJ6;CREB3L1;KCNQ3;ITPR2;MAPK1
KEGG_2021_Human,Glutamatergic synapse,6/114,0.0245824937144719,0.8931179201298665,0,0,2.813997113997114,10.42788743106055,HOMER1;ITPR2;MAPK1;GRIK2;PLD1;SHANK2
KEGG_2021_Human,Morphine addiction,5/91,0.0330229841780352,0.8931179201298665,0,0,2.940565128328714,10.028948720196327,KCNJ6;PDE4D;PDE4B;PDE7B;GABRG1
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,3/37,0.0352903734921934,0.8931179201298665,0,0,4.451561552456034,14.886667565304856,IRS1;MAPK1;SGK1
KEGG_2021_Human,Choline metabolism in cancer,5/98,0.0432689005899127,0.8931179201298665,0,0,2.718257284528386,8.536200796093249,SLC44A1;DGKB;PDGFC;MAPK1;PLD1
KEGG_2021_Human,Homologous recombination,3/41,0.0457552463951211,0.8931179201298665,0,0,3.982162235485621,12.28277560244686,BARD1;SEM1;RPA1
KEGG_2021_Human,Sphingolipid metabolism,3/49,0.0706797638507247,0.8931179201298665,0,0,3.28826759300762,8.712580571398421,SMPD4;SGMS1;ACER3
KEGG_2021_Human,Cell adhesion molecules,6/148,0.070875427042822,0.8931179201298665,0,0,2.136491677336748,5.654933453237614,NLGN1;NLGN4X;NEGR1;NRXN1;NCAM2;LRRC4C
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",5/119,0.0842995910527131,0.8931179201298665,0,0,2.215139532769748,5.478877974474016,MAPK11;IRS1;CREB3L1;ITPR2;MAPK1
KEGG_2021_Human,Neurotrophin signaling pathway,5/119,0.0842995910527131,0.8931179201298665,0,0,2.215139532769748,5.478877974474016,MAPK11;IRS1;ABL1;MAPK1;MAP3K5
KEGG_2021_Human,Sphingolipid signaling pathway,5/119,0.0842995910527131,0.8931179201298665,0,0,2.215139532769748,5.478877974474016,MAPK11;SGMS1;MAPK1;PLD1;MAP3K5
KEGG_2021_Human,ErbB signaling pathway,4/85,0.0852071816429841,0.8931179201298665,0,0,2.491849299773503,6.136601411470242,NRG3;ERBB4;ABL1;MAPK1
KEGG_2021_Human,AMPK signaling pathway,5/120,0.0866344564220684,0.8931179201298665,0,0,2.1957648118945707,5.370967342929231,IRS1;CREB3L1;SCD5;ADRA1A;ACACA
