Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Ribosome	21/158	7.859551e-07	2.145657e-04	0	0	3.896615e+00	5.477224e+01	MRPS16;RPL10;RPLP1;MRPL27;RPL35A;MRPL36;RPL23A;MRPL15;RPL10A;RPL8;MRPS7;MRPL10;RPL7A;RPS19;RPL15;RPS2;RPL29;RPL18;RPS27A;RPS24;RPS23
MSigDB_Hallmark_2020	Parkinson disease	25/249	1.317348e-05	1.798180e-03	0	0	2.839334e+00	3.190646e+01	NDUFB7;NDUFA12;NDUFB11;ITPR1;ITPR2;NDUFB1;UQCR10;COX7C;ADCY5;ATP5MC1;PSMD8;PSMB6;TUBA1C;PSMB4;TUBA1A;UBB;UBC;RPS27A;NDUFA6;COX6C;TUBB2B;NDUFS6;PPIF;CALM1;ATF4
MSigDB_Hallmark_2020	Alzheimer disease	30/369	1.079046e-04	9.819320e-03	0	0	2.252821e+00	2.057786e+01	CHRM3;NDUFB7;NDUFA12;NDUFB11;ITPR1;ITPR2;NDUFB1;UQCR10;PSEN1;COX7C;HSD17B10;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;NCSTN;PSMB4;TUBA1A;AKT2;RB1CC1;NDUFA6;COX6C;TUBB2B;NDUFS6;PPIF;NOX4;CALM1;GAPDH;ATF4
MSigDB_Hallmark_2020	Huntington disease	25/306	3.655885e-04	2.370636e-02	0	0	2.256595e+00	1.785869e+01	HIP1;NDUFB7;NDUFA12;NDUFB11;DNAH6;CLTB;ITPR1;NDUFB1;UQCR10;COX7C;ATP5MC1;PSMD8;PSMB6;TUBA1C;PSMB4;TUBA1A;RB1CC1;POLR2J;POLR2L;GPX1;NDUFA6;COX6C;TUBB2B;NDUFS6;PPIF
MSigDB_Hallmark_2020	Pathways of neurodegeneration	34/475	4.341825e-04	2.370636e-02	0	0	1.962643e+00	1.519487e+01	CHRM3;NDUFB7;HIP1;NDUFA12;NDUFB11;DNAH6;ITPR1;ITPR2;NDUFB1;UQCR10;PSEN1;HSD17B10;COX7C;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;PSMB4;TUBA1A;UBB;RB1CC1;UBC;RPS27A;GPX1;NDUFA6;PRKCA;COX6C;TUBB2B;NDUFS6;PPIF;NOX4;CALM1;ATF4
MSigDB_Hallmark_2020	Prion disease	22/273	9.621807e-04	4.377922e-02	0	0	2.217764e+00	1.540527e+01	HSPA8;NDUFB7;NDUFA6;NDUFA12;NDUFB11;ITPR1;ITPR2;NDUFB1;UQCR10;COX6C;COX7C;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;TUBB2B;PSMB4;TUBA1A;NDUFS6;PPIF;ATF4
MSigDB_Hallmark_2020	Oxidative phosphorylation	13/133	1.929309e-03	7.524306e-02	0	0	2.727317e+00	1.704735e+01	ATP6V0E1;NDUFB7;NDUFA6;NDUFA12;NDUFB11;NDUFB1;UQCR10;COX6C;COX7C;ATP5MC1;PPA2;NDUFS6;ATP6V0A4
MSigDB_Hallmark_2020	Diabetic cardiomyopathy	17/203	2.331849e-03	7.957434e-02	0	0	2.305163e+00	1.397181e+01	NDUFB7;NDUFA6;NDUFA12;NDUFB11;MMP2;NDUFB1;PRKCA;UQCR10;COX6C;COX7C;ATP5MC1;TBC1D4;NDUFS6;AKT2;MPC2;PPIF;GAPDH
MSigDB_Hallmark_2020	Shigellosis	19/246	3.330385e-03	1.010217e-01	0	0	2.112074e+00	1.204868e+01	JUN;UBE2D4;ITPR1;SEPTIN6;ITPR2;SEPTIN3;ARPC5;SEPTIN9;FOXO1;MALT1;ACTG1;RRAGA;UBB;AKT2;UBC;ATM;TLN2;RPS27A;H3-3B
MSigDB_Hallmark_2020	Amyotrophic lateral sclerosis	25/364	4.067695e-03	1.110481e-01	0	0	1.864785e+00	1.026504e+01	POM121;NDUFB7;NDUFA12;NDUFB11;DNAH6;NDUFB1;UQCR10;COX7C;ACTG1;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;PSMB4;TUBA1A;POM121C;RB1CC1;GPX1;NDUFA6;COX6C;TUBB2B;NDUFS6;SRSF7;ATF4
