Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Ribosome,21/158,7.859551067485434e-07,0.00021456574414235237,0,0,3.8966147326678784,54.77224347557574,MRPS16;RPL10;RPLP1;MRPL27;RPL35A;MRPL36;RPL23A;MRPL15;RPL10A;RPL8;MRPS7;MRPL10;RPL7A;RPS19;RPL15;RPS2;RPL29;RPL18;RPS27A;RPS24;RPS23
MSigDB_Hallmark_2020,Parkinson disease,25/249,1.3173478953782988e-05,0.0017981798771913,0,0,2.8393335245744886,31.90645658417096,NDUFB7;NDUFA12;NDUFB11;ITPR1;ITPR2;NDUFB1;UQCR10;COX7C;ADCY5;ATP5MC1;PSMD8;PSMB6;TUBA1C;PSMB4;TUBA1A;UBB;UBC;RPS27A;NDUFA6;COX6C;TUBB2B;NDUFS6;PPIF;CALM1;ATF4
MSigDB_Hallmark_2020,Alzheimer disease,30/369,0.00010790461484838098,0.0098193199512026,0,0,2.2528206473773347,20.577856097845697,CHRM3;NDUFB7;NDUFA12;NDUFB11;ITPR1;ITPR2;NDUFB1;UQCR10;PSEN1;COX7C;HSD17B10;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;NCSTN;PSMB4;TUBA1A;AKT2;RB1CC1;NDUFA6;COX6C;TUBB2B;NDUFS6;PPIF;NOX4;CALM1;GAPDH;ATF4
MSigDB_Hallmark_2020,Huntington disease,25/306,0.0003655885162068196,0.0237063636426474,0,0,2.25659458712668,17.85869436836852,HIP1;NDUFB7;NDUFA12;NDUFB11;DNAH6;CLTB;ITPR1;NDUFB1;UQCR10;COX7C;ATP5MC1;PSMD8;PSMB6;TUBA1C;PSMB4;TUBA1A;RB1CC1;POLR2J;POLR2L;GPX1;NDUFA6;COX6C;TUBB2B;NDUFS6;PPIF
MSigDB_Hallmark_2020,Pathways of neurodegeneration,34/475,0.0004341824842975718,0.0237063636426474,0,0,1.9626434132822053,15.194874883630357,CHRM3;NDUFB7;HIP1;NDUFA12;NDUFB11;DNAH6;ITPR1;ITPR2;NDUFB1;UQCR10;PSEN1;HSD17B10;COX7C;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;PSMB4;TUBA1A;UBB;RB1CC1;UBC;RPS27A;GPX1;NDUFA6;PRKCA;COX6C;TUBB2B;NDUFS6;PPIF;NOX4;CALM1;ATF4
MSigDB_Hallmark_2020,Prion disease,22/273,0.000962180663700056,0.0437792201983525,0,0,2.2177636122177957,15.405269842046406,HSPA8;NDUFB7;NDUFA6;NDUFA12;NDUFB11;ITPR1;ITPR2;NDUFB1;UQCR10;COX6C;COX7C;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;TUBB2B;PSMB4;TUBA1A;NDUFS6;PPIF;ATF4
MSigDB_Hallmark_2020,Oxidative phosphorylation,13/133,0.0019293093416483,0.0752430643242838,0,0,2.727316644707949,17.04734685778159,ATP6V0E1;NDUFB7;NDUFA6;NDUFA12;NDUFB11;NDUFB1;UQCR10;COX6C;COX7C;ATP5MC1;PPA2;NDUFS6;ATP6V0A4
MSigDB_Hallmark_2020,Diabetic cardiomyopathy,17/203,0.0023318488444859,0.0795743418180846,0,0,2.3051627145196893,13.97180750743086,NDUFB7;NDUFA6;NDUFA12;NDUFB11;MMP2;NDUFB1;PRKCA;UQCR10;COX6C;COX7C;ATP5MC1;TBC1D4;NDUFS6;AKT2;MPC2;PPIF;GAPDH
MSigDB_Hallmark_2020,Shigellosis,19/246,0.0033303845585374,0.1010216649423027,0,0,2.112074462794929,12.048682542557076,JUN;UBE2D4;ITPR1;SEPTIN6;ITPR2;SEPTIN3;ARPC5;SEPTIN9;FOXO1;MALT1;ACTG1;RRAGA;UBB;AKT2;UBC;ATM;TLN2;RPS27A;H3-3B
MSigDB_Hallmark_2020,Amyotrophic lateral sclerosis,25/364,0.0040676950844741,0.1110480758061432,0,0,1.864784605481908,10.26504020652175,POM121;NDUFB7;NDUFA12;NDUFB11;DNAH6;NDUFB1;UQCR10;COX7C;ACTG1;ATP5MC1;PSMD8;PSMB6;TUBA1C;GRIN2A;PSMB4;TUBA1A;POM121C;RB1CC1;GPX1;NDUFA6;COX6C;TUBB2B;NDUFS6;SRSF7;ATF4
