Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	76/496	6.535137e-08	2.638235e-04	0	0	2.085775e+00	3.450600e+01	ALK;MAST4;IGF1R;STK11;EEF2K;AKT2;RPS6KA2;AKT3;TLK1;MAP3K9;NEK3;ERC1;PRKG1;JAK1;MAP3K5;CAMK1D;DAPK1;PDPK1;DAPK2;PRKCE;ADAM10;LMTK2;PRKCA;VRK1;CSNK1D;OXSR1;CIT;BCR;TGFBR3;PRKAR1B;MAK;TYRO3;SIK3;FAM20C;TSSK3;TNIK;TOP1;SGK1;CDKL1;CAMK2B;NIM1K;PXK;CAMK2D;PRKAA2;PNCK;CTBP1;TNKS;PRKX;PRKCZ;TTBK2;STK3;NUAK1;PAK1;RELN;GRK5;GRK4;ABL1;ABL2;MAPK1;RIPK1;PAK2;SRPK2;CDK19;RYK;LIMK1;CDC42BPB;MERTK;MAPK10;CDK7;CDK6;TAOK1;RPS6KB2;ATM;CDK13;CDK14;TAF1
GO_Biological_Process_2021	phosphorylation (GO:0016310)	63/400	3.246497e-07	6.553054e-04	0	0	2.146875e+00	3.207542e+01	DGKG;ALK;STK11;AKT3;TLK1;MAP3K9;NEK3;PRKG1;JAK1;MAP3K5;EPHA7;DAPK1;PDPK1;DAPK2;PRKCE;ADAM10;LMTK2;PRKCA;VRK1;CSNK1D;OXSR1;DGKZ;BCR;PRKAR1B;MAK;SIK3;FAM20C;TSSK3;TNIK;TOP1;SGK1;DGKI;CDKL1;CAMK2B;NIM1K;PXK;CAMK2D;PRKAA2;CTBP1;PRKCZ;STK3;NUAK1;PAK1;GRK5;GRK4;ABL1;MAPK1;PAK2;SRPK2;CDK19;AGK;RYK;LIMK1;CDC42BPB;MERTK;MAPK10;CDK7;CDK6;TAOK1;ATM;CDK13;CDK14;TAF1
GO_Biological_Process_2021	regulation of vascular associated smooth muscle cell migration (GO:1904752)	7/12	1.310235e-05	1.763139e-02	0	0	1.580984e+01	1.777456e+02	DOCK5;DOCK4;NR4A3;FGF9;DOCK7;TPM1;PRKG1
GO_Biological_Process_2021	protein localization to cell periphery (GO:1990778)	27/140	2.185627e-05	2.205844e-02	0	0	2.715800e+00	2.914331e+01	DPP10;SPTBN4;C2CD5;RAB3A;PLEKHF1;LIN7A;EFR3A;DPP6;RAB40A;RAB40B;RAB40C;MAP7;RAB29;TSPAN5;RAB8B;SEC16A;KCNB2;WDR19;ANK2;EMP2;MRAP;RAB10;PACS2;PACS1;PKP2;ITGB1BP1;TNIK
GO_Biological_Process_2021	regulation of dendrite development (GO:0050773)	12/39	4.102616e-05	2.888353e-02	0	0	5.028446e+00	5.079385e+01	ALK;CAMK1D;SEMA4D;ADGRB3;HECW2;NEDD4L;NSMF;RAB17;RTN4IP1;TNIK;BMP7;CAMSAP2
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	60/437	4.814577e-05	2.888353e-02	0	0	1.820172e+00	1.809483e+01	PPP1R13B;FAM13B;ITSN1;BRCA1;ARHGAP35;PREX1;ING5;AKAP13;STK11;TMSB4X;PIP4K2A;RAC3;PIP4K2C;RFC4;RMI1;PDPK1;DAPK2;ARHGEF17;PPP2R5C;BCR;TIAM2;TIAM1;PRKAR1B;RHOJ;ARHGEF4;TNIK;SOS1;ARHGEF7;SGK1;SOS2;ARHGEF6;PRKAA2;ARHGAP17;STK3;WRN;NUAK1;PAK1;ARHGAP20;RACGAP1;PRKAR2A;GNA12;MAPK1;PIP5K1B;SRGAP3;PAK2;BANP;TAF15;NTRK3;RPA1;ARHGAP26;CYLD;ARHGAP32;PEX5L;ARHGAP31;TAOK1;ATM;TAF3;TAF2;RAD9A;TAF1
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	16/65	5.008292e-05	2.888353e-02	0	0	3.699065e+00	3.662751e+01	USP13;MTMR3;DAPK1;DAPK2;WDR41;ITPR1;DEPP1;TPCN2;RPTOR;DRAM1;WDR91;ABL1;PIP4K2A;ABL2;ATM;PIP4K2C
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	45/306	8.322212e-05	4.199596e-02	0	0	1.965821e+00	1.846692e+01	NAPB;CHRM3;SNAP25;GABRB1;RAB3A;STXBP3;GRIK5;KCNC4;GRIK3;HTR2C;GRIK1;LIN7A;SLC1A4;SLC6A1;CDH8;GRM3;GLRA1;GPR176;GRIN2A;GLRA2;RPS6KA2;PRKAR2A;MAPK1;KIF1B;ERC1;ERC2;SNCA;GABRA2;UNC13C;HOMER1;SYT1;HTR1F;GABRA4;SYN3;GABRG3;GRIN2B;GABRG2;GRIN1;SHISA6;FCHSD2;PRKAR1B;KCNQ3;PCDHB5;APBA2;CBLN2
GO_Biological_Process_2021	protein localization to plasma membrane (GO:0072659)	25/136	9.830565e-05	4.409554e-02	0	0	2.557035e+00	2.359486e+01	DPP10;SPTBN4;C2CD5;RAB3A;PLEKHF1;EFR3A;DPP6;RAB40A;RAB40B;RAB40C;MAP7;TSPAN5;RAB8B;SEC16A;KCNB2;ANK2;EMP2;MRAP;RAB10;PACS2;PACS1;PKP2;ITGB1BP1;TNIK;ASB3
GO_Biological_Process_2021	peptidyl-serine phosphorylation (GO:0018105)	27/156	1.522600e-04	5.996430e-02	0	0	2.376872e+00	2.089251e+01	CAMK2D;PNCK;MAST4;TNKS;PRKX;PRKCZ;TTBK2;AKT2;RPS6KA2;AKT3;TLK1;MAPK1;RIPK1;PAK2;SRPK2;CAMK1D;PDPK1;PRKCE;LMTK2;CSNK1D;PRKCA;VRK1;RPS6KB2;ATM;TOP1;SGK1;TAF1
GO_Biological_Process_2021	positive regulation of vascular associated smooth muscle cell migration (GO:1904754)	5/8	1.637415e-04	5.996430e-02	0	0	1.880016e+01	1.638852e+02	DOCK5;DOCK4;NR4A3;FGF9;DOCK7
GO_Biological_Process_2021	regulation of small GTPase mediated signal transduction (GO:0051056)	25/141	1.782441e-04	5.996430e-02	0	0	2.446147e+00	2.111602e+01	FAM13B;ITSN1;RASGRF1;ARHGAP17;ARHGAP35;PREX1;AKAP13;ARHGAP20;RELN;RACGAP1;RAC3;SRGAP3;ARHGEF17;ARHGAP26;BCR;TIAM2;TIAM1;ARHGAP32;ARHGAP31;RHOJ;ARHGEF4;ARHGEF7;SOS1;SOS2;ARHGEF6
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	15/66	2.233029e-04	6.934413e-02	0	0	3.329455e+00	2.799067e+01	CNTNAP1;CTNND2;TBCD;PRKCA;CDH9;CDH8;CDH7;TJP1;CDH20;CLDN12;CDH12;PKP2;TLN2;PAK2;VCL
GO_Biological_Process_2021	activation of GTPase activity (GO:0090630)	20/105	2.893812e-04	8.158970e-02	0	0	2.666861e+00	2.172896e+01	RAP1GAP2;BCAS3;RABGAP1;NTRK3;DOCK7;RASGRF1;TBC1D8;TSC1;RANGAP1;SIPA1L3;BCR;TIAM2;SGSM1;TIAM1;TBC1D1;SIPA1L1;TBC1D4;TBC1D13;TBC1D22B;TBC1D10B
GO_Biological_Process_2021	synaptic transmission, glutamatergic (GO:0035249)	7/18	3.395232e-04	8.158970e-02	0	0	7.183943e+00	5.738511e+01	NAPB;UNC13C;GRIK5;GRIK3;GRIK1;SLC1A4;CDH8
GO_Biological_Process_2021	cellular response to forskolin (GO:1904322)	5/9	3.435781e-04	8.158970e-02	0	0	1.409936e+01	1.124578e+02	ADCY3;ADCY2;ADCY1;AHR;ADCY5
GO_Biological_Process_2021	response to forskolin (GO:1904321)	5/9	3.435781e-04	8.158970e-02	0	0	1.409936e+01	1.124578e+02	ADCY3;ADCY2;ADCY1;AHR;ADCY5
GO_Biological_Process_2021	regulation of neuron projection development (GO:0010975)	27/165	3.890387e-04	8.725273e-02	0	0	2.220762e+00	1.743705e+01	CAMK2B;TENM3;SEMA3A;STMN2;CRMP1;PSEN1;ARHGAP35;CAMSAP2;PAK1;BAG5;SIPA1L1;RELN;NCS1;RAB29;ABL2;DISC1;PDLIM5;PAK2;CAMK1D;NTRK3;MAGI2;CBFA2T2;SRCIN1;ROR1;RAB17;RTN4IP1;SHANK3
GO_Biological_Process_2021	calcium ion transmembrane import into cytosol (GO:0097553)	11/42	4.152528e-04	8.823029e-02	0	0	4.011296e+00	3.123445e+01	SLC24A2;RYR2;GRIN2A;PTPRC;ITPR1;HTR2C;ITPR2;PKD2;GRIN2B;SLC8A1;GRIN1
