Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Phosphatidylinositol signaling system	8/97	3.868635e-04	8.665743e-02	0	0	4.949644e+00	3.889152e+01	INPP4B;ITPK1;ITPR1;ITPR2;PRKCA;PIP5K1B;PIP4K2C;SYNJ2
KEGG_2021_Human	Cholinergic synapse	8/113	1.066836e-03	1.194856e-01	0	0	4.191979e+00	2.868595e+01	CHRM3;GNG4;AKT2;KCNQ3;ITPR1;ITPR2;PRKCA;ADCY5
KEGG_2021_Human	Pancreatic secretion	7/102	2.587761e-03	1.343301e-01	0	0	4.044766e+00	2.409452e+01	CHRM3;ITPR1;ITPR2;PRKCA;SLC4A4;TPCN2;ADCY5
KEGG_2021_Human	Focal adhesion	10/201	3.811658e-03	1.343301e-01	0	0	2.884179e+00	1.606399e+01	PAK1;AKT2;ITGA2;RASGRF1;PRKCA;PIP5K1B;TLN2;PPP1R12C;IGF1R;THBS3
KEGG_2021_Human	Long-term depression	5/60	4.622474e-03	1.343301e-01	0	0	4.972575e+00	2.673667e+01	GNA12;ITPR1;ITPR2;PRKCA;IGF1R
KEGG_2021_Human	Spinocerebellar ataxia	8/143	4.647311e-03	1.343301e-01	0	0	3.255420e+00	1.748638e+01	GRIN2A;DAB1;AKT2;RB1CC1;ITPR1;ITPR2;RORA;PRKCA
KEGG_2021_Human	Glutamatergic synapse	7/114	4.798223e-03	1.343301e-01	0	0	3.588943e+00	1.916319e+01	GRIN2A;GNG4;GRIK5;ITPR1;ITPR2;PRKCA;ADCY5
KEGG_2021_Human	GABAergic synapse	6/89	5.635710e-03	1.343301e-01	0	0	3.959502e+00	2.050480e+01	GNG4;GABRA4;PRKCA;SLC6A11;GABRG3;ADCY5
KEGG_2021_Human	GnRH secretion	5/64	6.085550e-03	1.343301e-01	0	0	4.634504e+00	2.364449e+01	KCNJ11;AKT2;ITPR1;ITPR2;PRKCA
KEGG_2021_Human	Morphine addiction	6/91	6.273421e-03	1.343301e-01	0	0	3.865942e+00	1.960587e+01	GNG4;GRK4;GABRA4;PRKCA;GABRG3;ADCY5
KEGG_2021_Human	Regulation of actin cytoskeleton	10/218	6.686398e-03	1.343301e-01	0	0	2.646138e+00	1.325101e+01	TIAM1;CHRM3;PAK1;TMSB4X;ITGA2;GNA12;PIP5K1B;PIP4K2C;SSH2;PPP1R12C
KEGG_2021_Human	Oxytocin signaling pathway	8/154	7.196255e-03	1.343301e-01	0	0	3.008451e+00	1.484428e+01	EEF2K;CAMK1D;ITPR1;ITPR2;PRKCA;CACNG2;PPP1R12C;ADCY5
KEGG_2021_Human	Dopaminergic synapse	7/132	1.044610e-02	1.499785e-01	0	0	3.069303e+00	1.400071e+01	GRIN2A;GNG4;AKT2;ITPR1;ITPR2;PRKCA;ADCY5
KEGG_2021_Human	Inositol phosphate metabolism	5/73	1.051080e-02	1.499785e-01	0	0	4.019266e+00	1.830917e+01	INPP4B;ITPK1;PIP5K1B;PIP4K2C;SYNJ2
KEGG_2021_Human	Vascular smooth muscle contraction	7/133	1.086020e-02	1.499785e-01	0	0	3.044788e+00	1.377051e+01	CALCB;GNA12;ITPR1;ITPR2;PRKCA;PPP1R12C;ADCY5
KEGG_2021_Human	Gastric acid secretion	5/76	1.237516e-02	1.499785e-01	0	0	3.848847e+00	1.690438e+01	CHRM3;ITPR1;ITPR2;PRKCA;ADCY5
KEGG_2021_Human	Apelin signaling pathway	7/137	1.263632e-02	1.499785e-01	0	0	2.950497e+00	1.289715e+01	HDAC4;GNG4;AKT2;ITPR1;ITPR2;MEF2D;ADCY5
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	6/106	1.282982e-02	1.499785e-01	0	0	3.283529e+00	1.430300e+01	GNA12;ITPR1;ITPR2;PRKCA;MEF2D;ADCY5
KEGG_2021_Human	Proteoglycans in cancer	9/205	1.284141e-02	1.499785e-01	0	0	2.521749e+00	1.098242e+01	TIAM1;PAK1;AKT2;ITGA2;ITPR1;ITPR2;PRKCA;PPP1R12C;IGF1R
KEGG_2021_Human	Glucagon signaling pathway	6/107	1.339093e-02	1.499785e-01	0	0	3.250853e+00	1.402150e+01	PYGB;AKT2;ITPR1;ITPR2;ACACB;FOXO1
KEGG_2021_Human	Retrograde endocannabinoid signaling	7/148	1.858586e-02	1.982492e-01	0	0	2.718782e+00	1.083531e+01	GNG4;GABRA4;ITPR1;ITPR2;PRKCA;GABRG3;ADCY5
KEGG_2021_Human	Insulin secretion	5/86	2.017457e-02	2.054138e-01	0	0	3.371957e+00	1.316187e+01	CHRM3;PCLO;KCNJ11;PRKCA;ADCY5
KEGG_2021_Human	Notch signaling pathway	4/59	2.221562e-02	2.082366e-01	0	0	3.966979e+00	1.510213e+01	KAT2B;CTBP1;HEY2;PSEN1
KEGG_2021_Human	AMPK signaling pathway	6/120	2.231107e-02	2.082366e-01	0	0	2.878225e+00	1.094495e+01	RAB10;EEF2K;AKT2;ACACB;FOXO1;IGF1R
KEGG_2021_Human	Platelet activation	6/124	2.570687e-02	2.257322e-01	0	0	2.780088e+00	1.017790e+01	AKT2;ITGA2;ITPR1;ITPR2;TLN2;ADCY5
KEGG_2021_Human	Ras signaling pathway	9/232	2.629245e-02	2.257322e-01	0	0	2.213347e+00	8.053202e+00	TIAM1;GRIN2A;PAK1;GNG4;AKT2;RASGRF1;PRKCA;RAPGEF5;IGF1R
KEGG_2021_Human	Salivary secretion	5/93	2.720879e-02	2.257322e-01	0	0	3.102622e+00	1.118252e+01	CHRM3;ITPR1;ITPR2;PRKCA;ADCY5
