Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Mismatch repair	4/23	1.664683e-02	9.996324e-01	0	0	4.612506e+00	1.889068e+01	MSH6;RFC4;RFC1;PMS2
KEGG_2021_Human	Shigellosis	17/246	4.325077e-02	9.996324e-01	0	0	1.632929e+00	5.128604e+00	ITPR1;U2AF1;ARPC5;FNBP1L;ATG14;SEPTIN9;ACTB;MALT1;ACTG1;IKBKB;UBB;IRF3;RPS6KB2;TAB3;CD44;VCL;H3-3B
KEGG_2021_Human	Notch signaling pathway	6/59	4.373335e-02	9.996324e-01	0	0	2.481588e+00	7.766486e+00	NCSTN;MAML2;HEY2;HES1;RBPJ;DLL3
KEGG_2021_Human	Pancreatic cancer	7/76	4.852952e-02	9.996324e-01	0	0	2.224529e+00	6.730498e+00	IKBKB;CCND1;BAD;CDKN2A;RPS6KB2;TGFA;PLD1
KEGG_2021_Human	Bacterial invasion of epithelial cells	7/77	5.145831e-02	9.996324e-01	0	0	2.192635e+00	6.505512e+00	ARPC5;SEPTIN9;ACTB;DNM1;VCL;ACTG1;DNM2
KEGG_2021_Human	Endocytosis	17/252	5.207720e-02	9.996324e-01	0	0	1.590731e+00	4.700656e+00	PDGFRA;IQSEC2;WWP1;PARD6G;SNF8;ARPC5;VPS37B;PLD1;RBSN;IGF2R;DNM1;EPN1;DNM2;PSD2;GRK4;VPS28;HSPA1A
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	8/97	6.251207e-02	9.996324e-01	0	0	1.971211e+00	5.464977e+00	PAK1;MARCKSL1;MARCKS;CFL1;RPS6KB2;ARPC5;PLD1;DNM2
KEGG_2021_Human	Nicotine addiction	4/40	9.651729e-02	9.996324e-01	0	0	2.432212e+00	5.686592e+00	GRIN2A;CHRNA4;GABRA4;GRIN2D
KEGG_2021_Human	Insulin resistance	8/108	1.014535e-01	9.996324e-01	0	0	1.753364e+00	4.011969e+00	IKBKB;SREBF1;G6PC2;TBC1D4;NR1H2;RPS6KB2;SLC27A6;PYGL
KEGG_2021_Human	Herpes simplex virus 1 infection	28/498	1.064023e-01	9.996324e-01	0	0	1.310498e+00	2.936208e+00	ZNF133;ZNF550;ZNF790;IKBKB;ZNF701;ZNF568;ZNF546;ZNF761;ZNF320;ZNF184;BAD;IFNGR2;STAT2;TSC1;ZFP69;IRF3;ZNF658;ZNF557;ZNF699;SRSF5;CALR;ZNF555;ZNF676;ZNF235;ZNF850;ZNF233;ZNF211;ZNF552
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	6/77	1.210228e-01	9.996324e-01	0	0	1.850704e+00	3.908273e+00	TCF7L1;SGCA;LAMA2;CACNA1C;ACTB;ACTG1
KEGG_2021_Human	Viral myocarditis	5/60	1.217930e-01	9.996324e-01	0	0	1.990293e+00	4.190428e+00	CCND1;SGCA;LAMA2;ACTB;ACTG1
KEGG_2021_Human	Glutamatergic synapse	8/114	1.273322e-01	9.996324e-01	0	0	1.653595e+00	3.407988e+00	GRIN2A;GRIK5;ITPR1;CACNA1C;PLD1;GLUL;ADCY6;GRIN2D
KEGG_2021_Human	Dilated cardiomyopathy	7/96	1.279285e-01	9.996324e-01	0	0	1.722825e+00	3.542616e+00	SGCA;LAMA2;CACNA1C;ACTB;ADCY6;ACTG1;TTN
KEGG_2021_Human	GnRH secretion	5/64	1.482651e-01	9.996324e-01	0	0	1.854969e+00	3.540678e+00	TRPC5;KCNJ11;ITPR1;CACNA1C;KCNN3
KEGG_2021_Human	Cortisol synthesis and secretion	5/65	1.552368e-01	9.996324e-01	0	0	1.823957e+00	3.397674e+00	ITPR1;NR0B1;CACNA1C;PDE8A;ADCY6
KEGG_2021_Human	Regulation of actin cytoskeleton	13/218	1.617723e-01	9.996324e-01	0	0	1.390199e+00	2.532338e+00	PDGFRA;ARPC5;FGF1;ACTB;MYLK;ACTG1;FGD3;PAK1;TMSB4X;CFL1;GNA12;PIP4K2C;VCL
KEGG_2021_Human	Acute myeloid leukemia	5/67	1.695731e-01	9.996324e-01	0	0	1.764935e+00	3.131825e+00	IKBKB;TCF7L1;CCND1;BAD;RPS6KB2
KEGG_2021_Human	Colorectal cancer	6/86	1.750597e-01	9.996324e-01	0	0	1.641724e+00	2.860915e+00	MSH6;TCF7L1;CCND1;BAD;RPS6KB2;TGFA
KEGG_2021_Human	Amyotrophic lateral sclerosis	20/364	1.770450e-01	9.996324e-01	0	0	1.275538e+00	2.208404e+00	POM121;DNAH10;DNAH7;NDUFA5;BAD;ADRM1;WDR41;NDUFB1;ATG14;KLC1;ACTB;TUBA4A;GRIN2D;ACTG1;PSMD8;ERN1;GRIN2A;TUBB2B;POM121C;NEFM
KEGG_2021_Human	Gap junction	6/88	1.882305e-01	9.996324e-01	0	0	1.601514e+00	2.674669e+00	PDGFRA;TUBB2B;ITPR1;HTR2C;TUBA4A;ADCY6
KEGG_2021_Human	Phospholipase D signaling pathway	9/148	2.015670e-01	9.996324e-01	0	0	1.417814e+00	2.270818e+00	AGPAT5;PDGFRA;DGKB;GNA12;TSC1;PLD1;DNM1;ADCY6;DNM2
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	4/53	2.016333e-01	9.996324e-01	0	0	1.785714e+00	2.859473e+00	CALB1;DNM1;ADCY6;DNM2
KEGG_2021_Human	Hypertrophic cardiomyopathy	6/90	2.017704e-01	9.996324e-01	0	0	1.563218e+00	2.502126e+00	SGCA;LAMA2;CACNA1C;ACTB;ACTG1;TTN
KEGG_2021_Human	Melanoma	5/72	2.074811e-01	9.996324e-01	0	0	1.632795e+00	2.567921e+00	PDGFRA;CCND1;BAD;CDKN2A;FGF1
KEGG_2021_Human	Fanconi anemia pathway	4/54	2.108232e-01	9.996324e-01	0	0	1.749908e+00	2.724144e+00	PMS2;HES1;FANCC;BRCA1
KEGG_2021_Human	Th1 and Th2 cell differentiation	6/92	2.156525e-01	9.996324e-01	0	0	1.526704e+00	2.342097e+00	IKBKB;IL5;MAML2;IFNGR2;RBPJ;DLL3
KEGG_2021_Human	One carbon pool by folate	2/20	2.176221e-01	9.996324e-01	0	0	2.428935e+00	3.704114e+00	ALDH1L1;MTHFD1
KEGG_2021_Human	GnRH signaling pathway	6/93	2.227133e-01	9.996324e-01	0	0	1.509076e+00	2.266437e+00	MMP2;GNRHR;ITPR1;CACNA1C;PLD1;ADCY6
KEGG_2021_Human	PPAR signaling pathway	5/74	2.233649e-01	9.996324e-01	0	0	1.585301e+00	2.376284e+00	FABP3;FABP7;SCD5;SLC27A6;ANGPTL4
KEGG_2021_Human	Glioma	5/75	2.314405e-01	9.996324e-01	0	0	1.562572e+00	2.286718e+00	PDGFRA;CCND1;CDKN2A;TGFA;CAMK1
KEGG_2021_Human	Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	2.356755e-01	9.996324e-01	0	0	4.370057e+00	6.316040e+00	PAH
KEGG_2021_Human	Gastric acid secretion	5/76	2.395981e-01	9.996324e-01	0	0	1.540483e+00	2.201030e+00	ITPR1;ACTB;ADCY6;ACTG1;MYLK
KEGG_2021_Human	Phosphatidylinositol signaling system	6/97	2.516710e-01	9.996324e-01	0	0	1.442440e+00	1.990038e+00	DGKB;INPP1;ITPK1;ITPR1;PIP4K2C;SYNJ2
KEGG_2021_Human	Prostate cancer	6/97	2.516710e-01	9.996324e-01	0	0	1.442440e+00	1.990038e+00	IKBKB;PDGFRA;TCF7L1;CCND1;BAD;TGFA
KEGG_2021_Human	Insulin signaling pathway	8/137	2.524602e-01	9.996324e-01	0	0	1.357125e+00	1.868085e+00	IKBKB;SREBF1;G6PC2;PHKG1;BAD;RPS6KB2;TSC1;PYGL
KEGG_2021_Human	Calcium signaling pathway	13/240	2.548029e-01	9.996324e-01	0	0	1.254006e+00	1.714558e+00	PDGFRA;NTRK3;ITPR1;HTR2C;CACNA1C;FGF1;TPCN2;MYLK;GRIN2D;GRIN2A;STIM1;PHKG1;CAMK1
KEGG_2021_Human	Choline metabolism in cancer	6/98	2.590711e-01	9.996324e-01	0	0	1.426687e+00	1.926958e+00	SLC22A4;PDGFRA;DGKB;RPS6KB2;TSC1;PLD1
KEGG_2021_Human	Bladder cancer	3/41	2.668962e-01	9.996324e-01	0	0	1.725990e+00	2.279852e+00	CCND1;CDKN2A;MMP2
KEGG_2021_Human	Ferroptosis	3/41	2.668962e-01	9.996324e-01	0	0	1.725990e+00	2.279852e+00	LPCAT3;PCBP2;SLC39A14
KEGG_2021_Human	Protein export	2/23	2.669555e-01	9.996324e-01	0	0	2.081617e+00	2.749136e+00	SPCS2;SRP54
KEGG_2021_Human	Axon guidance	10/182	2.763393e-01	9.996324e-01	0	0	1.272356e+00	1.636410e+00	SEMA5A;TRPC5;ABLIM1;PAK1;RASA1;CFL1;PARD6G;SRGAP3;PLXNA4;PLXNA3
KEGG_2021_Human	Apoptosis	8/142	2.838018e-01	9.996324e-01	0	0	1.306142e+00	1.645059e+00	ERN1;IKBKB;BAD;ITPR1;CTSV;ACTB;TUBA4A;ACTG1
KEGG_2021_Human	Human papillomavirus infection	17/331	2.842317e-01	9.996324e-01	0	0	1.185536e+00	1.491364e+00	MAGI1;TCF7L1;MAML2;LAMA2;BAD;STAT2;PARD6G;TSC1;RBPJ;TUBG1;IKBKB;CCND1;IRF3;IRF1;HEY2;RPS6KB2;HES1
KEGG_2021_Human	Spinocerebellar ataxia	8/143	2.901906e-01	9.996324e-01	0	0	1.296399e+00	1.603927e+00	PSMD8;ERN1;GRIN2A;ADRM1;ITPR1;RBPJ;ATG14;GRIN2D
KEGG_2021_Human	Platelet activation	7/124	3.008462e-01	9.996324e-01	0	0	1.308597e+00	1.571830e+00	P2RY12;STIM1;ITPR1;ACTB;ADCY6;ACTG1;MYLK
KEGG_2021_Human	C-type lectin receptor signaling pathway	6/104	3.045401e-01	9.996324e-01	0	0	1.338916e+00	1.591908e+00	IKBKB;PAK1;IRF1;STAT2;ITPR1;MALT1
KEGG_2021_Human	Basal transcription factors	3/45	3.152274e-01	9.996324e-01	0	0	1.561283e+00	1.802440e+00	TAF7L;CDK7;TAF1
KEGG_2021_Human	Breast cancer	8/147	3.160761e-01	9.996324e-01	0	0	1.258827e+00	1.449882e+00	TCF7L1;CCND1;HEY2;RPS6KB2;HES1;BRCA1;FGF1;DLL3
KEGG_2021_Human	Maturity onset diabetes of the young	2/26	3.162642e-01	9.996324e-01	0	0	1.821129e+00	2.096442e+00	HES1;NKX2-2
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	6/106	3.200162e-01	9.996324e-01	0	0	1.312000e+00	1.494872e+00	MMP16;GNA12;ITPR1;PDE4B;PLD1;ADCY6
KEGG_2021_Human	Type II diabetes mellitus	3/46	3.273650e-01	9.996324e-01	0	0	1.524894e+00	1.702818e+00	IKBKB;KCNJ11;CACNA1C
KEGG_2021_Human	Long-term potentiation	4/67	3.377063e-01	9.996324e-01	0	0	1.387870e+00	1.506642e+00	GRIN2A;ITPR1;CACNA1C;GRIN2D
