Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	regulation of nucleobase-containing compound metabolic process (GO:0019219)	6/12	5.111019e-06	1.498040e-02	0	0	2.197471e+01	2.677424e+02	NOVA1;PCBP4;RASA1;PCBP2;IGF2BP3;IGF2BP2
MSigDB_Hallmark_2020	early endosome to late endosome transport (GO:0045022)	5/20	1.425660e-03	8.535540e-01	0	0	7.313050e+00	4.792330e+01	HOOK1;WDR91;EMP2;HOOK3;SNF8
MSigDB_Hallmark_2020	autonomic nervous system development (GO:0048483)	5/21	1.804370e-03	8.535540e-01	0	0	6.855626e+00	4.331072e+01	ARX;SOX11;ASCL1;SOX10;SOX4
MSigDB_Hallmark_2020	regulation of mesenchymal stem cell differentiation (GO:2000739)	3/7	2.566989e-03	8.535540e-01	0	0	1.642612e+01	9.798214e+01	PDGFRA;LTBP3;SOX9
MSigDB_Hallmark_2020	noradrenergic neuron differentiation (GO:0003357)	3/7	2.566989e-03	8.535540e-01	0	0	1.642612e+01	9.798214e+01	SOX11;ASCL1;SOX4
MSigDB_Hallmark_2020	positive regulation of adenylate cyclase activity (GO:0045762)	3/7	2.566989e-03	8.535540e-01	0	0	1.642612e+01	9.798214e+01	STIM1;AKAP5;CACNA1C
MSigDB_Hallmark_2020	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	5/23	2.774803e-03	8.535540e-01	0	0	6.093252e+00	3.587204e+01	IFNGR2;NR1H2;NLRC5;PARP14;PARP9
MSigDB_Hallmark_2020	negative regulation of transcription regulatory region DNA binding (GO:2000678)	4/16	4.361233e-03	8.535540e-01	0	0	7.305810e+00	3.970708e+01	TMSB4X;HEY2;SOX11;TAF1
MSigDB_Hallmark_2020	regulation of cholesterol biosynthetic process (GO:0045540)	4/17	5.507846e-03	8.535540e-01	0	0	6.743472e+00	3.507672e+01	MBTPS1;SREBF1;LPCAT3;FGF1
MSigDB_Hallmark_2020	regulation of sterol biosynthetic process (GO:0106118)	3/9	5.767912e-03	8.535540e-01	0	0	1.094960e+01	5.645006e+01	MBTPS1;SREBF1;LPCAT3
MSigDB_Hallmark_2020	regulation of catabolic process (GO:0009894)	4/18	6.839407e-03	8.535540e-01	0	0	6.261468e+00	3.121376e+01	ODC1;CENATAC;SNF8;TMEM9
MSigDB_Hallmark_2020	regulation of telomerase RNA localization to Cajal body (GO:1904872)	4/18	6.839407e-03	8.535540e-01	0	0	6.261468e+00	3.121376e+01	CCT6A;PARN;CCT8;CCT5
MSigDB_Hallmark_2020	regulation of cell-matrix adhesion (GO:0001952)	8/65	7.274754e-03	8.535540e-01	0	0	3.083030e+00	1.517882e+01	MACF1;CDKN2A;RASA1;EMP2;TSC1;PLET1;VCL;ACTG1
MSigDB_Hallmark_2020	regulation of cellular catabolic process (GO:0031329)	8/65	7.274754e-03	8.535540e-01	0	0	3.083030e+00	1.517882e+01	USP13;DRAM1;WDR91;WDR41;ITPR1;PIP4K2C;DEPP1;TPCN2
