Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,regulation of nucleobase-containing compound metabolic process (GO:0019219),6/12,5.1110187131170535e-06,0.014980395848146,0,0,21.97471264367816,267.7423559935729,NOVA1;PCBP4;RASA1;PCBP2;IGF2BP3;IGF2BP2
MSigDB_Hallmark_2020,early endosome to late endosome transport (GO:0045022),5/20,0.0014256598173014,0.8535539667024155,0,0,7.313050133945656,47.92329906285772,HOOK1;WDR91;EMP2;HOOK3;SNF8
MSigDB_Hallmark_2020,autonomic nervous system development (GO:0048483),5/21,0.001804369615827,0.8535539667024155,0,0,6.855625717566016,43.31071706002349,ARX;SOX11;ASCL1;SOX10;SOX4
MSigDB_Hallmark_2020,regulation of mesenchymal stem cell differentiation (GO:2000739),3/7,0.0025669889588475,0.8535539667024155,0,0,16.42611683848797,97.98214303172983,PDGFRA;LTBP3;SOX9
MSigDB_Hallmark_2020,noradrenergic neuron differentiation (GO:0003357),3/7,0.0025669889588475,0.8535539667024155,0,0,16.42611683848797,97.98214303172983,SOX11;ASCL1;SOX4
MSigDB_Hallmark_2020,positive regulation of adenylate cyclase activity (GO:0045762),3/7,0.0025669889588475,0.8535539667024155,0,0,16.42611683848797,97.98214303172983,STIM1;AKAP5;CACNA1C
MSigDB_Hallmark_2020,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),5/23,0.0027748032335511,0.8535539667024155,0,0,6.093251690266616,35.872041707538116,IFNGR2;NR1H2;NLRC5;PARP14;PARP9
MSigDB_Hallmark_2020,negative regulation of transcription regulatory region DNA binding (GO:2000678),4/16,0.0043612327647831,0.8535539667024155,0,0,7.3058103975535165,39.7070832905068,TMSB4X;HEY2;SOX11;TAF1
MSigDB_Hallmark_2020,regulation of cholesterol biosynthetic process (GO:0045540),4/17,0.0055078462553371,0.8535539667024155,0,0,6.743472124206069,35.07672059879612,MBTPS1;SREBF1;LPCAT3;FGF1
MSigDB_Hallmark_2020,regulation of sterol biosynthetic process (GO:0106118),3/9,0.0057679118361889,0.8535539667024155,0,0,10.949599083619702,56.45005764452865,MBTPS1;SREBF1;LPCAT3
MSigDB_Hallmark_2020,regulation of catabolic process (GO:0009894),4/18,0.0068394071570849,0.8535539667024155,0,0,6.261467889908257,31.213756953307943,ODC1;CENATAC;SNF8;TMEM9
