Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Mismatch repair	4/23	3.135395e-03	7.148701e-01	0	0	7.606731e+00	4.385280e+01	MSH6;RFC4;RFC1;PMS2
GO_Biological_Process_2021	GnRH secretion	5/64	2.956082e-02	9.976402e-01	0	0	3.061421e+00	1.078020e+01	TRPC5;KCNJ11;ITPR1;CACNA1C;KCNN3
GO_Biological_Process_2021	Fanconi anemia pathway	4/54	5.832081e-02	9.976402e-01	0	0	2.885948e+00	8.201276e+00	PMS2;HES1;FANCC;BRCA1
GO_Biological_Process_2021	Calcium signaling pathway	11/240	6.322189e-02	9.976402e-01	0	0	1.739480e+00	4.802886e+00	GRIN2A;PHKG1;NTRK3;ITPR1;HTR2C;CAMK1;CACNA1C;FGF1;TPCN2;MYLK;GRIN2D
GO_Biological_Process_2021	Glutamatergic synapse	6/114	8.979924e-02	9.976402e-01	0	0	2.005597e+00	4.833847e+00	GRIN2A;GRIK5;ITPR1;CACNA1C;GLUL;GRIN2D
GO_Biological_Process_2021	Nicotine addiction	3/40	9.366390e-02	9.976402e-01	0	0	2.921476e+00	6.918180e+00	GRIN2A;GABRA4;GRIN2D
GO_Biological_Process_2021	One carbon pool by folate	2/20	1.010886e-01	9.976402e-01	0	0	4.000000e+00	9.167030e+00	ALDH1L1;MTHFD1
GO_Biological_Process_2021	Long-term potentiation	4/67	1.082494e-01	9.976402e-01	0	0	2.288901e+00	5.088954e+00	GRIN2A;ITPR1;CACNA1C;GRIN2D
GO_Biological_Process_2021	Basal transcription factors	3/45	1.221797e-01	9.976402e-01	0	0	2.573019e+00	5.409161e+00	TAF7L;CDK7;TAF1
GO_Biological_Process_2021	Nucleotide excision repair	3/47	1.343735e-01	9.976402e-01	0	0	2.455810e+00	4.929135e+00	CDK7;RFC4;RFC1
GO_Biological_Process_2021	Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	1.519912e-01	9.976402e-01	0	0	7.191497e+00	1.354829e+01	PAH
GO_Biological_Process_2021	Bacterial invasion of epithelial cells	4/77	1.561210e-01	9.976402e-01	0	0	1.974334e+00	3.666584e+00	SEPTIN9;DNM1;VCL;DNM2
GO_Biological_Process_2021	Synaptic vesicle cycle	4/78	1.612881e-01	9.976402e-01	0	0	1.947554e+00	3.553434e+00	STX1B;SYT1;DNM1;DNM2
GO_Biological_Process_2021	Insulin signaling pathway	6/137	1.685166e-01	9.976402e-01	0	0	1.651504e+00	2.940868e+00	SREBF1;G6PC2;PHKG1;RPS6KB2;TSC1;PYGL
GO_Biological_Process_2021	Insulin resistance	5/108	1.696587e-01	9.976402e-01	0	0	1.749652e+00	3.103824e+00	SREBF1;G6PC2;TBC1D4;RPS6KB2;PYGL
GO_Biological_Process_2021	Endocrine and other factor-regulated calcium reabsorption	3/53	1.732143e-01	9.976402e-01	0	0	2.160445e+00	3.787749e+00	CALB1;DNM1;DNM2
GO_Biological_Process_2021	Serotonergic synapse	5/113	1.926041e-01	9.976402e-01	0	0	1.668218e+00	2.747753e+00	HTR1F;ITPR1;HTR2C;ALOX12;CACNA1C
GO_Biological_Process_2021	Glyoxylate and dicarboxylate metabolism	2/30	1.948682e-01	9.976402e-01	0	0	2.570106e+00	4.203232e+00	MCEE;GLUL
GO_Biological_Process_2021	Herpes simplex virus 1 infection	17/498	1.967911e-01	9.976402e-01	0	0	1.277533e+00	2.076774e+00	ZNF133;ZNF550;ZNF790;ZNF184;IFNGR2;STAT2;TSC1;ZFP69;ZNF568;ZNF546;SRSF5;ZNF555;ZNF235;ZNF850;ZNF233;ZNF211;ZNF552
GO_Biological_Process_2021	SNARE interactions in vesicular transport	2/33	2.248309e-01	9.976402e-01	0	0	2.321027e+00	3.463917e+00	STX1B;VAMP1
GO_Biological_Process_2021	Hypertrophic cardiomyopathy	4/90	2.275308e-01	9.976402e-01	0	0	1.674764e+00	2.479438e+00	SGCA;LAMA2;CACNA1C;TTN
GO_Biological_Process_2021	Endocytosis	9/252	2.458867e-01	9.976402e-01	0	0	1.335210e+00	1.873145e+00	IQSEC2;PSD2;GRK4;WWP1;RBSN;IGF2R;DNM1;EPN1;DNM2
GO_Biological_Process_2021	DNA replication	2/36	2.550999e-01	9.976402e-01	0	0	2.115904e+00	2.890537e+00	RFC4;RFC1
GO_Biological_Process_2021	Starch and sucrose metabolism	2/36	2.550999e-01	9.976402e-01	0	0	2.115904e+00	2.890537e+00	G6PC2;PYGL
GO_Biological_Process_2021	Cortisol synthesis and secretion	3/65	2.580768e-01	9.976402e-01	0	0	1.741217e+00	2.358475e+00	ITPR1;CACNA1C;PDE8A
GO_Biological_Process_2021	Dilated cardiomyopathy	4/96	2.629048e-01	9.976402e-01	0	0	1.565056e+00	2.090857e+00	SGCA;LAMA2;CACNA1C;TTN
GO_Biological_Process_2021	Circadian entrainment	4/97	2.689028e-01	9.976402e-01	0	0	1.548147e+00	2.033345e+00	GRIN2A;ITPR1;CACNA1C;GRIN2D
GO_Biological_Process_2021	Phosphatidylinositol signaling system	4/97	2.689028e-01	9.976402e-01	0	0	1.548147e+00	2.033345e+00	ITPK1;ITPR1;PIP4K2C;SYNJ2
GO_Biological_Process_2021	Amphetamine addiction	3/69	2.875822e-01	9.976402e-01	0	0	1.635352e+00	2.038051e+00	GRIN2A;CACNA1C;GRIN2D
GO_Biological_Process_2021	Ferroptosis	2/41	3.056054e-01	9.976402e-01	0	0	1.844160e+00	2.186178e+00	LPCAT3;SLC39A14
GO_Biological_Process_2021	C-type lectin receptor signaling pathway	4/104	3.114600e-01	9.976402e-01	0	0	1.439257e+00	1.678870e+00	PAK1;IRF1;STAT2;ITPR1
GO_Biological_Process_2021	Autophagy	5/137	3.142391e-01	9.976402e-01	0	0	1.363213e+00	1.578057e+00	RPS6KB2;ITPR1;WDR41;TSC1;ATG14
GO_Biological_Process_2021	Inositol phosphate metabolism	3/73	3.173262e-01	9.976402e-01	0	0	1.541585e+00	1.769470e+00	ITPK1;PIP4K2C;SYNJ2
GO_Biological_Process_2021	Glucagon signaling pathway	4/107	3.299056e-01	9.976402e-01	0	0	1.397120e+00	1.549334e+00	G6PC2;PHKG1;ITPR1;PYGL
GO_Biological_Process_2021	Arrhythmogenic right ventricular cardiomyopathy	3/77	3.471143e-01	9.976402e-01	0	0	1.457955e+00	1.542664e+00	SGCA;LAMA2;CACNA1C
GO_Biological_Process_2021	Type II diabetes mellitus	2/46	3.554407e-01	9.976402e-01	0	0	1.634175e+00	1.690386e+00	KCNJ11;CACNA1C
GO_Biological_Process_2021	Breast cancer	5/147	3.678885e-01	9.976402e-01	0	0	1.266557e+00	1.266525e+00	HEY2;RPS6KB2;HES1;BRCA1;FGF1
GO_Biological_Process_2021	cAMP signaling pathway	7/216	3.697048e-01	9.976402e-01	0	0	1.205053e+00	1.199088e+00	GRIN2A;PAK1;HTR1F;HHIP;SOX9;CACNA1C;GRIN2D
GO_Biological_Process_2021	Axon guidance	6/182	3.718891e-01	9.976402e-01	0	0	1.226382e+00	1.213088e+00	TRPC5;ABLIM1;PAK1;RASA1;SRGAP3;PLXNA4
GO_Biological_Process_2021	Nitrogen metabolism	1/17	3.732742e-01	9.976402e-01	0	0	2.246072e+00	2.213374e+00	GLUL
GO_Biological_Process_2021	Phenylalanine metabolism	1/17	3.732742e-01	9.976402e-01	0	0	2.246072e+00	2.213374e+00	PAH
GO_Biological_Process_2021	Valine, leucine and isoleucine degradation	2/48	3.750330e-01	9.976402e-01	0	0	1.562963e+00	1.532862e+00	MCEE;MCCC1
GO_Biological_Process_2021	Regulation of actin cytoskeleton	7/218	3.785668e-01	9.976402e-01	0	0	1.193507e+00	1.159328e+00	PAK1;TMSB4X;GNA12;PIP4K2C;FGF1;VCL;MYLK
GO_Biological_Process_2021	Cocaine addiction	2/49	3.847380e-01	9.976402e-01	0	0	1.529630e+00	1.461091e+00	GRIN2A;GRIN2D
GO_Biological_Process_2021	Cysteine and methionine metabolism	2/50	3.943769e-01	9.976402e-01	0	0	1.497685e+00	1.393518e+00	AHCYL1;APIP
