Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Shigellosis	11/246	3.023893e-03	6.176880e-01	0	0	2.807066e+00	1.628438e+01	IKBKB;UBB;IRF3;TAB3;U2AF1;ARPC5;FNBP1L;ACTB;MALT1;H3-3B;ACTG1
KEGG_2021_Human	Prostate cancer	6/97	5.827245e-03	6.176880e-01	0	0	3.922776e+00	2.018351e+01	IKBKB;PDGFRA;TCF7L1;CCND1;BAD;TGFA
KEGG_2021_Human	Pancreatic cancer	5/76	8.965969e-03	6.335951e-01	0	0	4.181391e+00	1.971241e+01	IKBKB;CCND1;BAD;TGFA;PLD1
KEGG_2021_Human	Notch signaling pathway	4/59	1.709346e-02	6.862697e-01	0	0	4.308706e+00	1.753238e+01	NCSTN;MAML2;RBPJ;DLL3
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	5/97	2.361024e-02	6.862697e-01	0	0	3.223485e+00	1.207541e+01	MARCKSL1;MARCKS;CFL1;ARPC5;PLD1
KEGG_2021_Human	Tight junction	7/169	2.401461e-02	6.862697e-01	0	0	2.569275e+00	9.581065e+00	MAGI1;CCND1;PARD6G;AMOTL2;ARPC5;ACTB;ACTG1
KEGG_2021_Human	Acute myeloid leukemia	4/67	2.596771e-02	6.862697e-01	0	0	3.760035e+00	1.372751e+01	IKBKB;TCF7L1;CCND1;BAD
KEGG_2021_Human	Apoptosis	6/142	3.255924e-02	6.862697e-01	0	0	2.618765e+00	8.968467e+00	ERN1;IKBKB;BAD;CTSV;ACTB;ACTG1
KEGG_2021_Human	Human papillomavirus infection	10/331	5.303492e-02	6.862697e-01	0	0	1.854206e+00	5.445440e+00	IKBKB;MAGI1;TCF7L1;MAML2;CCND1;IRF3;BAD;PARD6G;RBPJ;TUBG1
KEGG_2021_Human	Epstein-Barr virus infection	7/202	5.418909e-02	6.862697e-01	0	0	2.130863e+00	6.212053e+00	PSMD8;IKBKB;CCND1;IRF3;ADRM1;CALR;RBPJ
KEGG_2021_Human	Viral carcinogenesis	7/203	5.535952e-02	6.862697e-01	0	0	2.119882e+00	6.134742e+00	CCND1;YWHAQ;IRF3;BAD;HDAC11;RBPJ;H4C3
KEGG_2021_Human	Colorectal cancer	4/86	5.644551e-02	6.862697e-01	0	0	2.886007e+00	8.295768e+00	TCF7L1;CCND1;BAD;TGFA
KEGG_2021_Human	Hippo signaling pathway	6/163	5.685426e-02	6.862697e-01	0	0	2.266045e+00	6.497348e+00	TCF7L1;CCND1;YWHAQ;PARD6G;ACTB;ACTG1
KEGG_2021_Human	Parkinson disease	8/249	5.916991e-02	6.862697e-01	0	0	1.971805e+00	5.574966e+00	PSMD8;ERN1;TUBB2B;UBB;NDUFA5;ADRM1;NDUFB1;UBE2J1
KEGG_2021_Human	Endocytosis	8/252	6.254650e-02	6.862697e-01	0	0	1.947260e+00	5.397504e+00	PDGFRA;PARD6G;SNF8;ARPC5;VPS37B;PLD1;VPS28;HSPA1A
KEGG_2021_Human	Hepatocellular carcinoma	6/168	6.390024e-02	6.862697e-01	0	0	2.195542e+00	6.038690e+00	TCF7L1;CCND1;BAD;TGFA;ACTB;ACTG1
KEGG_2021_Human	Th1 and Th2 cell differentiation	4/92	6.883823e-02	6.862697e-01	0	0	2.688410e+00	7.194174e+00	IKBKB;MAML2;RBPJ;DLL3
KEGG_2021_Human	Endometrial cancer	3/58	7.330335e-02	6.862697e-01	0	0	3.221796e+00	8.419034e+00	TCF7L1;CCND1;BAD
KEGG_2021_Human	Viral myocarditis	3/60	7.937960e-02	6.862697e-01	0	0	3.108434e+00	7.875260e+00	CCND1;ACTB;ACTG1
KEGG_2021_Human	Yersinia infection	5/137	8.077213e-02	6.862697e-01	0	0	2.242080e+00	5.641349e+00	IKBKB;IRF3;ARPC5;ACTB;ACTG1
KEGG_2021_Human	Glycerophospholipid metabolism	4/98	8.251175e-02	6.862697e-01	0	0	2.516038e+00	6.277048e+00	AGPAT5;DGKB;LPCAT1;PLD1
KEGG_2021_Human	Fluid shear stress and atherosclerosis	5/139	8.469927e-02	6.862697e-01	0	0	2.208390e+00	5.451738e+00	IKBKB;MMP2;GPC1;ACTB;ACTG1
KEGG_2021_Human	Measles	5/139	8.469927e-02	6.862697e-01	0	0	2.208390e+00	5.451738e+00	IKBKB;CCND1;IRF3;BAD;HSPA1A
KEGG_2021_Human	Cytosolic DNA-sensing pathway	3/63	8.888849e-02	6.862697e-01	0	0	2.952560e+00	7.146296e+00	IKBKB;IRF3;POLR2L
KEGG_2021_Human	Alzheimer disease	10/369	9.316882e-02	6.862697e-01	0	0	1.654682e+00	3.927126e+00	PSMD8;IKBKB;ERN1;NCSTN;TUBB2B;NDUFA5;BAD;ADRM1;NOX4;NDUFB1
KEGG_2021_Human	RNA polymerase	2/31	9.470444e-02	6.862697e-01	0	0	4.066687e+00	9.585160e+00	POLR2J;POLR2L
KEGG_2021_Human	Thermogenesis	7/232	9.616529e-02	6.862697e-01	0	0	1.843902e+00	4.317842e+00	NDUFAF8;KDM3B;NDUFA5;NDUFB1;ACTB;ADCY6;ACTG1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	4/106	1.026410e-01	6.862697e-01	0	0	2.317754e+00	5.276408e+00	MMP16;PDE4B;PLD1;ADCY6
KEGG_2021_Human	Phospholipase D signaling pathway	5/148	1.035810e-01	6.862697e-01	0	0	2.068447e+00	4.689998e+00	AGPAT5;PDGFRA;DGKB;PLD1;ADCY6
KEGG_2021_Human	Pathogenic Escherichia coli infection	6/197	1.143383e-01	6.862697e-01	0	0	1.859419e+00	4.032323e+00	IKBKB;TUBB2B;TAB3;ARPC5;ACTB;ACTG1
KEGG_2021_Human	Adherens junction	3/71	1.163858e-01	6.862697e-01	0	0	2.604137e+00	5.601094e+00	TCF7L1;ACTB;ACTG1
KEGG_2021_Human	Melanoma	3/72	1.200248e-01	6.862697e-01	0	0	2.566265e+00	5.440627e+00	PDGFRA;CCND1;BAD
KEGG_2021_Human	Non-small cell lung cancer	3/72	1.200248e-01	6.862697e-01	0	0	2.566265e+00	5.440627e+00	CCND1;BAD;TGFA
KEGG_2021_Human	Hepatitis C	5/157	1.243603e-01	6.862697e-01	0	0	1.945076e+00	4.054650e+00	IKBKB;CCND1;YWHAQ;IRF3;BAD
KEGG_2021_Human	Salmonella infection	7/249	1.261564e-01	6.862697e-01	0	0	1.712873e+00	3.546046e+00	IKBKB;TUBB2B;TCF7L1;TAB3;ARPC5;ACTB;ACTG1
KEGG_2021_Human	Thyroid cancer	2/37	1.272350e-01	6.862697e-01	0	0	3.368511e+00	6.944925e+00	TCF7L1;CCND1
KEGG_2021_Human	PPAR signaling pathway	3/74	1.274267e-01	6.862697e-01	0	0	2.493721e+00	5.137600e+00	FABP7;SCD5;SLC27A6
KEGG_2021_Human	Glioma	3/75	1.311876e-01	6.862697e-01	0	0	2.458961e+00	4.994462e+00	PDGFRA;CCND1;TGFA
KEGG_2021_Human	Chronic myeloid leukemia	3/76	1.349871e-01	6.862697e-01	0	0	2.425153e+00	4.856552e+00	IKBKB;CCND1;BAD
KEGG_2021_Human	Gastric acid secretion	3/76	1.349871e-01	6.862697e-01	0	0	2.425153e+00	4.856552e+00	ACTB;ADCY6;ACTG1
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	3/77	1.388243e-01	6.862697e-01	0	0	2.392258e+00	4.723624e+00	TCF7L1;ACTB;ACTG1
KEGG_2021_Human	Bacterial invasion of epithelial cells	3/77	1.388243e-01	6.862697e-01	0	0	2.392258e+00	4.723624e+00	ARPC5;ACTB;ACTG1
KEGG_2021_Human	Rap1 signaling pathway	6/210	1.419759e-01	6.862697e-01	0	0	1.739764e+00	3.396190e+00	MAGI1;PDGFRA;PARD6G;ACTB;ADCY6;ACTG1
KEGG_2021_Human	Huntington disease	8/306	1.434596e-01	6.862697e-01	0	0	1.589968e+00	3.087243e+00	PSMD8;ERN1;TUBB2B;NDUFA5;ADRM1;NDUFB1;POLR2J;POLR2L
KEGG_2021_Human	Thyroid hormone signaling pathway	4/121	1.456705e-01	6.862697e-01	0	0	2.019056e+00	3.889527e+00	CCND1;BAD;ACTB;ACTG1
KEGG_2021_Human	Bladder cancer	2/41	1.501642e-01	6.920609e-01	0	0	3.022407e+00	5.730563e+00	CCND1;MMP2
KEGG_2021_Human	Platelet activation	4/124	1.550122e-01	6.938834e-01	0	0	1.968278e+00	3.669364e+00	STIM1;ACTB;ADCY6;ACTG1
KEGG_2021_Human	Amyotrophic lateral sclerosis	9/364	1.593308e-01	6.938834e-01	0	0	1.501685e+00	2.758254e+00	PSMD8;ERN1;TUBB2B;NDUFA5;BAD;ADRM1;NDUFB1;ACTB;ACTG1
KEGG_2021_Human	Regulation of actin cytoskeleton	6/218	1.603787e-01	6.938834e-01	0	0	1.673424e+00	3.062730e+00	FGD3;PDGFRA;CFL1;ARPC5;ACTB;ACTG1
KEGG_2021_Human	Taurine and hypotaurine metabolism	1/11	1.696076e-01	7.191363e-01	0	0	5.884731e+00	1.044109e+01	CSAD
KEGG_2021_Human	Prion disease	7/273	1.754816e-01	7.193500e-01	0	0	1.556402e+00	2.708484e+00	PSMD8;TUBB2B;NDUFA5;BAD;ADRM1;NDUFB1;HSPA1A
KEGG_2021_Human	Human cytomegalovirus infection	6/225	1.772813e-01	7.193500e-01	0	0	1.619353e+00	2.801509e+00	IKBKB;PDGFRA;CCND1;IRF3;CALR;ADCY6
KEGG_2021_Human	Proteasome	2/46	1.798375e-01	7.193500e-01	0	0	2.678269e+00	4.595111e+00	PSMD8;ADRM1
KEGG_2021_Human	Gap junction	3/88	1.832375e-01	7.193770e-01	0	0	2.081502e+00	3.532251e+00	PDGFRA;TUBB2B;ADCY6
KEGG_2021_Human	Estrogen signaling pathway	4/137	1.978584e-01	7.245685e-01	0	0	1.774709e+00	2.875390e+00	MMP2;TGFA;ADCY6;HSPA1A
KEGG_2021_Human	Ether lipid metabolism	2/49	1.980373e-01	7.245685e-01	0	0	2.506932e+00	4.059475e+00	LPCAT1;PLD1
KEGG_2021_Human	Cholesterol metabolism	2/50	2.041536e-01	7.245685e-01	0	0	2.454580e+00	3.900039e+00	STARD3;TSPO
KEGG_2021_Human	Vibrio cholerae infection	2/50	2.041536e-01	7.245685e-01	0	0	2.454580e+00	3.900039e+00	ACTB;ACTG1
KEGG_2021_Human	GnRH signaling pathway	3/93	2.045405e-01	7.245685e-01	0	0	1.965361e+00	3.119007e+00	MMP2;PLD1;ADCY6
KEGG_2021_Human	Neutrophil extracellular trap formation	5/189	2.113404e-01	7.245685e-01	0	0	1.604167e+00	2.493333e+00	HDAC11;H4C3;ACTB;ACTG1;H3-3B
KEGG_2021_Human	Chemical carcinogenesis	6/239	2.130892e-01	7.245685e-01	0	0	1.520957e+00	2.351467e+00	CCND1;CHRNA4;BAD;EPHX4;ADCY6;DLL3
KEGG_2021_Human	Herpes simplex virus 1 infection	11/498	2.155951e-01	7.245685e-01	0	0	1.336971e+00	2.051386e+00	IKBKB;ZNF320;IRF3;BAD;ZNF658;ZNF701;ZNF557;CALR;ZNF699;ZNF676;ZNF761
KEGG_2021_Human	Dilated cardiomyopathy	3/96	2.175848e-01	7.245685e-01	0	0	1.901671e+00	2.900366e+00	ACTB;ADCY6;ACTG1
