Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	cellular response to chemical stress (GO:0062197)	17/101	2.449547e-04	4.510271e-01	0	0	2.953715e+00	2.455848e+01	TMEM161A;GPX1;PARP1;GSTP1;TXNRD1;PYCR1;PRR5L;ZFAND1;SIRT2;PRDX1;CAT;NOX4;LRRC8D;PPIA;STOX1;SLC25A24;HSPA1A
PanglaoDB_Augmented_2021	peptidyl-L-cysteine S-palmitoylation (GO:0018230)	7/23	4.541787e-04	4.510271e-01	0	0	6.358719e+00	4.894319e+01	CLIP3;ZDHHC6;ZDHHC21;ZDHHC1;ZDHHC11B;GOLGA7;ZDHHC3
PanglaoDB_Augmented_2021	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	7/23	4.541787e-04	4.510271e-01	0	0	6.358719e+00	4.894319e+01	CLIP3;ZDHHC6;ZDHHC21;ZDHHC1;ZDHHC11B;GOLGA7;ZDHHC3
PanglaoDB_Augmented_2021	protein palmitoylation (GO:0018345)	8/31	6.168587e-04	4.510271e-01	0	0	5.057418e+00	3.737872e+01	CLIP3;PORCN;ZDHHC6;ZDHHC21;ZDHHC1;GOLGA7;ZDHHC11B;ZDHHC3
PanglaoDB_Augmented_2021	macromolecule depalmitoylation (GO:0098734)	4/8	9.858546e-04	4.510271e-01	0	0	1.450970e+01	1.004361e+02	ABHD10;ABHD17B;PPT1;LYPLAL1
PanglaoDB_Augmented_2021	protein depalmitoylation (GO:0002084)	4/8	9.858546e-04	4.510271e-01	0	0	1.450970e+01	1.004361e+02	ABHD10;ABHD17B;PPT1;LYPLAL1
PanglaoDB_Augmented_2021	regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	4/8	9.858546e-04	4.510271e-01	0	0	1.450970e+01	1.004361e+02	EIF5A;ARMC10;UBB;PTTG1IP
PanglaoDB_Augmented_2021	cellular response to oxidative stress (GO:0034599)	18/125	1.128263e-03	4.510271e-01	0	0	2.454096e+00	1.665613e+01	PDGFRA;JUN;TMEM161A;GPX1;PARP1;GSTP1;TXNRD1;PYCR1;PRR5L;ZFAND1;SIRT2;PRDX1;CAT;NOX4;PLA2R1;PPIA;SLC25A24;HSPA1A
PanglaoDB_Augmented_2021	secondary alcohol biosynthetic process (GO:1902653)	8/34	1.194210e-03	4.510271e-01	0	0	4.473152e+00	3.010552e+01	ACLY;SQLE;ARV1;ACAA2;MSMO1;DHCR7;LBR;TM7SF2
PanglaoDB_Augmented_2021	cholesterol biosynthetic process (GO:0006695)	8/35	1.461477e-03	4.510271e-01	0	0	4.307249e+00	2.811905e+01	ACLY;SQLE;ARV1;ACAA2;MSMO1;DHCR7;LBR;TM7SF2
PanglaoDB_Augmented_2021	regulation of trans-synaptic signaling (GO:0099177)	8/35	1.461477e-03	4.510271e-01	0	0	4.307249e+00	2.811905e+01	NLGN3;GRID2;ARC;NLGN2;NLGN4X;FABP5;LRRC4C;NGF
PanglaoDB_Augmented_2021	transcription by RNA polymerase II (GO:0006366)	35/320	1.643858e-03	4.510271e-01	0	0	1.798371e+00	1.152884e+01	YAP1;GTF2A2;GMEB2;MAML2;ZBTB1;NR2E1;RBPJ;NR3C1;CDC73;TAF1A;TRIM24;RPRD1B;ELOC;TAF9B;POLR2J;POLR2L;CPSF4;PARP1;CPSF1;PRRX1;NR1H2;ADRM1;EAF2;NR0B1;ESRRG;SSRP1;ESR1;NR2F6;MED23;ERCC3;SP1;COPS2;TCEA1;INTS7;INTS9
PanglaoDB_Augmented_2021	positive regulation of synapse assembly (GO:0051965)	7/28	1.650719e-03	4.510271e-01	0	0	4.843442e+00	3.102973e+01	NLGN3;GRID2;NLGN2;CLSTN2;SLITRK2;SYNDIG1;EPHB3
PanglaoDB_Augmented_2021	nucleic acid metabolic process (GO:0090304)	12/71	1.858332e-03	4.714853e-01	0	0	2.960822e+00	1.861788e+01	EXD2;NT5E;HNRNPH1;PCBP2;LSM1;DDX54;HNRNPC;KPNA2;POLR2J;RAN;HNRNPA0;POLR2L
PanglaoDB_Augmented_2021	negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	11/64	2.470873e-03	5.564852e-01	0	0	3.019957e+00	1.812936e+01	TMEM161A;CXCL12;ARMC10;CREB3L1;NDUFS3;PPIF;TMBIM6;PTTG1IP;NOC2L;PPIA;HSPA1A
PanglaoDB_Augmented_2021	sterol biosynthetic process (GO:0016126)	8/38	2.556064e-03	5.564852e-01	0	0	3.875901e+00	2.313637e+01	ACLY;SQLE;ARV1;ACAA2;MSMO1;DHCR7;LBR;TM7SF2
PanglaoDB_Augmented_2021	negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	4/10	2.663358e-03	5.564852e-01	0	0	9.672097e+00	5.733781e+01	JUN;BAG3;SIRT2;HSPA1A
PanglaoDB_Augmented_2021	ribosome biogenesis (GO:0042254)	23/192	3.163227e-03	6.242101e-01	0	0	1.986554e+00	1.143493e+01	LTV1;POP5;NPM1;UTP11;POP4;PIH1D1;WDR18;DDX54;NOC2L;RPL8;WDR46;EBNA1BP2;LSG1;RPS19;SBDS;ZNF658;MTREX;NOL11;RPL15;RPS2;RPL29;RAN;MPHOSPH6
PanglaoDB_Augmented_2021	cellular response to topologically incorrect protein (GO:0035967)	7/32	3.742312e-03	6.559761e-01	0	0	4.067621e+00	2.273007e+01	ERN1;HSPA8;BAG3;DNAJB12;TMBIM6;TM7SF3;HSPA1A
PanglaoDB_Augmented_2021	lipoprotein catabolic process (GO:0042159)	4/11	3.972416e-03	6.559761e-01	0	0	8.289926e+00	4.582987e+01	ABHD10;ABHD17B;PPT1;LYPLAL1
PanglaoDB_Augmented_2021	signal peptide processing (GO:0006465)	4/11	3.972416e-03	6.559761e-01	0	0	8.289926e+00	4.582987e+01	SPCS2;HM13;SEC11A;SEC11C
PanglaoDB_Augmented_2021	L-serine biosynthetic process (GO:0006564)	3/6	4.649393e-03	6.559761e-01	0	0	1.449922e+01	7.787561e+01	SRR;PSAT1;PSPH
PanglaoDB_Augmented_2021	dermatan sulfate biosynthetic process (GO:0030208)	4/12	5.656302e-03	6.559761e-01	0	0	7.253297e+00	3.753570e+01	BCAN;VCAN;DSEL;BGN
PanglaoDB_Augmented_2021	P-body assembly (GO:0033962)	4/12	5.656302e-03	6.559761e-01	0	0	7.253297e+00	3.753570e+01	RC3H1;LIMD1;LSM4;EDC3
PanglaoDB_Augmented_2021	presynapse organization (GO:0099172)	4/12	5.656302e-03	6.559761e-01	0	0	7.253297e+00	3.753570e+01	NLGN3;NLGN2;NLGN4X;LRRTM3
PanglaoDB_Augmented_2021	regulation of nucleobase-containing compound metabolic process (GO:0019219)	4/12	5.656302e-03	6.559761e-01	0	0	7.253297e+00	3.753570e+01	PCBP3;NOVA1;PCBP4;PCBP2
