Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),63/90,3.758317882588566e-55,1.2131850124995891e-51,0,0,36.87060478199719,4620.5581423485855,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;SRP54;RPL10A;SRP14;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,cotranslational protein targeting to membrane (GO:0006613),63/94,2.862705674344708e-53,4.620406958392359e-50,0,0,32.10624744793793,3884.38214003095,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;SRP54;RPL10A;SRP14;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,protein targeting to ER (GO:0045047),64/103,6.033773587987109e-51,6.49234038067413e-48,0,0,25.936243936243937,2999.123746801183,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;SRP54;RPL10A;SRP14;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPL27A;SRPRB;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,cytoplasmic translation (GO:0002181),59/93,8.018529427440542e-48,6.470953247944519e-45,0,0,27.318112106070352,2962.439712188441,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;TMA7;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",61/113,1.8569999154578445e-43,1.1988791454195842e-40,0,0,18.480655822694576,1818.3523239955105,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,peptide biosynthetic process (GO:0043043),67/162,3.700446403997866e-38,1.9908401653508517e-35,0,0,11.141485805962832,960.2822112875916,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;MRPS12;MRPL36;RPL10A;MRPL34;RPL9;MRPL35;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS21;RPL13A;RPSA;RPS3A;MRPL51;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,translation (GO:0006412),74/214,9.465836767650912e-36,4.3651030122824486e-33,0,0,8.379703090776344,675.7842911097108,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;MRPS12;MRPL36;MRPL34;RPL10A;RPL9;MRPL35;RPS15;EEF1B2;RPS4X;RPS14;TRMT112;RPL7A;RPS16;RPL18A;RPS19;NARS1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS21;RPL13A;RPSA;RPS3A;MRPL51;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;MRPS34;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;TMA7;RPL35A;RPL23A;AIMP1;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),64/171,2.0757303067466713e-33,8.375571787722819e-31,0,0,9.419045213437736,708.8302006490978,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;PNLDC1;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;CNOT2;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,cellular macromolecule biosynthetic process (GO:0034645),78/314,1.0772776583691576e-26,3.863835868017379e-24,0,0,5.230508474576271,312.7466176409834,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;MRPS12;MRPL36;MRPL34;RPL10A;RPL9;MRPL35;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RMI1;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS21;RPL13A;RPSA;RPS3A;MRPL51;B3GNT6;RPL24;MCM4;RPL27;RPL29;RPL28;PTMA;MCM2;RPL10;RPL12;RPL11;RPS4Y1;TYMS;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;POLR2I;POLR2J;RPL19;POLR2L;RPL41;MRPL27;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,gene expression (GO:0010467),77/356,2.591731597488895e-22,8.366109596694154e-20,0,0,4.353785784903385,216.40294504965772,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;MRPS12;MRPL36;MRPL34;RPL10A;RPL9;MRPL35;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS21;RPL13A;RPSA;RPS3A;MRPL51;RPL24;RPL27;RPL29;RPL28;PTMA;RBMS2;RPL10;RPL12;RPL11;RPS4Y1;ATXN1;RPS3;DHX38;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;POLR2I;POLR2J;RPL19;POLR2L;RPL41;MRPL27;RPL35A;RPL23A;RPS25;RPS27;RPL27A;NOX4;RPS20;RPS21;RPS24;RPS23
