Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Ribosome	68/158	1.662793e-51	4.206865e-49	0	0	1.879038e+01	2.197034e+03	RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;MRPS12;MRPL36;RPL10A;MRPL34;RPL9;MRPL35;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS21;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2021	Coronavirus disease	62/232	7.772443e-33	9.832141e-31	0	0	8.961951e+00	6.625994e+02	RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2021	Parkinson disease	42/249	9.185229e-15	7.746210e-13	0	0	4.850631e+00	1.567781e+02	NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;GNAI2;PSMD8;PSMB6;PSMD7;PSMD3;CYC1;RPS27A;XBP1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5;SLC25A5;UBA52;SLC25A4;SLC25A6
GO_Biological_Process_2021	Oxidative phosphorylation	29/133	1.621226e-13	1.025425e-11	0	0	6.594400e+00	1.942079e+02	NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;COX17;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7A1;COX7C;UQCRH;CYC1;ATP6V1F;ATP5PD;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;ATP5F1E;COX6B1;NDUFS8;UQCRQ;NDUFS6;NDUFS5
GO_Biological_Process_2021	Huntington disease	44/306	7.105384e-13	3.595324e-11	0	0	4.013337e+00	1.122641e+02	NDUFB9;COX7B;DCTN2;NDUFA12;NDUFB11;COX4I1;NDUFB4;DCTN3;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;PSMD8;PSMB6;PSMD7;PSMD3;POLR2G;CYC1;POLR2I;POLR2J;POLR2L;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;ATG14;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;NDUFS5;SLC25A5;SLC25A4;SLC25A6
GO_Biological_Process_2021	Prion disease	39/273	1.791572e-11	7.554463e-10	0	0	3.963777e+00	9.808502e+01	NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;PSMD8;PSMB6;PSMD7;PSMD3;CYC1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;COX6C;TUBB4B;ATP5F1E;COX6B1;GRIN3B;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5;SLC25A5;SLC25A4;SLC25A6
GO_Biological_Process_2021	Diabetic cardiomyopathy	32/203	8.995581e-11	3.251260e-09	0	0	4.426442e+00	1.023911e+02	NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;CYC1;ATP5PD;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;ATP5F1E;COX6B1;TGFBR2;NDUFS8;UQCRQ;NDUFS6;NDUFS5;SLC25A5;GAPDH;SLC25A4;SLC25A6
GO_Biological_Process_2021	Alzheimer disease	42/369	4.011022e-09	1.268486e-07	0	0	3.051147e+00	5.899155e+01	NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;PSMD8;PSMB6;PSMD7;PSMD3;CYC1;XBP1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;ATG14;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5;NOX4;SLC25A5;GAPDH;SLC25A4;SLC25A6
GO_Biological_Process_2021	Non-alcoholic fatty liver disease	25/155	6.336089e-09	1.781145e-07	0	0	4.519231e+00	8.530954e+01	NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;UQCR10;COX7A1;COX7C;UQCRH;CYC1;XBP1;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5
GO_Biological_Process_2021	Amyotrophic lateral sclerosis	41/364	8.329865e-09	2.107456e-07	0	0	3.012228e+00	5.603774e+01	NDUFB9;COX7B;DCTN2;NDUFA12;NDUFB11;COX4I1;NDUFB4;DCTN3;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;ACTG1;PSMD8;PSMB6;PSMD7;PSMD3;NEFL;CYC1;XBP1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;ATG14;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5
