Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	protein targeting to ER (GO:0045047)	82/103	9.318444e-51	4.034886e-47	0	0	2.455423e+01	2.828643e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;ZFAND2A;RPLP0;ZFAND2B;SRP54;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;GET3;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;CHMP4B;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;SGTB;RPL35A;RPL23A;RPS26;RPS25;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	75/90	2.728533e-49	5.907274e-46	0	0	3.137194e+01	3.508101e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;ZFAND2B;SRP54;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cotranslational protein targeting to membrane (GO:0006613)	75/94	1.199210e-46	1.730860e-43	0	0	2.476155e+01	2.618218e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;SRP54;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cytoplasmic translation (GO:0002181)	74/93	6.961826e-46	7.536177e-43	0	0	2.442248e+01	2.539412e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;ZC3H15;RPL19;RWDD1;RPL41;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;RPS21;RPL26L1;RPS24;RPS23
PanglaoDB_Augmented_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	77/113	2.183273e-39	1.890714e-36	0	0	1.341361e+01	1.194079e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;HELZ2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;PYM1;RPL35A;RPL23A;MAGOHB;PNRC2;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	translation (GO:0006412)	103/214	4.265472e-33	3.078249e-30	0	0	5.849474e+00	4.359891e+02	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;NARS1;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS18A;RPSA;TUFM;EEF1A1;RPL24;RPL27;RPL29;RPL28;UBA52;AARS1;MRPL16;RPS4Y1;ZC3H15;RPL41;MRPL27;TMA7;EEF2;AIMP1;RPS26;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23;FASTKD2;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;MRPL35;RPS4X;TRMT112;RPL7A;MRPL2;RPLP2;MRPL9;MRPS21;RPL13A;RPS3A;MRPL52;SARS1;MRPL51;RPL37A;RPL10;RPL12;MRPS34;RPL11;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;ABCF1;RWDD1;RPL35A;RPL23A;GARS1;RPL22L1;RPL26L1
PanglaoDB_Augmented_2021	peptide biosynthetic process (GO:0043043)	86/162	7.259425e-32	4.490473e-29	0	0	7.103294e+00	5.093092e+02	RPL5;PCSK1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;MRPL36;RPL10A;RPL8;MRPL34;RPL9;MRPL35;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;MRPL9;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS18A;MRPS21;RPL13A;RPSA;RPS3A;EEF1A1;MRPL52;SARS1;MRPL51;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS4Y1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;ABCF1;RPL19;RPL41;MRPL27;RPL35A;RPL23A;RPS26;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	82/171	1.807550e-26	9.783367e-24	0	0	5.770745e+00	3.420623e+02	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;MRTO4;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;DDX5;RPL10;RPL12;RPL11;RPS4Y1;HELZ2;EXOSC10;EXOSC4;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;PYM1;RPL35A;RPL23A;MAGOHB;PNRC2;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cellular macromolecule biosynthetic process (GO:0034645)	115/314	7.236110e-24	3.481373e-21	0	0	3.640254e+00	1.939635e+02	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS16;KAT5;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18B;MRPS18A;RPSA;THAP1;TUFM;EEF1A1;GRWD1;RPL24;RPL27;RPL29;RPL28;RPS4Y1;ORC6;ORC2;CLSPN;RPL41;MRPL27;EEF2;RPS26;FAM111A;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23;RPLP1;MRPS12;RPLP0;MRPL36;BRCA1;MRPL34;MRPL35;RPS4X;RPL7A;RPLP2;MRPL9;RFC4;RMI1;RFC2;MRPS21;RPL13A;RPS3A;MRPL52;KIN;SARS1;MRPL51;PAX8;RPL37A;MCM3;MCM4;PTMA;MCM2;RPL10;RPL12;GCNT1;RPL11;TYMS;POLR2A;POLD2;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;POLR2I;POLR2J;RPL19;ABCF1;POLR2L;RPL35A;RPL23A;RPA3;POLE3
PanglaoDB_Augmented_2021	ribosome biogenesis (GO:0042254)	81/192	1.168505e-21	5.059625e-19	0	0	4.563015e+00	2.199308e+02	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;FCF1;MRPL36;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;EIF2A;RPS9;RPL21;RPS7;UTP11;IMP3;RPL23;RPS6;WDR74;RPL13A;IMP4;DDX52;EBNA1BP2;LSG1;MRTO4;RPL37A;SBDS;RPL24;RPL27;RPL29;RPL28;UBA52;DDX27;RPL10;RPL12;RPL11;SNU13;NOC4L;RPF2;EXOSC10;EXOSC4;PDCD11;DHX37;RPL14;SURF6;RPL13;RPL15;RPS2;ZNF622;RPL18;RPL19;RPL41;NOP16;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;DHX29;RBIS;NOP53;RPS24;RPL26L1
