Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Ribosome,68/158,1.6627925343453035e-51,4.206865111893618e-49,0,0,18.790380993770825,2197.034130169101,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;MRPS12;MRPL36;RPL10A;MRPL34;RPL9;MRPL35;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS21;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2021,Coronavirus disease,62/232,7.77244338216966e-33,9.832140878444621e-31,0,0,8.961951145270527,662.5993798587735,RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2021,Parkinson disease,42/249,9.18522933927439e-15,7.746210076121402e-13,0,0,4.850631430816748,156.77813017106743,NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;GNAI2;PSMD8;PSMB6;PSMD7;PSMD3;CYC1;RPS27A;XBP1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5;SLC25A5;UBA52;SLC25A4;SLC25A6
GO_Biological_Process_2021,Oxidative phosphorylation,29/133,1.6212257270264526e-13,1.0254252723442312e-11,0,0,6.594400171788509,194.2078792657849,NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;COX17;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7A1;COX7C;UQCRH;CYC1;ATP6V1F;ATP5PD;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;ATP5F1E;COX6B1;NDUFS8;UQCRQ;NDUFS6;NDUFS5
GO_Biological_Process_2021,Huntington disease,44/306,7.105384100546672e-13,3.595324354876616e-11,0,0,4.013337064880671,112.26408797977813,NDUFB9;COX7B;DCTN2;NDUFA12;NDUFB11;COX4I1;NDUFB4;DCTN3;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;PSMD8;PSMB6;PSMD7;PSMD3;POLR2G;CYC1;POLR2I;POLR2J;POLR2L;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;ATG14;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;NDUFS5;SLC25A5;SLC25A4;SLC25A6
GO_Biological_Process_2021,Prion disease,39/273,1.7915721630126228e-11,7.554462620703224e-10,0,0,3.9637772194304857,98.08502482986304,NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;PSMD8;PSMB6;PSMD7;PSMD3;CYC1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;COX6C;TUBB4B;ATP5F1E;COX6B1;GRIN3B;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5;SLC25A5;SLC25A4;SLC25A6
GO_Biological_Process_2021,Diabetic cardiomyopathy,32/203,8.995580681907503e-11,3.251259875032284e-09,0,0,4.42644177900126,102.39113481488536,NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;CYC1;ATP5PD;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;ATP5F1E;COX6B1;TGFBR2;NDUFS8;UQCRQ;NDUFS6;NDUFS5;SLC25A5;GAPDH;SLC25A4;SLC25A6
GO_Biological_Process_2021,Alzheimer disease,42/369,4.01102211987828e-09,1.268485745411506e-07,0,0,3.0511470782188184,58.99154805521431,NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;PSMD8;PSMB6;PSMD7;PSMD3;CYC1;XBP1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;ATG14;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5;NOX4;SLC25A5;GAPDH;SLC25A4;SLC25A6
GO_Biological_Process_2021,Non-alcoholic fatty liver disease,25/155,6.336088512841082e-09,1.7811448819431044e-07,0,0,4.519230769230769,85.30953826894239,NDUFB9;COX7B;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;UQCR10;COX7A1;COX7C;UQCRH;CYC1;XBP1;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5
GO_Biological_Process_2021,Amyotrophic lateral sclerosis,41/364,8.329864843389613e-09,2.107455805377572e-07,0,0,3.012227932403241,56.037737163733546,NDUFB9;COX7B;DCTN2;NDUFA12;NDUFB11;COX4I1;NDUFB4;DCTN3;NDUFB3;NDUFB2;ATP5MC3;UQCR10;COX7C;COX7A1;UQCRH;ACTG1;PSMD8;PSMB6;PSMD7;PSMD3;NEFL;CYC1;XBP1;ATP5PD;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;NDUFC1;ATG14;COX6C;TUBB4B;ATP5F1E;COX6B1;PSMC5;NDUFS8;UQCRQ;NDUFS6;DDIT3;NDUFS5
