Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Transcriptional misregulation in cancer,11/192,0.0023093112950165,0.5126671074936673,0,0,2.918932224714184,17.72027108704587,ATF1;FLT1;BCL2A1;NFKBIZ;PBX3;ETV1;NUPR1;IGF1;FLI1;SUPT3H;RUNX1
MSigDB_Hallmark_2020,Prostate cancer,6/97,0.0156363338094765,0.8971684542200877,0,0,3.142588462881861,13.067379302651998,CREB3L1;PDGFC;PDGFB;IGF1;FGFR1;CREB5
MSigDB_Hallmark_2020,PI3K-Akt signaling pathway,14/354,0.0164894482675568,0.8971684542200877,0,0,1.976162534839372,8.112215583858132,PHLPP1;IL4R;FLT1;IFNA2;PDGFB;TNC;VEGFD;IGF1;RELN;CDK6;CREB3L1;PDGFC;FGFR1;CREB5
MSigDB_Hallmark_2020,Melanoma,5/72,0.0168821601945399,0.8971684542200877,0,0,3.5526028394612306,14.499940760190071,CDK6;PDGFC;PDGFB;IGF1;FGFR1
MSigDB_Hallmark_2020,"Parathyroid hormone synthesis, secretion and action",6/106,0.023160140414754,0.8971684542200877,0,0,2.8584352078239608,10.76293058427237,VDR;CREB3L1;PDE4B;PLD1;FGFR1;CREB5
MSigDB_Hallmark_2020,Phospholipase D signaling pathway,7/148,0.0349919863252178,0.8971684542200877,0,0,2.365943540536782,7.93214797498917,GRM2;PDGFC;GRM8;PDGFB;RRAS2;PLD1;F2
MSigDB_Hallmark_2020,AMPK signaling pathway,6/120,0.0391325372453855,0.8971684542200877,0,0,2.5055977351692187,8.120143654318474,PFKFB3;CREB3L1;LEPR;IGF1;CPT1C;CREB5
MSigDB_Hallmark_2020,Rheumatoid arthritis,5/93,0.0443196456077026,0.8971684542200877,0,0,2.701912416851441,8.420043245250763,FLT1;CTSK;ATP6V0A4;ICAM1;TNFSF13B
MSigDB_Hallmark_2020,JAK-STAT signaling pathway,7/162,0.0524818750412038,0.8971684542200877,0,0,2.1506957621758382,6.338718534650256,IL4R;IFNA2;LEPR;PDGFB;IL20RB;LIFR;PTPN6
MSigDB_Hallmark_2020,Ras signaling pathway,9/232,0.053628386021054,0.8971684542200877,0,0,1.92469460337096,5.631034273380928,ZAP70;FLT1;PDGFC;PDGFB;RRAS2;VEGFD;IGF1;PLD1;FGFR1
MSigDB_Hallmark_2020,Focal adhesion,8/201,0.0590138298806479,0.8971684542200877,0,0,1.97497167445354,5.589137168303731,RELN;FLT1;SRC;PDGFC;PDGFB;TNC;VEGFD;IGF1
MSigDB_Hallmark_2020,Adherens junction,4/71,0.0600377425457681,0.8971684542200877,0,0,2.835167229545702,7.974706987623459,SRC;PTPN6;NLK;FGFR1
MSigDB_Hallmark_2020,Protein digestion and absorption,5/103,0.0633869203629677,0.8971684542200877,0,0,2.424962667994027,6.689254044691526,CPA1;SLC7A9;COL5A3;COL20A1;KCNN4
MSigDB_Hallmark_2020,NF-kappa B signaling pathway,5/104,0.0655118866590435,0.8971684542200877,0,0,2.4003449125400347,6.542196892322552,ZAP70;BCL2A1;MAP3K14;ICAM1;TNFSF13B
MSigDB_Hallmark_2020,Other types of O-glycan biosynthesis,3/47,0.0736443933952715,0.8971684542200877,0,0,3.2338371579876437,8.435487717043783,MFNG;EOGT;COLGALT1
MSigDB_Hallmark_2020,Arginine biosynthesis,2/22,0.0755445142788352,0.8971684542200877,0,0,4.737288135593221,12.236572548176223,NOS2;GPT
MSigDB_Hallmark_2020,HIF-1 signaling pathway,5/109,0.0767261630531288,0.8971684542200877,0,0,2.284357410881801,5.865116252289623,PFKFB3;FLT1;NOS2;ARNT;IGF1
MSigDB_Hallmark_2020,Cocaine addiction,3/49,0.0812346112166364,0.8971684542200877,0,0,3.0929189531447867,7.764506657693674,GRM2;CREB3L1;CREB5
MSigDB_Hallmark_2020,Protein export,2/23,0.081640063304935,0.8971684542200877,0,0,4.511472385564395,11.303201563539714,IMMP2L;SRPRB
