Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	44/90	2.130474e-41	5.066267e-38	0	0	3.041802e+01	2.848637e+03	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;SEC61B;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cytoplasmic translation (GO:0002181)	44/93	1.370645e-40	1.629697e-37	0	0	2.855126e+01	2.620666e+03	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RWDD1;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cotranslational protein targeting to membrane (GO:0006613)	44/94	2.500181e-40	1.981810e-37	0	0	2.797878e+01	2.551302e+03	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPL27A;SRPRA;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	protein targeting to ER (GO:0045047)	44/103	3.805108e-38	2.262136e-35	0	0	2.369977e+01	2.042017e+03	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;SRPRA;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	44/113	5.135986e-36	2.442675e-33	0	0	2.025452e+01	1.645817e+03	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;PNRC2;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	peptide biosynthetic process (GO:0043043)	47/162	1.198254e-31	4.749081e-29	0	0	1.301466e+01	9.266340e+02	RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;EEF1A1;MRPL52;SARS1;MRPL51;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	48/171	1.448426e-31	4.920509e-29	0	0	1.244250e+01	8.835379e+02	RPL5;DDX5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;EXOSC8;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;PNRC2;PNLDC1;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	translation (GO:0006412)	50/214	1.015953e-28	3.019920e-26	0	0	9.732255e+00	6.273076e+02	RPL5;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;MRPL52;EEF1A1;SARS1;MRPL51;RPL29;AARS1;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cellular macromolecule biosynthetic process (GO:0034645)	54/314	5.128054e-24	1.354946e-21	0	0	6.640935e+00	3.561355e+02	RPL5;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;THAP1;MRPL52;EEF1A1;KIN;SARS1;MRPL51;RPL29;PTMA;RPL10;RPL12;RPL11;ORC1;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;POLR2L;RPL41;RPL35A;RPL23A;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	gene expression (GO:0010467)	52/356	7.386430e-20	1.756493e-17	0	0	5.438560e+00	2.395798e+02	RPL5;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;THAP1;MRPL52;EEF1A1;PRPF4;SARS1;MRPL51;RPL29;PTMA;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;POLR2L;RPL41;RPL35A;RPL23A;RPL27A;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	rRNA metabolic process (GO:0016072)	35/162	2.897446e-19	6.263751e-17	0	0	8.599678e+00	3.670797e+02	POP5;RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;EXOSC8;RPL14;RPL13;RPL15;RPS2;RPL18;RPL19;RPL41;RPL21;RPS7;NIFK;RPL23;RPS6;WDR74;RPL35A;RPL23A;RPL27A;SBDS;RPL29;RPS24
PanglaoDB_Augmented_2021	ribosome biogenesis (GO:0042254)	36/192	1.196055e-17	2.370183e-15	0	0	7.201876e+00	2.806205e+02	POP5;RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;NOC2L;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;EXOSC8;RPL14;RPL13;RPL15;RPS2;RPL18;RPL19;RPL41;RPL21;RPS7;RPL23;RPS6;WDR74;RPL35A;RPL23A;RPL27A;SBDS;RPL29;RBIS;RPS24
PanglaoDB_Augmented_2021	cellular protein metabolic process (GO:0044267)	53/417	1.709180e-17	3.126485e-15	0	0	4.622574e+00	1.784680e+02	RPL5;CHRM3;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;CKAP4;MRPL52;EEF1A1;SARS1;MRPL51;RPL29;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;TMEM208;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;TF;RPL27A;MSRB2;RPS20;RPS21;RPS24;MSRB1;RPS23
PanglaoDB_Augmented_2021	rRNA processing (GO:0006364)	34/173	2.134489e-17	3.625582e-15	0	0	7.615638e+00	2.923318e+02	POP5;RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;EXOSC8;RPL14;RPL13;RPL15;RPS2;RPL18;RPL19;RPL41;RPL21;RPS7;RPL23;RPS6;WDR74;RPL35A;RPL23A;RPL27A;SBDS;RPL29;RPS24
PanglaoDB_Augmented_2021	ncRNA processing (GO:0034470)	36/201	5.588824e-17	8.860149e-15	0	0	6.805854e+00	2.546967e+02	POP5;RPL5;AARS1;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS14;RPS16;RPL18A;RPS19;EXOSC8;RPL14;RPL13;RPL15;RPS2;RPL18;RPL19;RPL41;RPL21;RPS7;RPL23;RPS6;WDR74;RPL35A;RPL23A;SARS1;RPL27A;SBDS;RPL29;RPS24
PanglaoDB_Augmented_2021	ribonucleoprotein complex biogenesis (GO:0022613)	13/60	5.166469e-08	7.678664e-06	0	0	8.368105e+00	1.404042e+02	RPL5;RPS7;RPS6;RPL11;WDR74;RPL35A;NOC2L;RPS15;RPS16;RPS19;RPL14;RBIS;RPS24
PanglaoDB_Augmented_2021	ribosome assembly (GO:0042255)	11/50	4.697050e-07	6.570344e-05	0	0	8.510016e+00	1.240008e+02	RPS15;RPL5;RPS14;RPL3;RPS19;RPL10;RPS5;RPL11;SBDS;RPSA;RPL23A
