Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,44/158,7.354277525890328e-29,1.831215103946692e-26,0,0,12.230700309257491,792.3009204150009,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;MRPS10;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
KEGG_2021_Human,Coronavirus disease,46/232,2.783636960723036e-23,3.4656280161001804e-21,0,0,7.833448858082289,406.83564051287584,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;IFNA2;RPL11;RPL8;RPL10A;RPS15;RPS14;C5;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MX1;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
KEGG_2021_Human,Parkinson disease,18/249,0.0013931062484467,0.1156278186210772,0,0,2.3534190927555856,15.476600091668328,NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;RYR3;PSMD8;PSMB6;PSMD7;TUBA1A;UBB;NDUFS6;DDIT3;UBC;CYC1;RPS27A;SLC25A4
KEGG_2021_Human,RNA polymerase,5/31,0.00302960923144,0.188593174657143,0,0,5.752262443438914,33.35922003440203,POLR3GL;POLR3D;POLR2G;POLR3K;POLR2L
KEGG_2021_Human,Prion disease,17/273,0.0083410605621039,0.4153848159927759,0,0,1.999833645504732,9.572333543364085,NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;RYR3;PSMD8;PSMB6;C5;PSMD7;TUBA1A;NDUFS6;CREB3L1;DDIT3;CYC1;SLC25A4
KEGG_2021_Human,RNA transport,12/186,0.0189459805797957,0.780381009241112,0,0,2.069505153526523,8.207995754466644,EEF1A1;CYFIP1;POP5;EIF5;RPP40;SAP18;PHAX;RPP25;EIF2S2;EIF1B;EIF3D;EIF1
KEGG_2021_Human,Huntington disease,17/306,0.0231845089857527,0.780381009241112,0,0,1.768417146038226,6.656801271679646,NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;NDUFS6;CREB3L1;PPARG;POLR2G;CYC1;SLC25A4;POLR2L
KEGG_2021_Human,Spliceosome,10/150,0.025072482224614,0.780381009241112,0,0,2.1405170492533987,7.88991236577922,SF3A3;PRPF4;DDX5;LSM7;PPIL1;SF3A1;ZMAT2;CRNKL1;LSM2;RBM22
KEGG_2021_Human,Oxidative phosphorylation,9/133,0.0299687082032158,0.8291342602889713,0,0,2.173462466083811,7.62364020965971,ATP6V1G1;NDUFA12;NDUFS6;NDUFB4;NDUFB3;CYC1;COX7B2;COX7C;ATP6V1F
KEGG_2021_Human,Alzheimer disease,19/369,0.0338175251395979,0.8420563759759897,0,0,1.631921338155515,5.526952210621049,CHRM3;NDUFA12;NDUFB4;NDUFB3;ADRM1;LPL;WNT9A;COX7C;COX7B2;RYR3;PSMD8;PSMB6;PSMD7;TUBA1A;NDUFS6;DDIT3;CYC1;GAPDH;SLC25A4
KEGG_2021_Human,Ferroptosis,4/41,0.0435675147242103,0.986210106029852,0,0,3.2268682902376877,10.111209409595798,TF;GPX4;FTH1;FTL
