Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),44/90,2.130473896949428e-41,5.06626692694574e-38,0,0,30.418021631688273,2848.6369082754813,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;SEC61B;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,cytoplasmic translation (GO:0002181),44/93,1.370644703746736e-40,1.6296965527548692e-37,0,0,28.551255757657263,2620.6661611250684,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RWDD1;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,cotranslational protein targeting to membrane (GO:0006613),44/94,2.500180572300831e-40,1.9818098003104585e-37,0,0,27.97878088962109,2551.302233441074,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPL27A;SRPRA;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,protein targeting to ER (GO:0045047),44/103,3.805107600041325e-38,2.2621364682245676e-35,0,0,23.699773825147293,2042.017287910544,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;SRPRA;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",44/113,5.135986275305279e-36,2.442675072535191e-33,0,0,20.25451853974166,1645.8171889779808,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;PNRC2;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,peptide biosynthetic process (GO:0043043),47/162,1.1982542167087846e-31,4.7490808788891487e-29,0,0,13.014655917074576,926.6340292904072,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;EEF1A1;MRPL52;SARS1;MRPL51;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,nuclear-transcribed mRNA catabolic process (GO:0000956),48/171,1.4484256371568794e-31,4.9205088073700843e-29,0,0,12.442502932492012,883.5379112926164,RPL5;DDX5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;EXOSC8;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;PNRC2;PNLDC1;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,translation (GO:0006412),50/214,1.0159529953371335e-28,3.0199202786396303e-26,0,0,9.732255184448682,627.3076466329682,RPL5;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;MRPL52;EEF1A1;SARS1;MRPL51;RPL29;AARS1;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,cellular macromolecule biosynthetic process (GO:0034645),54/314,5.128053904878559e-24,1.3549457984223572e-21,0,0,6.640935446463085,356.1355437258806,RPL5;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;THAP1;MRPL52;EEF1A1;KIN;SARS1;MRPL51;RPL29;PTMA;RPL10;RPL12;RPL11;ORC1;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;POLR2L;RPL41;RPL35A;RPL23A;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,gene expression (GO:0010467),52/356,7.386430362012429e-20,1.7564931400865558e-17,0,0,5.438559880502592,239.57975136510183,RPL5;RPL3;RPL32;RPLP1;RPL8;RPL10A;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS11;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPSA;RPS3A;THAP1;MRPL52;EEF1A1;PRPF4;SARS1;MRPL51;RPL29;PTMA;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;POLR2L;RPL41;RPL35A;RPL23A;RPL27A;RPS20;RPS21;RPS24;RPS23
