Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	69/90	1.252535e-54	4.484077e-51	0	0	3.535491e+01	4.388054e+03	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;SEC61A2;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cotranslational protein targeting to membrane (GO:0006613)	70/94	7.051671e-54	1.262249e-50	0	0	3.139726e+01	3.842596e+03	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;SSR2;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	protein targeting to ER (GO:0045047)	72/103	3.710043e-52	4.427318e-49	0	0	2.502203e+01	2.963193e+03	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;SRP9;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;SPCS3;RPS28;SPCS2;RPS27;SPCS1;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cytoplasmic translation (GO:0002181)	66/93	1.382728e-48	1.237542e-45	0	0	2.624751e+01	2.892476e+03	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RWDD1;RPL41;TMA7;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	68/113	7.993293e-43	5.723198e-40	0	0	1.622883e+01	1.573102e+03	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;HELZ2;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;PYM1;RPL35A;RPL23A;PNRC2;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	translation (GO:0006412)	92/214	4.173161e-41	2.489986e-38	0	0	8.180387e+00	7.605904e+02	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;MRPL36;RPL8;MRPL34;RPL10A;RPL9;RPL6;MRPL32;RPL7;RPS15;EEF1B2;RPS4X;RPS14;TRMT112;RPL7A;RPS16;RPL18A;RPS19;NARS1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;MRPL9;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS2;MRPS21;RPL13A;MRPL47;RPSA;RPS3A;MRPS7;MRPS5;MRPL52;EEF1A1;SARS1;MRPL51;RPL24;RPL27;RPL29;RPL28;TARS1;AARS1;RPL10;RPL12;MRPS34;RPL11;MRPL57;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RWDD1;RPL41;MRPL27;TMA7;RPL35A;RPL23A;HARS2;MRPL24;AIMP1;RPS25;RPS28;RPS27;EPRS1;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	peptide biosynthetic process (GO:0043043)	79/162	2.211461e-40	1.131004e-37	0	0	1.026742e+01	9.375151e+02	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;MRPL36;RPL10A;RPL8;MRPL34;RPL9;RPL6;MRPL32;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;MRPL9;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS21;RPL13A;RPSA;RPS3A;MRPS7;MRPS5;EEF1A1;MRPL52;SARS1;MRPL51;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;RPL35A;RPL23A;HARS2;MRPL24;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	ribosome biogenesis (GO:0042254)	77/192	4.498761e-32	2.013196e-29	0	0	7.201502e+00	5.197966e+02	LTV1;POP5;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;MRPL36;NOC2L;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RIOK2;RPL37;METTL17;PELP1;RPS9;RPL21;RPS7;IMP3;RPL23;RPS6;WDR74;RPL13A;SBDS;RPL24;RPL27;RPL29;RPL28;RPL10;NIP7;RPL12;RPL11;RPF2;EXOSC8;RPL14;SURF6;RPL13;RRP36;RPL15;RPS2;RPL18;DCAF13;RPL19;NOP56;RPL41;NPM1;UTP3;RPL35A;RPL23A;RRP1B;BYSL;RPS25;RPS28;RPS27;RPL27A;MPHOSPH10;ESF1;DHX29;RBIS;NOP53;RPS24;RAN
MSigDB_Hallmark_2020	nuclear-transcribed mRNA catabolic process (GO:0000956)	71/171	8.292950e-31	3.298751e-28	0	0	7.615600e+00	5.274925e+02	RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;DDX5;RPL10;RPL12;RPL11;HELZ2;RPS15A;EXOSC8;RPL14;RPS3;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;PYM1;RPL35A;RPL23A;PNRC2;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cellular macromolecule biosynthetic process (GO:0034645)	99/314	1.044023e-30	3.737603e-28	0	0	4.990356e+00	3.445066e+02	RPL5;RPL30;RPL3;RPL32;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS16;KAT5;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;HUS1;RPSA;THAP1;EEF1A1;GRWD1;RPL24;RPL27;RPL29;RPL28;ORC1;RPL41;MRPL27;HARS2;MRPL24;RPS25;RPS28;RPS27;RPL27A;RPS20;HOXD3;RPS21;RPS24;EIF4G2;RPS23;RPLP1;RPLP0;MRPL36;MRPL34;MRPL32;RPS4X;RPL7A;RPLP2;MRPL9;MRPS21;RPL13A;RPS3A;MRPS7;MLF1;MRPS5;MRPL52;KIN;SARS1;MRPL51;PAX8;PTMA;RPL10;PTH;RPL12;RPL11;POLD3;RPS15A;POLR2A;RPL14;RPS3;POLR2E;RPL13;POLR2G;RPL15;RPS2;RPL18;RPS27A;POLR2I;POLR2K;RPL19;POLR2L;RPL35A;RPL23A
