Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Ribosome,44/158,1.8673752564950087e-34,3.828119275814768e-32,0,0,17.138785178048096,1331.0556316435063,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;MRPS10;RPL10A;RPL8;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,Coronavirus disease,43/232,8.148639188686452e-26,8.352355168403613e-24,0,0,10.040709332946776,580.0453669228874,RPL5;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL14;RPS3;RPL13;RPL15;RPS2;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;RPL27A;RPS20;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,Parkinson disease,17/249,0.00011880886159653914,0.0081186055424301,0,0,3.045843861474435,27.5283202544353,NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;UBB;NDUFS6;DDIT3;UBC;CYC1;RPS27A;SLC25A4
MSigDB_Hallmark_2020,RNA polymerase,5/31,0.0007984967852975122,0.0409229602464975,0,0,7.875323206205559,56.172944836556624,POLR3GL;POLR3D;POLR2G;POLR3K;POLR2L
MSigDB_Hallmark_2020,Spliceosome,10/150,0.0034535683687264,0.1415963031177846,0,0,2.9388838337882923,16.6586141640151,SF3A3;PRPF4;DDX5;LSM7;PPIL1;SF3A1;ZMAT2;CRNKL1;LSM2;RBM22
MSigDB_Hallmark_2020,Oxidative phosphorylation,9/133,0.0049112580947506,0.1610977748188612,0,0,2.9824186714051395,15.8552091156105,ATP6V1G1;NDUFA12;NDUFS6;NDUFB4;NDUFB3;CYC1;COX7B2;COX7C;ATP6V1F
MSigDB_Hallmark_2020,RNA transport,11/186,0.0055008996279611,0.1610977748188612,0,0,2.587039513677812,13.459962057917238,EEF1A1;POP5;EIF5;RPP40;SAP18;PHAX;RPP25;EIF2S2;EIF1B;EIF3D;EIF1
MSigDB_Hallmark_2020,Prion disease,14/273,0.0065969811619879,0.1690476422759416,0,0,2.22929567683315,11.193612682028023,NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;NDUFS6;DDIT3;CYC1;SLC25A4
MSigDB_Hallmark_2020,Huntington disease,15/306,0.0075115079291311,0.1710954583857648,0,0,2.126897039953984,10.403331995863727,NDUFA12;NDUFB4;NDUFB3;ADRM1;COX7C;COX7B2;PSMD8;PSMB6;PSMD7;TUBA1A;NDUFS6;POLR2G;CYC1;SLC25A4;POLR2L
MSigDB_Hallmark_2020,Protein processing in endoplasmic reticulum,10/171,0.0085548412280266,0.1753742451745466,0,0,2.552781843836953,12.154452799515916,UBXN1;SELENOS;DAD1;DDIT3;EIF2AK1;RAD23A;SEC61B;UBXN4;CRYAB;CKAP4
