Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	53/404	2.206859e-06	5.117688e-03	0	0	2.142755e+00	2.790711e+01	CYFIP1;FLT1;IRS1;SLA;PTPRJ;PTPRG;SIPA1L1;BLNK;EPHB1;GIT1;EPHA4;EPHA6;SYK;HGF;NRG1;DNM1;MAPKAPK3;KIF16B;ROR1;LCP2;PLCB1;MET;EPHA3;RHOQ;CSF1R;SRC;PDGFB;PIK3R1;EFNA5;KALRN;EGFR;EFNB3;FLRT2;FLRT1;PDGFC;NCKAP1L;PAK3;MPZL1;NTRK2;ANGPT1;GALNT3;TNK2;VEGFD;IGF1;SORBS1;SULF1;BAIAP2;MERTK;GRIN2B;NFATC4;GRIN1;NR4A3;AXL
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	22/109	2.834499e-06	5.117688e-03	0	0	3.554778e+00	4.540748e+01	CX3CR1;LGI1;MEF2C;MCTP1;SYT1;CLSTN3;LRRK2;GRIK1;GRIK2;SYN3;GRM1;BEGAIN;RIMS2;GRM5;RELN;NRG3;GRM8;KCNMB4;DLGAP1;NPTX2;DGKI;CACNG5
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	36/244	6.963936e-06	8.382258e-03	0	0	2.443073e+00	2.901092e+01	GRIA1;GABRB2;CHRM3;SNAP25;NRXN1;SLC1A2;GRIK1;GRIK2;GRM1;NRGN;GRM5;GLRA3;PTCHD1;NPY;KCNMB4;DLGAP1;NPTX2;GABRA2;UNC13C;GABRA1;KCND2;GABRA6;SYT1;KCNIP2;GAD1;GAD2;HTR5A;GRIN2B;SYN2;GABRG2;GRIN1;CACNB1;RIT2;GLRB;KCNQ3;ZACN
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	41/306	1.831329e-05	1.365721e-02	0	0	2.185526e+00	2.383946e+01	GRIA1;GABRB2;CHRM3;SNAP25;NRXN1;SLC1A2;GRIK1;GRIK2;GRM1;NRGN;GRM5;GLRA3;PTCHD1;NPY;KCNMB4;DLGAP1;NPTX2;GABRA2;UNC13C;GABRA1;KCND2;GABRA6;SYT1;KCNIP2;GAD1;GAD2;SYN3;HTR5A;GRIN2B;SYN2;GABRG2;GRIN1;SHISA6;CACNB1;RIT2;FCHSD2;GLRB;DNAJC5;KCNQ3;ZACN;CBLN2
GO_Biological_Process_2021	potassium ion transport (GO:0006813)	22/122	1.891056e-05	1.365721e-02	0	0	3.090492e+00	3.361154e+01	KCNJ4;KCNK6;SLC24A4;KCNJ6;SLC24A3;KCND2;KCNH7;KCNC2;KCNB1;KCNIP2;KCNB2;NALCN;SLC9C2;AQP1;KCNV1;SLC9A9;KCNMA1;KCNQ3;KCNMB4;KCNQ5;KCNJ3;HCN1
GO_Biological_Process_2021	synapse organization (GO:0050808)	22/126	3.180604e-05	1.890172e-02	0	0	2.970986e+00	3.076710e+01	NTNG1;C1QB;CX3CR1;CYFIP1;UNC13C;GPM6A;CTNND2;LRRK2;NRXN1;ANK3;L1CAM;CACNB1;LRFN5;PPFIBP1;GRM5;NRCAM;APBB2;MAPT;PAK3;GPC6;SHANK2;CBLN2
GO_Biological_Process_2021	regulation of synaptic transmission, glutamatergic (GO:0051966)	12/46	3.664138e-05	1.890172e-02	0	0	4.938260e+00	5.044103e+01	GRM5;MEF2C;RELN;SYT1;LRRK2;NRXN1;GRM8;GRIK1;CACNG2;GRM1;DGKI;CACNG5
GO_Biological_Process_2021	axonogenesis (GO:0007409)	33/240	6.971452e-05	2.714364e-02	0	0	2.245270e+00	2.148971e+01	ROBO2;CYFIP1;SEMA3D;SRC;PLPPR4;NRXN1;PIK3R1;EFNA5;ROBO1;RELN;EFNB3;TNR;SLITRK5;NRCAM;EMB;PAK3;EPHB1;PDLIM7;NTNG1;LGI1;EPHA4;EPHA6;SEMA6A;GFRA1;ANK3;L1CAM;BAIAP2;DOK4;DOK6;ADGRB1;CNTN4;B4GALT6;EPHA3
GO_Biological_Process_2021	nervous system development (GO:0007399)	52/447	7.716206e-05	2.714364e-02	0	0	1.862209e+00	1.763438e+01	ROBO2;CHRM3;GRIK1;LDB2;NRGN;ROBO1;RPS6KA6;NAGLU;NRCAM;TEAD1;EPHB1;CHST8;MEF2C;SEMA6A;ADGRV1;NRG1;GFRA1;VCAN;IL1RAPL2;ADGRB1;DCX;MET;SHANK2;GPM6A;NRXN1;EFNA5;KALRN;NPAS2;ATXN1;RELN;EFNB3;SCIN;ACVR1C;PTPRZ1;PDGFC;SPOCK1;NHEJ1;LGI1;WWP1;TBX6;PCDHB12;L1CAM;MERTK;DCLK1;NELL1;GLRB;AXL;FAT4;CNTN4;SCN2A;FGF13;FGF12
GO_Biological_Process_2021	regulation of cation channel activity (GO:2001257)	17/89	7.745157e-05	2.714364e-02	0	0	3.309295e+00	3.132531e+01	CAMK2B;GRIA1;MEF2C;CAMK2D;ANK3;GRIN2B;SHISA6;GRIN1;CACNB1;RELN;FGF14;DMD;CAPN1;CACNG2;FGF13;FGF12;CACNG5
