Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Starch and sucrose metabolism	2/36	5.943711e-02	9.436081e-01	0	0	5.328117e+00	1.504040e+01	AGL;PYGL
KEGG_2021_Human	Complement and coagulation cascades	3/85	6.733604e-02	9.436081e-01	0	0	3.321007e+00	8.960275e+00	F8;C5;CLU
KEGG_2021_Human	Drug metabolism	3/108	1.164691e-01	9.436081e-01	0	0	2.590520e+00	5.569952e+00	DPYS;MGST1;FMO4
KEGG_2021_Human	Selenocompound metabolism	1/17	1.714775e-01	9.436081e-01	0	0	5.640411e+00	9.945754e+00	TXNRD2
KEGG_2021_Human	Nitrogen metabolism	1/17	1.714775e-01	9.436081e-01	0	0	5.640411e+00	9.945754e+00	CPS1
KEGG_2021_Human	Renal cell carcinoma	2/69	1.759156e-01	9.436081e-01	0	0	2.699302e+00	4.690713e+00	TGFB2;PAK5
KEGG_2021_Human	One carbon pool by folate	1/20	1.985432e-01	9.436081e-01	0	0	4.749099e+00	7.678100e+00	SHMT2
KEGG_2021_Human	Chronic myeloid leukemia	2/76	2.037462e-01	9.436081e-01	0	0	2.443094e+00	3.886671e+00	STAT5A;TGFB2
KEGG_2021_Human	Gastric acid secretion	2/76	2.037462e-01	9.436081e-01	0	0	2.443094e+00	3.886671e+00	CHRM3;KCNK10
KEGG_2021_Human	Pantothenate and CoA biosynthesis	1/21	2.073680e-01	9.436081e-01	0	0	4.511416e+00	7.097631e+00	DPYS
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	2/77	2.077637e-01	9.436081e-01	0	0	2.410398e+00	3.787588e+00	ITGB4;PKP2
KEGG_2021_Human	Arginine biosynthesis	1/22	2.160961e-01	9.436081e-01	0	0	4.296369e+00	6.582175e+00	CPS1
KEGG_2021_Human	Regulation of actin cytoskeleton	4/218	2.194500e-01	9.436081e-01	0	0	1.693146e+00	2.567878e+00	CHRM3;ITGB4;BAIAP2;PAK5
KEGG_2021_Human	Peroxisome	2/82	2.279629e-01	9.436081e-01	0	0	2.259174e+00	3.340353e+00	PEX11A;MPV17L2
KEGG_2021_Human	ErbB signaling pathway	2/85	2.401490e-01	9.436081e-01	0	0	2.177186e+00	3.105746e+00	STAT5A;PAK5
KEGG_2021_Human	Taste transduction	2/86	2.442186e-01	9.436081e-01	0	0	2.151158e+00	3.032469e+00	CHRM3;PDE1A
KEGG_2021_Human	Insulin secretion	2/86	2.442186e-01	9.436081e-01	0	0	2.151158e+00	3.032469e+00	CHRM3;CCK
KEGG_2021_Human	Folate biosynthesis	1/26	2.500621e-01	9.436081e-01	0	0	3.608219e+00	5.001157e+00	GGH
KEGG_2021_Human	ECM-receptor interaction	2/88	2.523656e-01	9.436081e-01	0	0	2.100917e+00	2.892704e+00	ITGB4;CD44
KEGG_2021_Human	Hypertrophic cardiomyopathy	2/90	2.605194e-01	9.436081e-01	0	0	2.052961e+00	2.761392e+00	TGFB2;ITGB4
KEGG_2021_Human	Morphine addiction	2/91	2.645976e-01	9.436081e-01	0	0	2.029791e+00	2.698699e+00	PDE1A;PDE7A
KEGG_2021_Human	Rheumatoid arthritis	2/93	2.727539e-01	9.436081e-01	0	0	1.984978e+00	2.578855e+00	TGFB2;ANGPT1
KEGG_2021_Human	Hepatocellular carcinoma	3/168	2.818453e-01	9.436081e-01	0	0	1.643486e+00	2.081305e+00	TGFB2;TXNRD2;MGST1
KEGG_2021_Human	beta-Alanine metabolism	1/30	2.825628e-01	9.436081e-01	0	0	3.109904e+00	3.930466e+00	DPYS
KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	1/30	2.825628e-01	9.436081e-01	0	0	3.109904e+00	3.930466e+00	SHMT2
KEGG_2021_Human	Dilated cardiomyopathy	2/96	2.849811e-01	9.436081e-01	0	0	1.921335e+00	2.411914e+00	TGFB2;ITGB4
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	3.012512e-01	9.436081e-01	0	0	1.842539e+00	2.210698e+00	STAT5A;TGFB2
KEGG_2021_Human	Pancreatic secretion	2/102	3.093645e-01	9.436081e-01	0	0	1.805505e+00	2.118281e+00	CHRM3;CCK
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	1/37	3.361009e-01	9.436081e-01	0	0	2.504313e+00	2.730562e+00	CPS1
KEGG_2021_Human	Allograft rejection	1/38	3.434173e-01	9.436081e-01	0	0	2.436505e+00	2.604158e+00	HLA-F
KEGG_2021_Human	Glycine, serine and threonine metabolism	1/40	3.578102e-01	9.436081e-01	0	0	2.311322e+00	2.375467e+00	SHMT2
KEGG_2021_Human	Graft-versus-host disease	1/42	3.718890e-01	9.436081e-01	0	0	2.198352e+00	2.174521e+00	HLA-F
