gene_ensembl,logFC,logCPM,F,PValue,FDR,gene
ENSG00000285683,-3.88988960268748,1.30076432269769,24.9907889482799,3.5552777928245e-05,0.485546486564667,LOC105375775
ENSG00000165197,1.04467369866019,4.01656522200449,25.2767338700949,7.32008415670049e-05,0.485546486564667,VEGFD
ENSG00000232973,0.951054581033617,3.36995805309595,24.2272159973702,9.32670468315471e-05,0.485546486564667,CYP1B1-AS1
ENSG00000149089,-1.02607363586009,5.31059318735386,23.4977795968321,0.0001093343101633,0.485546486564667,APIP
ENSG00000162645,-2.07277366964091,3.59333084258216,22.7940181835703,0.0001300341535503,0.485546486564667,GBP2
ENSG00000187720,-1.26959517348565,4.45788817564015,18.733730086566,0.000356578408967,0.485546486564667,THSD4
ENSG00000225437,-1.52563560770709,1.02491577895022,17.8909515669008,0.0003706359451336,0.485546486564667,PACRG-AS2
ENSG00000145414,0.594899376772799,5.3763675659585,18.4420607757208,0.0003845624029004,0.485546486564667,NAF1
ENSG00000286251,-2.87869591122544,2.07760607926976,17.8628562748202,0.0003964412041796,0.485546486564667,LOC105377411
ENSG00000137860,-2.33799228724292,3.25511952834413,18.1890741701925,0.00041194462763,0.485546486564667,SLC28A2
ENSG00000196683,-0.963964542752823,4.39484958105167,17.9059001097131,0.0004447700954688,0.485546486564667,TOMM7
ENSG00000124164,1.23549977214795,5.83923230394955,17.8214948606809,0.0004543259795275,0.485546486564667,VAPB
ENSG00000110700,-0.912058682185424,4.01396584316891,16.9493296447394,0.0005789641537948,0.485546486564667,RPS13
ENSG00000164587,-0.747054973652386,4.62805833784486,16.8978172136119,0.0005862305466214,0.485546486564667,RPS14
ENSG00000224445,-3.46193465129719,2.35829017741497,16.2069877823585,0.0005875686635206,0.485546486564667,LINC01708
ENSG00000205930,0.529817198923776,6.67986274640266,16.6791005787543,0.0006225911982002,0.485546486564667,EPCIP-AS1
ENSG00000106536,1.12749164411752,7.19912575696952,16.410278227853,0.0006715917004134,0.485546486564667,POU6F2
ENSG00000143110,1.11325268845734,2.05814337819685,16.3091102876439,0.0006843187604935,0.485546486564667,C1ORF162
ENSG00000063245,-1.46459771404728,4.42733422859609,16.1499614033684,0.0007247900632094,0.485546486564667,EPN1
