gene,logFC,logCPM,F,PValue,FDR,gene
ENSG00000026508,-2.61573440364863,1.72391068045536,82.8287250326909,6.7069920843669e-09,0.0001734092803413,CD44
ENSG00000243810,-2.07766799825885,-0.29402505879167,27.3787423729476,2.33322879060923e-05,0.201085434604006,CFAP61-AS1
ENSG00000236130,-1.70172268481572,2.27455178583968,28.5916186137339,3.70328278558211e-05,0.239370941053064,PTCSC2
ENSG00000236485,-2.1938869127514,1.93550256837704,26.4145159923217,4.75384474323421e-05,0.245821311672641,LINC01945
ENSG00000137860,-2.22148416736258,1.67008409303621,23.925777455493,7.78562902425715e-05,0.335495730703614,SLC28A2
ENSG00000188393,3.39291034206347,0.94232163954552,23.6072977529758,9.31902514520052e-05,0.344204850184513,CLEC2A
ENSG00000285683,-2.92392092009006,1.39542665293847,19.6899340716433,0.0002034837021951,0.524690540007782,LOC105375775
ENSG00000225231,3.33463834925639,2.27593584096381,20.5612783263581,0.000240999840333,0.524690540007782,LINC02470
ENSG00000259520,-2.19978269904724,2.99785367987742,20.3413346789764,0.0002450601017767,0.524690540007782,SLC28A2-AS1
ENSG00000134602,0.771798475084515,0.101032653820102,19.1164187876816,0.0002605883200396,0.524690540007782,STK26
ENSG00000244300,-1.29880968906276,-0.393648444743597,18.4731710302773,0.0002697138877103,0.524690540007782,GATA2-AS1
ENSG00000234169,-1.44863969757508,-0.172458421509544,18.328707868535,0.0002909062498225,0.524690540007782,LINC01868
ENSG00000091704,6.36791521412171,2.66773530609799,18.411173590916,0.0003089312789737,0.524690540007782,CPA1
ENSG00000254852,-3.23725201079849,-1.38685769670878,17.9358819823912,0.0003405133046065,0.524690540007782,NPIPA2
ENSG00000235559,4.94305854879306,-2.05039356667763,17.1540209865898,0.0003451694208644,0.524690540007782,NOP56P1
ENSG00000197324,-1.43832713286011,-0.106335035486052,17.4999688741203,0.0003454915126201,0.524690540007782,LRP10
ENSG00000231439,1.50107134708264,-0.0503804568911739,17.3382857158482,0.0004195342174095,0.532708653154216,WASIR2
ENSG00000125409,-0.968702882984692,1.23893402308769,17.5620182653325,0.0004576080151484,0.532708653154216,TEKT3
ENSG00000256259,3.93224622807854,-0.267948024810064,16.2716495077133,0.0004672463655667,0.532708653154216,LINC02425
ENSG00000204006,1.00707850944943,-0.882925345771394,15.9520386294981,0.0004738850907966,0.532708653154216,C1ORF185
ENSG00000226383,1.41806643184575,3.1583356041797,17.4367850595927,0.0005384076079639,0.55682114815629,LINC01876
ENSG00000228151,-1.48615984688618,-1.35671073106244,15.4853037985386,0.0006449849654508,0.61435546704215,LOC101928733
ENSG00000267607,-1.21982319866565,-1.3866141359469,15.3644895242543,0.0007426130786267,0.61435546704215,ICAM4-AS1
ENSG00000139344,-0.701472345075941,0.387710373027535,15.210234611453,0.00079395347605,0.61435546704215,AMDHD1
ENSG00000215417,1.15468428741399,-0.677885970986269,14.6049649889874,0.0008282045498306,0.61435546704215,MIR17HG
ENSG00000244052,-1.38492833562483,-0.0181729498235728,14.5445435001845,0.0009050787542755,0.61435546704215,RPL5P24
ENSG00000197301,4.77115503399382,3.13883685730949,15.3273485667354,0.0009434492605752,0.61435546704215,HMGA2-AS1
ENSG00000198246,-0.813313664374444,2.86444755013728,15.3085958920373,0.0009738740439015,0.61435546704215,SLC29A3
ENSG00000253404,-1.72052494795899,-0.588865727089512,14.071802638389,0.0009911944682362,0.61435546704215,CTNNA1-AS1
ENSG00000283646,-1.64450757643126,-0.382778285546273,14.1548300271045,0.0010084914914729,0.61435546704215,LINC02009
ENSG00000275830,-0.893922989945127,2.7572036182104,15.0072633613063,0.0010625213317063,0.61435546704215,LINC03082
ENSG00000129810,1.38426895868181,-1.02210544166763,13.3999073071136,0.001097073907786,0.61435546704215,SGO1
ENSG00000240405,0.877343814987678,2.18350921732223,14.8562626565074,0.0011151651192113,0.61435546704215,SAMMSON
ENSG00000134440,-0.496102129270217,5.39702303237604,14.8280077607543,0.0011167939257776,0.61435546704215,NARS1
ENSG00000166959,-1.3793411793596,-0.0474730995390194,13.5559686185477,0.0012287244939678,0.636355284195636,MS4A8
ENSG00000063245,-1.17872300025215,4.62256602676734,14.4922940153738,0.0012344979121716,0.636355284195636,EPN1
ENSG00000125735,1.13297172085882,-0.0932353993028991,13.7063656696198,0.0012798481832594,0.636355284195636,TNFSF14
ENSG00000164362,-1.22470618528022,-0.944159161216783,13.0352414179507,0.001389859401369,0.653157754898727,TERT
ENSG00000234111,-1.37409735257736,-0.907366488750722,13.1907766561451,0.0014707403078612,0.653157754898727,LINC02433
ENSG00000128849,0.857574391390716,-0.298359149004164,13.062992827698,0.0014979142093349,0.653157754898727,CGNL1
ENSG00000277332,-1.29320389495134,-1.44915004383827,12.8853503416648,0.0015063301991447,0.653157754898727,LOC101928087
ENSG00000125733,-2.4378640541221,-0.223727740635311,12.7674937279971,0.0015157402937119,0.653157754898727,TRIP10
ENSG00000256574,-1.34737339751131,-1.03769215021914,12.5851130256964,0.0016520592687157,0.675210886481409,OR13A1
ENSG00000273024,0.604841867188897,4.3715306807057,13.4863131144338,0.001671378717262,0.675210886481409,INTS4P2
ENSG00000212766,1.15894867965332,-0.479096594348922,12.4397796853484,0.0017048205005969,0.678125139122055,EWSAT1
ENSG00000224445,-2.14177964246337,2.14768830823329,12.9901205637507,0.0017659313697196,0.683687641046212,LINC01708
ENSG00000215252,-0.826314052792587,6.97751770497276,13.2278581133047,0.0018089938628501,0.683687641046212,GOLGA8B
ENSG00000218631,-0.845383783133948,-0.363901177728163,12.3267340417073,0.0018511116063098,0.683687641046212,LOC100420839
ENSG00000159650,-0.981633729614788,-0.383229671438614,12.2599745532634,0.0018698952726845,0.683687641046212,UROC1
ENSG00000285554,-1.42542265942616,-0.398838496425318,12.06120278779,0.0019644152724671,0.685163829386395,LINC02988
ENSG00000101825,1.1253785180489,-1.04885648534581,11.8549330160693,0.0019914872229429,0.685163829386395,MXRA5
ENSG00000150630,1.45322848095169,1.53622656071324,12.9057415967125,0.0020031486328466,0.685163829386395,VEGFC
ENSG00000149089,-0.521059167654396,4.72486583304416,12.8439842946023,0.0020405188498453,0.685163829386395,APIP
ENSG00000232002,-1.14293977498768,-0.590444886206061,11.8559737445761,0.0020745347838173,0.687655087635865,LINC01880
ENSG00000228877,-1.04369777443046,1.09918134240663,12.4129922870432,0.002112315045607,0.69131525954646,LOC100506532
ENSG00000232310,-0.975018155279496,2.05832063441231,12.5432931976579,0.0021907638934547,0.708027505815918,LINC03002
ENSG00000170209,-0.92051149169667,0.19996477799704,11.8178819114018,0.0023133878444777,0.732560822939253,ANKK1
ENSG00000117400,-0.897484272162892,0.124153755705346,11.7497736892162,0.002323341229202,0.732560822939253,MPL
ENSG00000137815,-0.429488793760002,6.42150420125751,12.3344736610408,0.0023970522696783,0.746696222078717,RTF1
ENSG00000204869,0.645217931146967,5.44070179224558,12.2903023258703,0.0024314016047933,0.74837962490395,IGFL4
ENSG00000214900,0.638103964371391,4.20848575448854,12.1861752202444,0.0025155816249138,0.755065904471904,LINC01588
ENSG00000171496,-0.806319122907873,-0.178203990798555,11.4118555509339,0.0025809935160014,0.755065904471904,OR1L8
ENSG00000210176,-2.49840037837695,-0.96192526690601,11.5962197214509,0.0026178209489939,0.755065904471904,MT-TH
ENSG00000139354,1.46665038504197,1.17618715047541,11.9298200755081,0.002694377507222,0.759464997634236,GAS2L3
ENSG00000243468,-1.21258245429283,0.318622473610174,11.2949039070905,0.002800588739433,0.759464997634236,INGX
ENSG00000229980,-0.76551840041712,3.52703670758481,11.8288143773697,0.0028316558855884,0.759464997634236,TOB1-AS1
ENSG00000249378,1.14749675535104,2.17533440772644,11.8017434293698,0.0028677109006367,0.759464997634236,LINC01060
ENSG00000240661,-1.88276825458336,3.33132304905605,11.7933144986764,0.0028685196765283,0.759464997634236,BTNL12P
ENSG00000226067,0.483136655231676,3.81633533143061,11.7380996945151,0.0029114928622801,0.759464997634236,LINC00623
ENSG00000237238,0.833297462772305,5.77697379449643,11.5198334372699,0.0031240253459159,0.759464997634236,BMS1P10
ENSG00000198491,-0.998954565224681,-0.0157734492172879,10.903909884008,0.0031831711754354,0.759464997634236,LOC101929106
ENSG00000185002,-1.22811942141812,-0.806079278783082,10.8944943243753,0.003211412951947,0.759464997634236,RFX6
ENSG00000089101,-0.636104374625422,5.10314174062327,11.4218241777266,0.0032277704686601,0.759464997634236,CFAP61
ENSG00000063180,-0.396091313019047,5.80467028443118,11.3755171488994,0.0032770228083977,0.759464997634236,CA11
ENSG00000225882,-0.842631687848207,1.38955957655816,11.1852334182708,0.0033066067352058,0.759464997634236,LINC01456
ENSG00000174236,0.865166510421395,1.41772407107997,11.2787973410944,0.0033625831546823,0.759464997634236,REP15
ENSG00000149305,-0.766819418865211,3.89079881698543,11.2485691479242,0.0034254492334834,0.759464997634236,HTR3B
ENSG00000177398,-0.860668417883272,0.796241120177083,10.8920211034113,0.0034258612211567,0.759464997634236,UMODL1
ENSG00000260807,-1.14296265498563,0.270908191479492,10.6323241255593,0.0034633200227379,0.759464997634236,CEROX1
ENSG00000124380,-0.495295000622449,3.31075733914079,11.2064224991405,0.0034777319486788,0.759464997634236,SNRNP27
ENSG00000225179,-0.851513292187406,1.65570886858594,11.0903488278682,0.003503328105817,0.759464997634236,LINC00457
ENSG00000234493,1.05198512156522,-0.48885133810207,10.4725372474539,0.0035072280481461,0.759464997634236,RHOXF1P1
ENSG00000261348,-1.47579979263584,0.736227169926467,10.716154987842,0.003530618806899,0.759464997634236,LINC02136
ENSG00000266357,-1.02014703369144,1.59725737209802,10.9930938405292,0.003578743769943,0.759464997634236,LINC02074
ENSG00000276850,-1.76530183701624,-1.2507919964083,10.5528770199581,0.0036599102929513,0.759464997634236,ANXA8
ENSG00000267594,-1.42599192450377,-0.462774475780368,10.3235567230319,0.0036720495659457,0.759464997634236,CYP4F24P
ENSG00000287687,-1.00293987972858,-0.350270413658339,10.2488444083988,0.0036738317501438,0.759464997634236,LOC102724482
ENSG00000105392,1.40967230240671,-0.134182377964234,10.4696009553316,0.0036901887721603,0.759464997634236,CRX
ENSG00000232412,0.7857148244877,-0.304516497625298,10.4855415097369,0.0037011251093372,0.759464997634236,STAG2-AS1
ENSG00000152672,-1.36387360790602,-1.10721079111594,10.406659149859,0.0037630501164109,0.760106724685974,CLEC4F
ENSG00000155269,-1.06030595119883,-0.401619432551501,10.4050220271804,0.0038004394545113,0.761708233305358,GPR78
ENSG00000270876,-0.959896242214298,-1.37910162826216,10.1771489592642,0.0039007680085874,0.769880586733034,ZNF30-AS1
ENSG00000259620,-1.46042096922336,-0.363384795682199,10.2266955597377,0.0039870348071411,0.772311577649088,LOC102724452
ENSG00000146013,-1.14446393710625,-0.113125043019762,10.0964565353156,0.0041207508570162,0.772311577649088,GFRA3
ENSG00000263006,0.7415850737972,2.3314287586511,10.704582406429,0.004123961254292,0.772311577649088,ROCK1P1
ENSG00000156206,0.87499314852635,5.46751414812303,10.6193287539559,0.0042280819302886,0.772311577649088,CFAP161
ENSG00000261416,-1.03391514348321,-0.958893971222366,10.0596798421176,0.0042359795309631,0.772311577649088,CORO1A-AS1
ENSG00000226807,-0.843368895857934,-0.649137451888598,9.84990583518295,0.0043020913613545,0.772311577649088,MROH5
