gene_ensembl,logFC,logCPM,F,PValue,FDR,gene
ENSG00000134321,-3.0336170740274,6.25542765292324,26.3725660248421,1.55582083965752e-05,0.0599302187436078,RSAD2
ENSG00000177409,-2.56208872495869,6.8114653467785,20.214393906497,9.83697190285645e-05,0.13922541917933,SAMD9L
ENSG00000117461,4.2661813017717,6.93610987220852,19.8446004679918,0.0001084310118219,0.13922541917933,PIK3R3
ENSG00000137959,-2.44156306080431,8.29313422943034,16.7386547415627,0.0003282267301184,0.316082341104096,IFI44L
ENSG00000067225,2.13736381580114,7.13216800324731,14.9724871667128,0.0005917374116451,0.455874501931437,PKM
ENSG00000166037,2.94472730696473,6.76566737487754,12.8614093442786,0.0011160539281702,0.611830634010819,CEP57
ENSG00000115310,1.49020626614744,8.8129955002206,12.1924671588804,0.0016802237830234,0.611830634010819,RTN4
ENSG00000136098,-1.51658466728729,7.14326541449347,11.6756525916667,0.0019331817752687,0.611830634010819,NEK3
ENSG00000137628,-1.67384751567339,6.92584033776722,11.5523963823848,0.0019848812529543,0.611830634010819,DDX60
ENSG00000184226,1.8086230627305,9.02828724521396,11.4018288077167,0.0022536235668349,0.611830634010819,PCDH9
ENSG00000173821,-1.38789798291803,8.31652940523658,11.3206321052641,0.0023031907268397,0.611830634010819,RNF213
ENSG00000267028,3.27009795302725,6.75081407215319,10.953590728985,0.0023561839184381,0.611830634010819,TCF4-AS1
ENSG00000135862,2.62257067022657,7.41069341255717,11.030605730161,0.0024817012150156,0.611830634010819,LAMC1
ENSG00000101187,2.18569668818671,9.04982424911598,10.8600516600226,0.0027687381009805,0.611830634010819,SLCO4A1
ENSG00000147488,2.99287613098078,6.46438502555483,10.4939789937542,0.0027903229910319,0.611830634010819,ST18
ENSG00000162654,-1.63202930507442,7.55835737046078,10.6082524425357,0.0029682555250719,0.611830634010819,GBP4
ENSG00000132530,-1.30397394951654,8.74917402495747,10.5672715339872,0.0030846162004145,0.611830634010819,XAF1
ENSG00000117228,-2.52168828062203,6.3111186229357,10.2592432798451,0.0031992087375207,0.611830634010819,GBP1
ENSG00000170340,1.87324550585349,6.80616046545219,10.2585244189556,0.0032857239820693,0.611830634010819,B3GNT2
ENSG00000167081,1.7338408129292,7.73559515538648,10.3617334089732,0.0033355252632988,0.611830634010819,PBX3
ENSG00000185022,3.87222417638801,6.68182661119685,9.92577090046671,0.0036437810583927,0.637992938042221,MAFF
ENSG00000088538,2.11914672889137,6.8437794488752,9.7557009834672,0.0040344837122197,0.661595829435643,DOCK3
ENSG00000151468,3.93258743644163,7.43052380629769,9.58641640877496,0.0041727431273048,0.661595829435643,CCDC3
ENSG00000120254,3.03955262944167,7.8572317817445,9.67284106816779,0.0042938462450392,0.661595829435643,MTHFD1L
ENSG00000163046,2.8322090440941,8.12422551741023,9.39750403456723,0.0048614341311923,0.702117080961352,ANKRD30BL
ENSG00000133106,-1.50867162326627,8.70585790855601,9.28988593199548,0.005092354540268,0.702117080961352,EPSTI1
ENSG00000176225,-1.31004540383535,6.80514806484296,8.95421059394256,0.0056249733045029,0.702117080961352,RTTN
ENSG00000197375,-1.72679609920733,6.88723778294403,8.85544443947276,0.0058087737755975,0.702117080961352,SLC22A5
ENSG00000091129,2.74514707539255,6.74459389674726,8.71908381255119,0.0060225001989058,0.702117080961352,NRCAM
ENSG00000170271,-1.55999192953,6.94913403713658,8.74154964321759,0.0061656392770009,0.702117080961352,FAXDC2
ENSG00000184178,-1.37913754269639,7.5746886083728,8.74506636104389,0.0063114955981501,0.702117080961352,SCFD2
ENSG00000162692,-2.79517709071631,6.83909099626788,8.57655910184141,0.0064782695603887,0.702117080961352,VCAM1
ENSG00000166432,-1.46411504043006,6.72468378938211,8.5674423445881,0.006580617691732,0.702117080961352,ZMAT1
ENSG00000178568,1.84837788178854,7.97735794044865,8.57282704885206,0.0068707303837246,0.702117080961352,ERBB4
ENSG00000055332,-1.13543523142388,7.99742077963923,8.53859093443372,0.0069213861055017,0.702117080961352,EIF2AK2
ENSG00000136404,1.58576767978721,7.40023697214752,8.31021692636104,0.0075957270853904,0.702117080961352,TM6SF1
ENSG00000266903,2.24422933281751,7.51032425754053,8.26126218853047,0.0077016513074175,0.702117080961352,CEACAM16-AS1
ENSG00000169554,2.0048220179524,6.97741374449161,8.1536577990663,0.0079458453509193,0.702117080961352,ZEB2
ENSG00000084453,-1.84807502710783,8.37932537987384,8.13689225694244,0.008192182210106,0.702117080961352,SLCO1A2
ENSG00000100519,1.62786948461813,6.92485000306006,8.01751474126988,0.0083920666006845,0.702117080961352,PSMC6
ENSG00000111666,1.62995485786916,6.67390116321459,7.93221142537518,0.0086440867390842,0.702117080961352,CHPT1
ENSG00000066855,1.93879410719121,6.76593050317962,7.829839670548,0.009021658789396,0.702117080961352,MTFR1
ENSG00000107518,1.53257166791824,7.21817827190893,7.87661271612107,0.00909758544083,0.702117080961352,ATRNL1
ENSG00000004799,1.60055324330338,7.51887047343052,7.84869494531886,0.0092621728630152,0.702117080961352,PDK4
ENSG00000078018,1.22613766012491,8.08066926534496,7.84051780833019,0.0093276199418239,0.702117080961352,MAP2
ENSG00000136114,-1.41301447468164,6.37175799866481,7.62655208703485,0.0096881376879256,0.702117080961352,THSD1
ENSG00000102024,1.80647556003123,7.47147675523184,7.72993204890767,0.0096986556406377,0.702117080961352,PLS3
ENSG00000196814,-1.21295999256341,6.98594442294524,7.64905164773056,0.0098767152258523,0.702117080961352,MVB12B
ENSG00000151687,-1.17040661834248,7.05036797512373,7.65166912074171,0.0098900869965475,0.702117080961352,ANKAR
ENSG00000103888,-2.16553923109535,7.33877422242404,7.62530027924965,0.0099176074565369,0.702117080961352,CEMIP
ENSG00000103942,-1.32066193662426,7.31152009338202,7.6575837218114,0.0099256850860653,0.702117080961352,HOMER2
ENSG00000265808,1.63773760231827,6.61181860169959,7.5860645941947,0.0099702850493148,0.702117080961352,SEC22B
ENSG00000144810,-2.20828796023306,6.9881152883017,7.57065186568686,0.0101093276364777,0.702117080961352,COL8A1
ENSG00000111859,1.48775851068822,9.76324790355793,7.59265668433698,0.0103923298776946,0.702117080961352,NEDD9
ENSG00000152464,-1.38972734278558,6.78835340949017,7.48408725034452,0.0105295088865307,0.702117080961352,RPP38
ENSG00000120251,1.93709679406307,7.02616788374606,7.49661553078237,0.010599472841232,0.702117080961352,GRIA2
ENSG00000073711,1.43944639074389,6.76351598850291,7.41821254935257,0.0108290607276327,0.702117080961352,PPP2R3A
ENSG00000116171,1.38087809556293,7.00286869079839,7.43333982241682,0.0109364031302391,0.702117080961352,SCP2
ENSG00000168209,2.36866112525553,6.62897264549992,7.29102632240976,0.0111512727609379,0.704175453690702,DDIT4
ENSG00000152348,-1.1322284462118,7.51853833544431,7.25384624726124,0.0119108460414808,0.733587415157785,ATG10
ENSG00000162645,-1.43075523765837,7.5890902011363,7.23623019528875,0.0119979250142628,0.733587415157785,GBP2
ENSG00000171843,-1.0559100630698,8.52184243296916,7.16847677330056,0.0124835663995034,0.749359938481728,MLLT3
ENSG00000168016,-1.80660349072789,5.97336270673735,6.99743950448488,0.0127319491941249,0.749359938481728,TRANK1
ENSG00000164830,1.07721309233426,8.54241308200093,7.07467122471275,0.0130298214427682,0.749359938481728,OXR1
ENSG00000225521,-1.50880229612293,7.21510954735675,7.01945467972047,0.0130340383899989,0.749359938481728,SNED1-AS1
ENSG00000184220,-1.20529814183628,7.85906957201086,6.9942222109812,0.0134160944972413,0.75998229416726,CMSS1
ENSG00000241158,3.4201667230508,7.09212098638046,6.78478158181054,0.0139914023300014,0.781085243118339,ADAMTS9-AS1
ENSG00000251136,-1.0549641472565,7.41305825054392,6.80919682267233,0.0144751666833042,0.792922391584665,PARAIL
ENSG00000134769,1.75728973492176,6.63159900969752,6.73288930561133,0.0146151323474847,0.792922391584665,DTNA
ENSG00000144228,1.74453188340468,6.53967639037282,6.57152193731914,0.0156809395336848,0.832166685835682,SPOPL
ENSG00000196937,-1.27599478037666,6.49503830040358,6.52524744758733,0.0160493854622807,0.835435578387908,FAM3C
ENSG00000131378,1.86264392173456,7.49770322693633,6.44974385048643,0.0170817236912086,0.860517028164318,RFTN1
ENSG00000183018,1.81363561649462,6.54169792699535,6.35628217933273,0.0171947999640208,0.860517028164318,SPNS2
ENSG00000155962,1.62977385123639,6.91109722871942,6.40489721626466,0.0172014047686014,0.860517028164318,CLIC2
ENSG00000185666,1.52090763146932,7.6481226296631,6.32663060011173,0.0181266888779621,0.866639338506114,SYN3
ENSG00000003393,-1.1365064027532,6.95553582034795,6.27236575711862,0.0182787984462344,0.866639338506114,ALS2
ENSG00000131773,1.71845614746879,6.68111205680131,6.25128450125895,0.0183062572982363,0.866639338506114,KHDRBS3
ENSG00000198130,-0.902181958400132,7.50961414328276,6.28408974482772,0.0183890246080949,0.866639338506114,HIBCH
ENSG00000167772,2.86623942711903,6.46757076030822,6.08255166618504,0.0191904274136037,0.866639338506114,ANGPTL4
ENSG00000163638,2.25514975765256,10.4482739574864,6.20272756044522,0.0192315940946671,0.866639338506114,ADAMTS9
ENSG00000174579,-1.20822027251413,6.74230559779469,6.14894531057405,0.0192355963523279,0.866639338506114,MSL2
ENSG00000149972,1.30730260924098,7.42829820401013,6.17846838473925,0.019348645667582,0.866639338506114,CNTN5
ENSG00000033122,1.64791325393072,7.02521875660481,6.05371445385683,0.0203180860355426,0.872156676162599,LRRC7
ENSG00000188338,-1.1300017521272,6.74629631802758,5.95100136639484,0.0210839302381997,0.872156676162599,SLC38A3
ENSG00000164306,-1.81470549727854,5.74986333965581,5.8705934610744,0.0212857668765013,0.872156676162599,PRIMPOL
ENSG00000067082,1.3962717834552,8.4589957489081,5.90439759137844,0.0220781491021618,0.872156676162599,KLF6
ENSG00000150764,2.0222191221035,6.44995957485671,5.78485802049604,0.0222434652487265,0.872156676162599,DIXDC1
ENSG00000224597,-0.924247344699606,7.77375811196798,5.81642804090999,0.0228819400271096,0.872156676162599,SVIL-AS1
ENSG00000104324,-1.042392169632,7.89004131254645,5.80413079122213,0.0230134827791355,0.872156676162599,CPQ
ENSG00000145246,-1.15455294045388,7.44626841068544,5.76073093018995,0.023383071422013,0.872156676162599,ATP10D
ENSG00000153560,-1.23434158894822,6.63335744088566,5.69816494898953,0.0236692948791633,0.872156676162599,UBP1
ENSG00000161835,1.22263850364129,7.54870130205704,5.74089786222361,0.0237023228372631,0.872156676162599,TAMALIN
ENSG00000127022,1.30368789870823,6.80565622882665,5.71213613105853,0.0237249545201265,0.872156676162599,CANX
ENSG00000127528,1.2815620706188,8.62142009167551,5.74541945555791,0.0237746452280437,0.872156676162599,KLF2
ENSG00000113916,2.05424020930807,6.41373158393146,5.64989158435597,0.0238926141472462,0.872156676162599,BCL6
ENSG00000280870,-1.53602463146245,7.37870434874732,5.70649628304621,0.0239081218140841,0.872156676162599,MIR325HG
ENSG00000160447,1.18026863734554,6.9470303093574,5.61705317600202,0.0248881566733639,0.872156676162599,PKN3
