gene_ensembl,logFC,logCPM,F,PValue,FDR,gene
ENSG00000117461,-4.22451900351417,6.93610987220852,18.7890804064295,0.0001516167821877,0.316474916285956,PIK3R3
ENSG00000166037,-3.38544729329279,6.76566737487754,17.2615385855089,0.0002308188444706,0.316474916285956,CEP57
ENSG00000135111,-2.8062834418523,7.46100970856838,17.5535431713278,0.0002464757914999,0.316474916285956,TBX3
ENSG00000078018,-1.74163538067874,8.08066926534496,14.930712512909,0.0006343196250527,0.610849798925839,MAP2
ENSG00000146592,2.59547652425225,6.76433696588977,13.6468898902145,0.0008688967194909,0.669398032695847,CREB5
ENSG00000233797,-4.3294361072772,6.51991012181753,12.8772389106035,0.0011094709348052,0.712280340144957,UFL1-AS1
ENSG00000185022,-4.11671139414806,6.68182661119685,11.2423862910566,0.0021521690922213,0.92609958965046,MAFF
ENSG00000170340,-1.91535805636883,6.80616046545219,10.2333537907455,0.0033189243231719,0.92609958965046,B3GNT2
ENSG00000073711,-1.70186256157586,6.76351598850291,10.0883905263443,0.003530818211603,0.92609958965046,PPP2R3A
ENSG00000100519,-1.85069653575527,6.92485000306006,10.023265455455,0.0036547291147514,0.92609958965046,PSMC6
ENSG00000119686,1.557447475812,7.18758908713524,9.80212611204181,0.0040705420961167,0.92609958965046,FLVCR2
ENSG00000197442,-1.61716019727897,8.02799463399227,9.67221686876568,0.0043822341529598,0.92609958965046,MAP3K5
ENSG00000135862,-2.47423084772129,7.41069341255717,9.37345357738341,0.0047915253412157,0.92609958965046,LAMC1
ENSG00000151468,-3.91573812804143,7.43052380629769,9.19349628235589,0.004913289862973,0.92609958965046,CCDC3
ENSG00000111817,1.99283503972891,6.20493363256436,9.05040244689653,0.0051263144174646,0.92609958965046,DSE
ENSG00000136114,1.61690953957227,6.37175799866481,8.84464854854897,0.005728890480767,0.92609958965046,THSD1
ENSG00000067225,-1.70315847204754,7.13216800324731,8.81281810141338,0.0060509724231753,0.92609958965046,PKM
ENSG00000136237,-1.88996951578161,9.50368286655013,8.86870735091236,0.0060840365351248,0.92609958965046,RAPGEF5
ENSG00000150764,-2.43895039277626,6.44995957485671,8.54128621597158,0.0063876156932969,0.92609958965046,DIXDC1
ENSG00000159388,-1.55702091000183,7.41466385861071,8.51678404766332,0.0069127737226494,0.92609958965046,BTG2
ENSG00000005020,1.26183160432552,7.66649286305212,8.45417541760114,0.007166507284762,0.92609958965046,SKAP2
ENSG00000014123,-1.69012751711115,6.82552837092557,8.15354825256725,0.0078927578747393,0.92609958965046,UFL1
ENSG00000168209,-2.53296756182105,6.62897264549992,8.03354557657854,0.0080309600261828,0.92609958965046,DDIT4
ENSG00000197302,-2.42040763690076,6.37446523103109,7.99066373495953,0.0080876190910145,0.92609958965046,KRABD5
ENSG00000267028,-2.9107767967289,6.75081407215319,7.94852319688671,0.0082698257076595,0.92609958965046,TCF4-AS1
ENSG00000241158,-3.70740394330194,7.09212098638046,7.91203158658385,0.0084451837406655,0.92609958965046,ADAMTS9-AS1
ENSG00000153162,1.56369906689216,8.76003737401778,8.03801159103673,0.0086004118759982,0.92609958965046,BMP6
ENSG00000184226,-1.54468411548104,9.02828724521396,7.99257996754582,0.0087708935533584,0.92609958965046,PCDH9
ENSG00000161835,-1.46339300240154,7.54870130205704,7.80647637680847,0.0094164506872501,0.92609958965046,TAMALIN
ENSG00000183018,-2.02263527067468,6.54169792699535,7.6848289910935,0.009439394710801,0.92609958965046,SPNS2
ENSG00000111859,-1.54889433575513,9.76324790355793,7.75904425595722,0.0096764462792017,0.92609958965046,NEDD9
ENSG00000279170,1.23979789476571,7.27926643889502,7.72578357425995,0.0096850863883397,0.92609958965046,TSTD3
ENSG00000265808,-1.67626742508903,6.61181860169959,7.63093949907646,0.0097758107403519,0.92609958965046,SEC22B
ENSG00000166432,1.45966034482729,6.72468378938211,7.45879521155858,0.0106133154419415,0.92609958965046,ZMAT1
ENSG00000153560,1.48922315126238,6.63335744088566,7.29259913224946,0.011399113938121,0.92609958965046,UBP1
ENSG00000242808,-2.10085865686683,6.54797764385512,7.13376747082869,0.0120566597230639,0.92609958965046,SOX2-OT
ENSG00000234684,-2.16861997495658,8.09885486658635,7.21552913124036,0.0122082007055358,0.92609958965046,SDCBP2-AS1
ENSG00000107738,-1.23592129579591,7.63896371769481,7.18184952716889,0.0123626927925932,0.92609958965046,VSIR
ENSG00000231500,-1.59399614357832,7.13116183743236,7.13502663686325,0.0124565937295457,0.92609958965046,RPS18
ENSG00000134107,-1.96454034031222,8.2889221274526,7.1362896600073,0.0126621787663772,0.92609958965046,BHLHE40
ENSG00000184178,1.31684496444627,7.5746886083728,7.03933873772184,0.0130927661036978,0.92609958965046,SCFD2
ENSG00000115310,-1.1563256171826,8.8129955002206,7.05995578813994,0.0131163968831355,0.92609958965046,RTN4
ENSG00000138722,2.33212738468829,6.25777125794198,6.87545039252398,0.0133237419821121,0.92609958965046,MMRN1
ENSG00000105339,-1.34261588657811,8.26291677731011,7.01509285334081,0.0133491932563386,0.92609958965046,DENND3
ENSG00000074416,-1.33838295999763,8.42254488370618,7.00998812505028,0.0133993837053431,0.92609958965046,MGLL
ENSG00000266903,-2.11066799216074,7.51032425754053,6.95320112230216,0.0135695734916143,0.92609958965046,CEACAM16-AS1
ENSG00000135299,1.44149018298085,6.82770929158925,6.85353215891639,0.0139876551207907,0.92609958965046,ANKRD6
ENSG00000120254,-2.62938110165324,7.8572317817445,6.86648643396728,0.0140766671487848,0.92609958965046,MTHFD1L
ENSG00000083896,-1.27581702490759,7.79000458368907,6.87407895381698,0.0141741614691606,0.92609958965046,YTHDC1
ENSG00000102024,-1.74802826339124,7.47147675523184,6.76628238436172,0.0147976513791362,0.92609958965046,PLS3
ENSG00000163046,-2.44389644279986,8.12422551741023,6.77114412369719,0.0148065362704351,0.92609958965046,ANKRD30BL
ENSG00000133119,-1.33888044741801,7.28131788202806,6.66724936940757,0.0154236349845444,0.92609958965046,RFC3
ENSG00000154274,-2.05559329523325,7.60712931419278,6.61879068071221,0.0158136276007213,0.92609958965046,PGCKA1
