gene,logFC,logCPM,F,PValue,FDR,gene
ENSG00000267698,-2.5438796633974,3.58605782413244,26.0251854877455,4.46585346921577e-05,0.357497911001678,LOC101927572
ENSG00000153982,-1.77611412652768,4.62945338233426,26.7837041047718,5.65035421213337e-05,0.357497911001678,GDPD1
ENSG00000083635,1.20356419305847,4.11042354229903,21.8240714134725,0.0001762461232151,0.572141902101034,NUFIP1
ENSG00000112874,-1.95859843257518,3.85640502964283,18.5980009929971,0.0003516494803751,0.572141902101034,NUDT12
ENSG00000175426,-2.51302116152919,3.42542066561323,17.6361075795212,0.0003733898397708,0.572141902101034,PCSK1
ENSG00000122783,-1.33168263777065,6.0619030805099,17.7111039474896,0.0004933433763688,0.572141902101034,CYREN
ENSG00000014641,-1.28536348173394,5.33350188446349,17.5387611752094,0.0005199393488393,0.572141902101034,MDH1
ENSG00000136243,0.875686375776047,6.13850006817732,17.4782408012798,0.000524207921622,0.572141902101034,NUP42
ENSG00000066136,0.760452410901605,6.54438718673769,17.4262058770755,0.000531021811922,0.572141902101034,NFYC
ENSG00000197355,-2.19164153622534,3.33385178767212,16.4092257860265,0.0005469397371869,0.572141902101034,UAP1L1
ENSG00000131495,-1.69167387611002,5.24040388666934,17.2118099149256,0.0005683365778184,0.572141902101034,NDUFA2
ENSG00000138085,1.49973579150596,3.37647611385231,16.5410040408307,0.0006360771394382,0.572141902101034,ATRAID
ENSG00000060749,0.693115982087771,7.47089124333361,16.0410374521241,0.0007786192822127,0.572141902101034,QSER1
ENSG00000164292,-1.42115232827238,6.52864597710105,15.6118266345751,0.0008817224341309,0.572141902101034,RHOBTB3
ENSG00000163959,-3.50430913186304,3.86523943211256,14.5966161376104,0.0009455519467499,0.572141902101034,SLC51A
ENSG00000144824,2.45976805567846,3.24138692085501,14.7027984993772,0.0009666738511198,0.572141902101034,PHLDB2
ENSG00000269743,0.863869068944645,5.2153304398785,15.0896750805542,0.0010313046031714,0.572141902101034,SLC25A53
ENSG00000204161,1.01840544425356,5.74430888187289,14.9953165144431,0.0010559307316135,0.572141902101034,TMEM273
ENSG00000259736,-2.63269278398833,3.3633485483329,13.9614484199221,0.0011435417349315,0.572141902101034,CRTC3-AS1
ENSG00000101104,1.05740430456151,4.53788842963309,14.6442639879701,0.0011829778629539,0.572141902101034,PABPC1L
ENSG00000248019,0.767710709352518,5.58460743162462,14.5897233525449,0.0011906526175536,0.572141902101034,FAM13A-AS1
ENSG00000001084,1.03003162395365,5.86957851047516,14.5819663399733,0.0011916516561865,0.572141902101034,GCLC
ENSG00000263293,-2.44011719194796,3.41140468284602,13.4862142577653,0.0013646152429071,0.572141902101034,EFCAB13-DT
ENSG00000177989,-3.53462453668794,3.3264620288295,13.2799332172009,0.0014096640317866,0.572141902101034,CIMAP1B
ENSG00000001460,1.65199241881993,3.54412668698546,13.8888756025295,0.0014125759678088,0.572141902101034,STPG1
ENSG00000105499,1.39635992308028,4.7082542894846,14.0065910163909,0.0014289514345708,0.572141902101034,PLA2G4C
ENSG00000172667,0.869815597264386,7.84295371155621,13.9588085910649,0.0014323603590016,0.572141902101034,ZMAT3
ENSG00000125449,1.35742598069405,3.42436800265274,13.30603055904,0.0016854223750604,0.572141902101034,ARMC7
ENSG00000117151,0.939456576636593,5.11748009224979,13.4179066469076,0.0017032472966562,0.572141902101034,CTBS
ENSG00000152953,0.78040063582378,7.64637979856415,13.0667600252371,0.0018850620394736,0.572141902101034,STK32B
ENSG00000031081,0.737212830249914,7.9444742900044,13.0014695953732,0.0019238677517893,0.572141902101034,ARHGAP31
ENSG00000138735,-1.83288929990409,6.66104191646926,13.0015016395303,0.0019271255961883,0.572141902101034,PDE5A
ENSG00000248527,2.4502311851705,5.1538552220845,12.8895773107249,0.0020111919674569,0.572141902101034,MTATP6P1
ENSG00000197756,-1.59176182407622,7.28892996229303,12.8522705978384,0.0020170636133775,0.572141902101034,RPL37A
ENSG00000173482,0.910704940180964,7.46691857918368,12.8043313870255,0.002047158317542,0.572141902101034,PTPRM
ENSG00000081026,0.710771796563156,7.0017914044734,12.7869443897901,0.0020588748860955,0.572141902101034,MAGI3
ENSG00000229425,-3.03287975237738,4.03772367071691,12.3051096591546,0.0020644243614886,0.572141902101034,LOC105369302
ENSG00000050030,1.06773350241038,5.76144477350884,12.6017911341323,0.0021892160298238,0.572141902101034,NEXMIF
ENSG00000172809,-1.54380500056987,6.3387447381396,12.3153797885469,0.0023966107440823,0.572141902101034,RPL38
ENSG00000130818,1.3126614334246,3.03345627350735,11.9402251751519,0.0024467156156754,0.572141902101034,ZNF426
ENSG00000139354,-1.07799485249445,4.66873358744641,12.25267223645,0.0024609694120248,0.572141902101034,GAS2L3
ENSG00000269289,-3.88996328433538,3.33899462740657,12.0104463638614,0.0024829681487985,0.572141902101034,ZNF276-AS1
ENSG00000122507,0.682477641210359,8.02021602918525,12.1853943601551,0.0024940138674843,0.572141902101034,BBS9
ENSG00000163812,0.9081680047591,5.90953168212602,12.1756303597689,0.0025072045841615,0.572141902101034,ZDHHC3
ENSG00000251600,-1.33090037831721,5.18488647184583,12.0742307624445,0.0026048430468957,0.572141902101034,GUSBP5
ENSG00000177156,-1.01138633946987,4.73340631318387,11.8007367001004,0.0028522651002413,0.572141902101034,TALDO1
ENSG00000250974,-2.06191669104801,4.35250328712727,11.6815357351424,0.0028951766307145,0.572141902101034,LOC105374642
ENSG00000072864,0.824286316257277,5.86025733269263,11.7080168162162,0.0029200266378884,0.572141902101034,NDE1
ENSG00000270069,0.967309754496489,6.51248956703882,11.6212329961862,0.0030002983823971,0.572141902101034,MIR222HG
ENSG00000229140,-3.59559992809196,9.27563242136501,11.6162801284251,0.0030031891966563,0.572141902101034,CCDC26
ENSG00000258471,-3.07409680195847,3.34665083580795,10.9639911328508,0.0030597795855121,0.572141902101034,LOC101929718
ENSG00000114956,0.696225649320149,5.56308292409959,11.5635454331061,0.0030658697150234,0.572141902101034,DGUOK
ENSG00000099219,-1.06431603065185,5.46416274417473,11.5647776082835,0.0030701427204289,0.572141902101034,ERMP1
ENSG00000106665,0.777979710383978,6.87660764527198,11.5493114806293,0.0030712965093051,0.572141902101034,CLIP2
ENSG00000178795,-2.31613845357781,3.68531704841543,11.1447680924359,0.0031681467893851,0.572141902101034,GDPD4
ENSG00000135503,-1.26697618437829,5.26183477252558,11.4693799923495,0.0031722848267775,0.572141902101034,ACVR1B
ENSG00000258667,-3.43019769115774,8.50276574876456,11.3480560481207,0.0032835093679509,0.572141902101034,HIF1A-AS3
ENSG00000266412,0.90039500216325,5.53335591304663,11.3185858722439,0.0033261312667267,0.572141902101034,NCOA4
ENSG00000254988,-1.91703274212209,4.29443188498562,11.2318660597722,0.0033682815928266,0.572141902101034,ACER3-AS1
ENSG00000197056,0.825104178852616,5.34851323828293,11.2348506002497,0.0034238240240774,0.572141902101034,ZMYM1
ENSG00000151422,0.57365047509872,9.18871142700248,11.1652383778177,0.0034889233959533,0.572141902101034,FER
ENSG00000189043,-0.881501578644734,5.08088727494399,11.1579789643395,0.0035229751084791,0.572141902101034,COXFA4
ENSG00000198763,1.37816564497112,5.93666964359552,11.1297432713976,0.0035384368691707,0.572141902101034,MT-ND2
ENSG00000120318,1.40762837453102,3.37277631509292,11.0188782016162,0.0035392762249237,0.572141902101034,ARAP3
ENSG00000184005,0.894306426755408,10.5126823882178,11.0684494253604,0.003604265677828,0.572141902101034,ST6GALNAC3
ENSG00000149380,-2.27992722149198,4.78814657062441,11.0274117623032,0.0036155397889815,0.572141902101034,P4HA3
ENSG00000235958,-1.9846332010564,4.89951273420652,11.0155184279762,0.0036739642643998,0.572141902101034,UBOX5-AS1
ENSG00000204227,0.851864864609654,4.5378719875035,11.000906414082,0.0037206983394465,0.572141902101034,RING1
ENSG00000131370,-2.42172617537102,5.5902715532561,10.920814427582,0.0037994730608571,0.572141902101034,SH3BP5
ENSG00000262619,-4.54439498176977,4.75621335525283,10.4403517438499,0.0038907360060492,0.572141902101034,LINC00621
ENSG00000148180,0.744818680897481,8.23963889321708,10.8271384215136,0.0039112918337912,0.572141902101034,GSN
ENSG00000214787,-2.68240105726363,5.70696660583001,10.8283592198849,0.0039254250011869,0.572141902101034,MS4A4E
ENSG00000261632,-2.58217435903938,3.77403617550855,10.4977975954273,0.0039584490851886,0.572141902101034,MYO9A-AS1
ENSG00000002834,0.588371506347622,6.0449788037064,10.7766440627858,0.0039847061930518,0.572141902101034,LASP1
ENSG00000231185,-1.70618955478497,3.60153648966982,10.3924724579181,0.0042007624774681,0.572141902101034,LINC01844
ENSG00000266978,-2.10885953459857,3.85027254462951,10.4240133952198,0.0042294064082074,0.572141902101034,LIMASI
ENSG00000143947,-1.52624009988326,6.83785610243961,10.5419473988734,0.0043151989866528,0.572141902101034,RPS27A
ENSG00000122862,-2.21265905000174,8.72540600462594,10.5151276840658,0.004352128961445,0.572141902101034,SRGN
ENSG00000183011,-1.41376802734315,4.19925715619175,10.4544469122442,0.0044280567743849,0.572141902101034,NAA38
ENSG00000258162,1.94980964188811,4.60995670969002,10.4107299906809,0.0045377219114873,0.572141902101034,PPFIA2-AS2
ENSG00000169567,-0.961629773862706,5.49597042977904,10.3996119477269,0.0045479726208725,0.572141902101034,HINT1
ENSG00000182247,0.42060857423389,10.4729451299422,10.3657707354443,0.0045821520910352,0.572141902101034,UBE2E2
ENSG00000125691,-1.92928872915247,6.38078866754301,10.3163550890609,0.0046714236574381,0.572141902101034,RPL23
ENSG00000244694,0.966939667981315,7.27083698715964,10.2426679746027,0.0047835433198847,0.572141902101034,PTCHD4
ENSG00000151065,0.799098173986157,5.3263008356795,10.2502920527487,0.004789468458539,0.572141902101034,DCP1B
ENSG00000127184,-1.12745842707176,5.00009678225305,10.2461866387178,0.0048101082848881,0.572141902101034,COX7C
ENSG00000214300,-1.55710931132524,5.38757938757376,10.2101916536889,0.0048645024603766,0.572141902101034,SPDYE3
ENSG00000271869,1.43552563176654,3.14719666748517,9.99420615759876,0.0049202036224283,0.572141902101034,DCTN6-DT
ENSG00000116473,0.499764476935324,9.10421071940734,10.0551890959205,0.0051063233783816,0.572141902101034,RAP1A
ENSG00000147684,-1.45067434934875,5.91430985492963,9.95797900212306,0.0052988136848666,0.572141902101034,NDUFB9
ENSG00000214262,-2.63215673362634,5.97721002280878,9.95024453866162,0.0053138871726519,0.572141902101034,ANKRD36BP1
ENSG00000140406,1.59630975711498,3.14685182638006,9.68089845380011,0.0053986530610539,0.572141902101034,TLNRD1
ENSG00000015171,0.530673771282717,7.61219727747822,9.84589781374715,0.0054978314864005,0.572141902101034,ZMYND11
ENSG00000198727,1.3776404367756,6.61515591416076,9.8154521316355,0.0055603068827449,0.572141902101034,MT-CYB
ENSG00000103888,-1.6181193663487,5.61018427125509,9.82016174457576,0.0055713752439318,0.572141902101034,CEMIP
