"","logFC","logCPM","F","PValue","FDR"
"ENSG00000134321",-3.18650820541923,6.16573355786542,27.629576506193,1.50471350053488e-05,0.0565320862150956
"ENSG00000117461",4.16951187459947,6.84462043087826,20.6665962604961,9.54708346975874e-05,0.129648879402521
"ENSG00000177409",-2.70656149077035,6.75092235373038,20.6283250328626,0.000103525855258867,0.129648879402521
"ENSG00000067225",2.02862152424841,7.04348593821603,18.2604202338172,0.000225423957117678,0.211729451722779
"ENSG00000115310",1.39804273144552,8.75052947333675,16.5800359209661,0.000432893390894388,0.285250925001936
"ENSG00000137959",-2.55510639250081,8.31015639223242,16.0442775835727,0.00045555111791632,0.285250925001936
"ENSG00000136098",-1.640862863051,7.07958887927892,15.0258310522949,0.000625379391804275,0.335650053572666
"ENSG00000137628",-1.81757009747515,6.85978387309556,13.6215891563592,0.00100084416941703,0.371980841258166
"ENSG00000173821",-1.50098507945348,8.29535479793357,13.6112998385917,0.0011047135585792,0.371980841258166
"ENSG00000101187",2.0831107930491,8.96012699136863,13.3450901284768,0.00124752914431768,0.371980841258166
"ENSG00000166037",2.83899059283775,6.67831392214727,12.5759555978833,0.00131221151794667,0.371980841258166
"ENSG00000287092",-2.73014939077498,7.21658005749116,12.7828707827765,0.00136928330539099,0.371980841258166
"ENSG00000132530",-1.39537880822122,8.73668483141428,13.0232623384732,0.0013709973258453,0.371980841258166
"ENSG00000176225",-1.4397610420363,6.72673253595255,12.692606244181,0.00138614101081031,0.371980841258166
"ENSG00000184226",1.72808942949458,8.98063909827568,11.9199536270557,0.00205296216269952,0.412138590473101
"ENSG00000167081",1.62958944193903,7.65627290994191,11.8357494899942,0.00207686172655315,0.412138590473101
"ENSG00000055332",-1.23947623524939,7.95710121582049,11.62418602256,0.00221211035483121,0.412138590473101
"ENSG00000135862",2.52013844590764,7.32250039657738,11.4971633088375,0.00222638005888899,0.412138590473101
"ENSG00000184178",-1.49564612128248,7.51771121943337,11.4122367412988,0.00234188979562909,0.412138590473101
"ENSG00000162654",-1.76609706663438,7.51396578414302,11.3138052811225,0.00240127692049102,0.412138590473101
"ENSG00000184220",-1.32711321404831,7.79406812572041,11.2428038968464,0.00253848152401823,0.412138590473101
"ENSG00000251136",-1.17204229480248,7.34581384485541,11.1608034398776,0.00255532213243597,0.412138590473101
"ENSG00000166432",-1.59293246326514,6.64630114412762,10.9584470064866,0.00260776164240215,0.412138590473101
"ENSG00000196814",-1.34299882774883,6.91344529432315,10.7694274100889,0.00287519772497074,0.412138590473101
