"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000144115",-0.136795694,0.0501313355588235,-5.51650375709824,5.52334731381102e-05,0.995880887046616,1.85711479447649
"ENSG00000164199",0.430990764166667,0.553848382941176,5.26021485033721,9.01783627868272e-05,0.995880887046616,1.36375319938047
"ENSG00000181638",-0.029040405,0.00683281943529412,-4.48418577019869,0.000417567713817597,0.995880887046616,-0.174365873288122
"ENSG00000237446",-0.09639190675,0.0290132822941176,-4.21742244801071,0.000717376876582546,0.995880887046616,-0.714838691567242
"ENSG00000179097",-1.44716562291667,0.724768670588235,-4.18909090730399,0.000760075717347795,0.995880887046616,-0.772470493551845
"ENSG00000056736",-0.0938666545833333,0.0365811047647059,-4.14369995182843,0.00083394847301875,0.995880887046616,-0.86487733272379
"ENSG00000286922",-0.0237346054,0.00568284036470588,-4.04376227181202,0.00102340327146229,0.995880887046616,-1.06859936416095
"ENSG00000179855",-0.0255567784125,0.00723639174705882,-3.92205122524828,0.00131426545787861,0.995880887046616,-1.31706226108542
"ENSG00000103111",-0.0961753729583333,0.0405034948823529,-3.90228247708464,0.00136886561812737,0.995880887046616,-1.3574411624384
"ENSG00000204434",-0.171889236875,0.0428812451470588,-3.85024867643284,0.00152380427191438,0.995880887046616,-1.46373755627577
"ENSG00000134538",-0.0267915229125,0.00765965389411765,-3.79232253057188,0.00171723712689492,0.995880887046616,-1.58207570863081
"ENSG00000077092",0.431240469583333,0.451126489411765,3.73269174540248,0.00194229254634221,0.995880887046616,-1.70387254705958
"ENSG00000167183",-0.022237784475,0.00723656129411765,-3.72194328380029,0.00198591413503048,0.995880887046616,-1.72582145083771
"ENSG00000226259",-0.114573366375,0.0752135027647059,-3.72182467232996,0.00198640097084636,0.995880887046616,-1.72606365061473
"ENSG00000259399",-0.0227112135,0.00799070564705882,-3.70127274109918,0.00207259538416525,0.995880887046616,-1.76802592553081
"ENSG00000274767",-0.349573738333333,0.154988841764706,-3.66249011173985,0.0022456343343271,0.995880887046616,-1.84718614677487
"ENSG00000214432",-0.0218512204,0.00614698645882353,-3.62184066881728,0.00244261529313912,0.995880887046616,-1.93011310408185
"ENSG00000169393",-0.026061603775,0.00890172766470588,-3.58035973497888,0.00266152427434505,0.995880887046616,-2.01467886910384
"ENSG00000246090",-0.284958118708333,0.0875036638823529,-3.57067821109902,0.00271538723076484,0.995880887046616,-2.03440661631318
"ENSG00000272606",-0.0867294973333333,0.0347850809411765,-3.55428648023738,0.00280908501559138,0.995880887046616,-2.06779839240957
"ENSG00000007541",-0.350066296041667,0.207823311176471,-3.55113340818034,0.00282747662750159,0.995880887046616,-2.07422017742859
"ENSG00000282033",-0.024889863,0.00814680194117647,-3.49533504424614,0.00317363690674887,0.995880887046616,-2.18778270884365
"ENSG00000163155",-0.0995426450833334,0.0575542220588235,-3.46936440066362,0.003348909793029,0.995880887046616,-2.24058144962409
"ENSG00000187266",-0.08651021325,0.0402774461176471,-3.45812134593732,0.00342775759819849,0.995880887046616,-2.2634262380645
"ENSG00000166923",-0.087203781875,0.0412707372941176,-3.43468813816752,0.00359810467623425,0.995880887046616,-2.31101435825515
"ENSG00000079931",-0.386053849166667,0.290772926470588,-3.43295054824012,0.00361106755296928,0.995880887046616,-2.31454161031336
"ENSG00000178922",-0.2385856,0.120189490705882,-3.39072996005628,0.00394076936785672,0.995880887046616,-2.40018282237745
"ENSG00000145908",-0.0832544235833334,0.0348665795294118,-3.38811604210049,0.00396214103529152,0.995880887046616,-2.40548065737237
"ENSG00000069018",-0.163768404208333,0.0911276567647059,-3.38550364478272,0.00398361566102899,0.995880887046616,-2.41077488865045
"ENSG00000231881",-0.026975988575,0.0115187612294118,-3.34197296555526,0.00435899588059094,0.995880887046616,-2.49891327059511
"ENSG00000155324",-0.395949082083333,0.334473267058824,-3.33927078660093,0.0043834254046308,0.995880887046616,-2.50437930449163
"ENSG00000223711",-0.02409027875,0.0103841917647059,-3.33564892655035,0.00441638320507555,0.995880887046616,-2.51170470348754
"ENSG00000202070",-0.0194521979583333,0.00407971111764706,-3.32469003071234,0.00451761422100714,0.995880887046616,-2.53386264680602
"ENSG00000286385",-0.021030569075,0.00722413275294118,-3.28622540948094,0.00489152374837271,0.995880887046616,-2.61154816943808
"ENSG00000144230",-0.0204840405375,0.00684498057058824,-3.27824736290446,0.00497284386110244,0.995880887046616,-2.6276435010035
"ENSG00000242522",-0.0197811453333333,0.00459446449411765,-3.27438960652178,0.00501264581316738,0.995880887046616,-2.63542408959235
"ENSG00000044090",-0.125035044,0.096453252,-3.26816720474861,0.0050775119271351,0.995880887046616,-2.64797072346154
"ENSG00000135404",-0.322327779583333,0.176065249705882,-3.24931888025371,0.00527912289039495,0.995880887046616,-2.68595172706384
"ENSG00000251250",-0.0455511050416667,0.0214607843235294,-3.24640378310838,0.00531100512309676,0.995880887046616,-2.69182260059146
"ENSG00000229976",-0.0896681582083333,0.0385916371764706,-3.24381239555902,0.00533950717760633,0.995880887046616,-2.69704078308334
"ENSG00000139629",-0.081610127275,0.0207130435470588,-3.231252986168,0.00547980739474249,0.995880887046616,-2.72232102028515
"ENSG00000182472",-0.0843896735833334,0.0414477144117647,-3.22430267824533,0.00555901236274362,0.995880887046616,-2.7363035959814
"ENSG00000176894",-0.08256986075,0.0413585830588235,-3.22371429581073,0.00556576933812496,0.995880887046616,-2.73748705493289
"ENSG00000282386",-0.0203361246125,0.00783361427058824,-3.22069502388076,0.00560057078797074,0.995880887046616,-2.74355934525612
"ENSG00000176890",-0.023103436625,0.0129258032529412,-3.21645306213662,0.00564982983769303,0.995880887046616,-2.75208896414863
"ENSG00000261840",-0.0409006239541667,0.0152165819529412,-3.21192709635244,0.00570285990717548,0.995880887046616,-2.76118742108513
"ENSG00000287255",-0.192038406666667,0.169851581411765,-3.2097913450174,0.00572805502707129,0.995880887046616,-2.76548007351595
"ENSG00000125434",-0.08032358575,0.0201126960588235,-3.20818983448615,0.00574702005370204,0.995880887046616,-2.76869861341839
"ENSG00000184984",-0.627314259166667,0.407403603529412,-3.20675482770873,0.0057640661369848,0.995880887046616,-2.77158228365909
"ENSG00000231806",-0.0321788736916667,0.0145261575764706,-3.20598727928396,0.00577320418279102,0.995880887046616,-2.7731245883889
"ENSG00000253549",-0.082412503375,0.0219659500882353,-3.1893613496669,0.00597470028938855,0.995880887046616,-2.80651582936648
"ENSG00000125652",-0.0833407035833334,0.0394487972352941,-3.18624134595769,0.00601328075461472,0.995880887046616,-2.8127783777836
"ENSG00000260924",-0.08029605675,0.0238555172647059,-3.18147170855204,0.00607273648590234,0.995880887046616,-2.82234986891624
"ENSG00000237945",-0.086439462875,0.0468886041764706,-3.17673464460836,0.00613236140825836,0.995880887046616,-2.83185328779367
"ENSG00000100097",-0.0892614569583333,0.0433028685294118,-3.17230347303227,0.00618865981046705,0.995880887046616,-2.84074056863964
"ENSG00000270090",-0.0194521979583333,0.00507708937647059,-3.17020866105061,0.00621545211135307,0.995880887046616,-2.84494114753004
"ENSG00000143994",-0.0775489462916667,0.0304511784117647,-3.16436777165301,0.00629076300950301,0.995880887046616,-2.85665062133504
"ENSG00000005238",-0.112188098583333,0.0784354430588235,-3.15287294566424,0.00644161693002513,0.995880887046616,-2.87968237630375
"ENSG00000228127",-0.0825208690833334,0.0424165165294118,-3.13601661731764,0.00666931501970262,0.995880887046616,-2.91342641029491
"ENSG00000235303",-0.02278587115,0.00832328710588235,-3.13111103399414,0.00673706026263758,0.995880887046616,-2.92323978921357
"ENSG00000224458",-0.024141669,0.0122891796176471,-3.11174354439301,0.00701121625733301,0.995880887046616,-2.96195228366789
"ENSG00000164404",-0.0206650719875,0.00878985102352941,-3.10832690935451,0.00706070909776513,0.995880887046616,-2.96877633359393
"ENSG00000133800",-0.0777542234166667,0.0344413723529412,-3.10664177347042,0.00708524637281206,0.995880887046616,-2.97214146939792
"ENSG00000286753",-0.23540201375,0.130199863647059,-3.08533315832453,0.00740286551393456,0.995880887046616,-3.01465970837623
"ENSG00000100234",0.365895892083333,0.324046778823529,3.08470959419214,0.00741236832616038,0.995880887046616,-3.01590297668898
"ENSG00000267024",-0.0201550931625,0.00768580812352941,-3.08154640099731,0.00746075916263266,0.995880887046616,-3.02220892695172
"ENSG00000250488",-0.0789319931666667,0.036001732,-3.07123212001911,0.00762071854588478,0.995880887046616,-3.0427608457751
"ENSG00000186603",-0.0182843244083333,0.00479174431764706,-3.06833599778893,0.00766623691841825,0.995880887046616,-3.04852879061627
"ENSG00000178522",-0.023656191375,0.008548431,-3.06377929656139,0.00773839675451141,0.995880887046616,-3.05760146936176
"ENSG00000261231",-0.575617778333333,0.509395186470588,-3.05565828174393,0.00786866124421655,0.995880887046616,-3.07376330357789
"ENSG00000104205",0.0510906969583333,0.0329030594705882,3.04597271667306,0.00802684355545539,0.995880887046616,-3.09302587234177
"ENSG00000257511",-0.0797580360416667,0.0311435744117647,-3.02272191919266,0.00841943727479977,0.995880887046616,-3.13920822703398
"ENSG00000228786",-0.075949642875,0.0226612939411765,-3.01638330111623,0.00852969820091881,0.995880887046616,-3.1517837697897
"ENSG00000114656",-0.274803763333333,0.208734278823529,-3.00908934906396,0.00865833199171243,0.995880887046616,-3.16624672863783
"ENSG00000005059",-1.35778162416667,1.01671632411765,-3.0058678103046,0.0087157503346141,0.995880887046616,-3.17263189760615
"ENSG00000224775",-0.0780724793208334,0.0194248224117647,-2.99242077331866,0.00895948108580633,0.995880887046616,-3.1992660098299
"ENSG00000234915",-0.118854048416667,0.108655094,-2.97929197668499,0.00920388676378247,0.995880887046616,-3.22524095580849
"ENSG00000226200",-0.0812970642458333,0.0369652163352941,-2.97730225117565,0.00924149323822097,0.995880887046616,-3.22917504788819
"ENSG00000146285",-0.110279577791667,0.077922492,-2.97479027275313,0.00928918554752873,0.995880887046616,-3.23414078351305
"ENSG00000107018",-0.0768455992083334,0.0213931146470588,-2.96932314405813,0.0093938192178157,0.995880887046616,-3.24494461780239
"ENSG00000249753",-0.0896652028333334,0.0454081841764706,-2.96822290609645,0.00941501544439816,0.995880887046616,-3.24711822943307
"ENSG00000261813",-0.0182174534583333,0.00567827323529412,-2.95682761245131,0.00963732033684726,0.995880887046616,-3.26961830905975
"ENSG00000198156",-0.0836248814166667,0.0336581495882353,-2.95517166696716,0.00967005004068259,0.995880887046616,-3.27288610833057
"ENSG00000234851",-0.0769726095,0.0186733448705882,-2.9481241281984,0.00981056533626348,0.995880887046616,-3.28678815989422
"ENSG00000152578",3.98720982916667,4.4251465,2.92735556653286,0.0102363707679554,0.995880887046616,-3.32770508166844
"ENSG00000184508",-0.107644844125,0.0542895504117647,-2.9184787308598,0.0104238307776817,0.995880887046616,-3.34516984957713
"ENSG00000259754",-0.07648369775,0.0198166424705882,-2.91729665128047,0.0104490455222739,0.995880887046616,-3.34749444483587
"ENSG00000236320",-0.0178612106208333,0.00490468845294118,-2.91540610013334,0.0104894964666707,0.995880887046616,-3.35121173423698
"ENSG00000189129",-0.0765298544583334,0.0207220219,-2.91386815873407,0.0105225156420388,0.995880887046616,-3.35423521781804
"ENSG00000155629",-0.074594278,0.0274299738235294,-2.90583619520358,0.0106966160303535,0.995880887046616,-3.37001833267177
